Linux 4.9.253-tegra (nano-desktop) 	10/18/2023 	_aarch64_	(4 CPU)

06:11:06 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
06:11:07 PM     all      5.75      0.00     89.50      1.75      0.00      1.00      0.00      0.00      0.00      2.00
06:11:08 PM     all      6.52      0.00     84.71      5.01      0.00      0.75      0.25      0.00      0.00      2.76
06:11:09 PM     all     21.43      0.00     51.97     15.52      0.00      0.74      0.25      0.00      0.00     10.10
06:11:10 PM     all      3.74      0.00     92.02      1.25      0.00      0.75      0.00      0.00      0.00      2.24
06:11:11 PM     all     10.72      0.00     85.04      1.25      0.00      0.75      0.00      0.00      0.00      2.24
06:11:12 PM     all      6.72      0.00     83.58      3.73      0.00      0.75      0.25      0.00      0.00      4.98
06:11:13 PM     all      4.02      0.00     92.71      1.26      0.00      0.75      0.00      0.00      0.00      1.26
06:11:14 PM     all     12.69      0.00     69.40      8.96      0.00      0.75      0.25      0.00      0.00      7.96
06:11:15 PM     all     16.25      0.00     68.50      7.50      0.00      0.75      0.00      0.00      0.00      7.00
06:11:16 PM     all      3.95      0.00     92.35      0.99      0.00      0.99      0.25      0.00      0.00      1.48
06:11:17 PM     all      3.49      0.00     93.77      1.00      0.00      0.75      0.00      0.00      0.00      1.00
06:11:18 PM     all      3.26      0.00     93.98      0.75      0.00      0.75      0.25      0.00      0.00      1.00
06:11:19 PM     all      3.00      0.00     94.50      0.75      0.00      0.75      0.00      0.00      0.00      1.00
06:11:20 PM     all      2.75      0.00     94.25      1.50      0.00      0.75      0.00      0.00      0.00      0.75
06:11:21 PM     all     25.44      0.00     42.89     21.20      0.00      0.75      0.25      0.00      0.00      9.48
06:11:22 PM     all      8.93      0.00     85.61      2.48      0.00      0.99      0.25      0.00      0.00      1.74
06:11:23 PM     all      4.51      0.00     92.48      1.25      0.00      0.75      0.00      0.00      0.00      1.00
06:11:24 PM     all      4.26      0.00     92.98      0.75      0.00      0.75      0.00      0.00      0.00      1.25
06:11:25 PM     all      4.24      0.00     92.27      1.25      0.00      0.75      0.25      0.00      0.00      1.25
06:11:26 PM     all      3.76      0.00     92.23      1.50      0.00      0.75      0.00      0.00      0.00      1.75
06:11:27 PM     all     17.04      0.00     59.90     12.03      0.00      0.75      0.25      0.00      0.00     10.03
