Linux 4.9.253-tegra (nano-desktop) 	10/18/2023 	_aarch64_	(4 CPU)

06:03:57 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
06:03:58 PM     all     91.54      0.00      5.47      0.00      0.00      2.49      0.50      0.00      0.00      0.00
06:03:59 PM     all     96.99      0.00      1.00      0.00      0.00      2.01      0.00      0.00      0.00      0.00
06:04:00 PM     all     96.25      0.00      1.50      0.00      0.00      2.00      0.25      0.00      0.00      0.00
06:04:01 PM     all     96.24      0.00      1.50      0.00      0.00      2.26      0.00      0.00      0.00      0.00
06:04:02 PM     all     96.25      0.00      1.75      0.00      0.00      1.75      0.25      0.00      0.00      0.00
06:04:03 PM     all     96.50      0.00      1.50      0.00      0.00      1.75      0.25      0.00      0.00      0.00
06:04:04 PM     all     93.52      0.00      4.49      0.00      0.00      2.00      0.00      0.00      0.00      0.00
06:04:05 PM     all     95.75      0.00      2.25      0.00      0.00      1.75      0.25      0.00      0.00      0.00
06:04:06 PM     all     96.00      0.00      2.25      0.00      0.00      1.75      0.00      0.00      0.00      0.00
06:04:07 PM     all     95.75      0.00      2.25      0.00      0.00      1.75      0.25      0.00      0.00      0.00
06:04:08 PM     all     93.98      0.00      4.26      0.00      0.00      1.75      0.00      0.00      0.00      0.00
06:04:09 PM     all     91.02      0.00      7.23      0.00      0.00      1.50      0.25      0.00      0.00      0.00
06:04:10 PM     all     93.52      0.00      4.74      0.00      0.00      1.50      0.25      0.00      0.00      0.00
06:04:11 PM     all     94.49      0.00      3.76      0.00      0.00      1.75      0.00      0.00      0.00      0.00
06:04:12 PM     all     95.00      0.00      3.00      0.00      0.00      1.75      0.25      0.00      0.00      0.00
06:04:13 PM     all     94.99      0.00      3.26      0.00      0.00      1.75      0.00      0.00      0.00      0.00
06:04:14 PM     all     95.26      0.00      2.49      0.00      0.00      2.00      0.25      0.00      0.00      0.00
06:04:15 PM     all     93.73      0.00      4.26      0.00      0.00      2.01      0.00      0.00      0.00      0.00
06:04:16 PM     all     96.26      0.00      1.25      0.00      0.00      2.24      0.25      0.00      0.00      0.00
06:04:17 PM     all     93.98      0.00      2.01      0.00      0.00      2.76      1.25      0.00      0.00      0.00
06:04:18 PM     all     96.51      0.00      1.00      0.00      0.00      2.24      0.25      0.00      0.00      0.00
06:04:19 PM     all     97.25      0.00      0.75      0.00      0.00      2.00      0.00      0.00      0.00      0.00
06:04:20 PM     all     95.50      0.00      2.25      0.00      0.00      2.25      0.00      0.00      0.00      0.00
06:04:21 PM     all     96.76      0.00      1.25      0.00      0.00      1.75      0.25      0.00      0.00      0.00
06:04:22 PM     all     97.01      0.00      0.75      0.00      0.00      2.00      0.25      0.00      0.00      0.00
06:04:23 PM     all     97.25      0.00      0.75      0.00      0.00      2.00      0.00      0.00      0.00      0.00
06:04:24 PM     all     97.00      0.00      0.75      0.00      0.00      2.00      0.25      0.00      0.00      0.00
06:04:25 PM     all     97.75      0.00      0.50      0.00      0.00      1.75      0.00      0.00      0.00      0.00
06:04:26 PM     all     95.00      0.00      2.75      0.00      0.00      2.00      0.25      0.00      0.00      0.00
06:04:27 PM     all     97.24      0.00      1.00      0.00      0.00      1.75      0.00      0.00      0.00      0.00
06:04:28 PM     all     95.75      0.00      2.00      0.00      0.00      2.00      0.25      0.00      0.00      0.00
06:04:29 PM     all     97.25      0.00      1.00      0.00      0.00      1.75      0.00      0.00      0.00      0.00
06:04:30 PM     all     97.50      0.00      0.50      0.00      0.00      1.75      0.25      0.00      0.00      0.00
