Linux 4.9.253-tegra (nano-desktop) 	10/18/2023 	_aarch64_	(4 CPU)

06:07:53 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
06:07:54 PM     all     24.62      0.00      1.51      0.00      0.00      0.50      0.00      0.00      0.00     73.37
06:07:55 PM     all     24.81      0.00      1.00      1.25      0.00      0.25      0.25      0.00      0.00     72.43
06:07:56 PM     all     24.87      0.00      0.75      0.00      0.00      0.50      0.00      0.00      0.00     73.87
06:07:57 PM     all     24.87      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.37
06:07:58 PM     all     24.81      0.00      1.00      0.00      0.00      0.25      0.25      0.00      0.00     73.68
06:07:59 PM     all     24.94      0.00      1.01      2.02      0.00      0.25      0.00      0.00      0.00     71.79
06:08:00 PM     all     25.13      0.00      0.50      1.51      0.00      0.50      0.00      0.00      0.00     72.36
06:08:01 PM     all     25.06      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     73.93
06:08:02 PM     all     24.94      0.00      0.25      0.00      0.00      0.25      0.00      0.00      0.00     74.56
06:08:03 PM     all     24.62      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.62
06:08:04 PM     all     25.75      0.00      1.75      0.00      0.00      0.50      0.25      0.00      0.00     71.75
06:08:05 PM     all     24.18      0.00      1.26      1.51      0.00      0.25      0.00      0.00      0.00     72.80
06:08:06 PM     all     19.80      0.00      0.25      0.00      0.00      0.75      0.50      0.00      0.00     78.70
06:08:07 PM     all     24.81      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     74.44
06:08:08 PM     all     24.81      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     74.19
06:08:09 PM     all     25.06      0.00      1.00      0.00      0.00      0.25      0.00      0.00      0.00     73.68
06:08:10 PM     all     24.75      0.00      0.50      0.25      0.00      0.25      0.25      0.00      0.00     74.00
06:08:11 PM     all     24.87      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.37
06:08:12 PM     all     25.00      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     74.00
06:08:13 PM     all     24.81      0.00      0.25      0.00      0.00      0.25      0.00      0.00      0.00     74.69
