Linux 5.19.0-1022-raspi (pi-desktop) 	10/18/2023 	_aarch64_	(4 CPU)

06:46:34 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
06:46:35 PM     all     22.51      0.00     26.18     47.91      0.00      0.00      0.00      0.00      0.00      3.40
06:46:36 PM     all     16.67      0.00     19.01     51.82      0.00      0.00      0.52      0.00      0.00     11.98
06:46:37 PM     all     27.18      0.00     48.46     17.69      0.00      0.00      0.00      0.00      0.00      6.67
06:46:38 PM     all     20.71      0.25     47.47     22.98      0.00      0.00      0.00      0.00      0.00      8.59
06:46:39 PM     all     25.06      0.25     47.12     16.54      0.00      0.00      0.00      0.00      0.00     11.03
06:46:40 PM     all     21.71      0.00     50.13     18.60      0.00      0.00      0.00      0.00      0.00      9.56
06:46:41 PM     all     26.97      0.00     43.77     19.34      0.00      0.00      0.00      0.00      0.00      9.92
06:46:42 PM     all     17.59      0.00     53.52     18.84      0.00      0.00      0.50      0.00      0.00      9.55
06:46:43 PM     all     25.25      0.00     52.72     14.36      0.00      0.00      0.00      0.00      0.00      7.67
06:46:44 PM     all     22.34      0.00     51.27     15.48      0.00      0.00      0.00      0.00      0.00     10.91
06:46:45 PM     all     21.68      0.00     50.77     16.84      0.00      0.00      0.26      0.00      0.00     10.46
06:46:46 PM     all     28.32      0.00     42.11     20.55      0.00      0.00      0.00      0.00      0.00      9.02
06:46:47 PM     all     20.26      0.00     48.57     21.04      0.00      0.00      0.52      0.00      0.00      9.61
06:46:48 PM     all     26.65      0.00     49.24     14.97      0.00      0.00      0.00      0.00      0.00      9.14
06:46:49 PM     all     21.85      0.00     51.67     18.25      0.00      0.00      0.00      0.00      0.00      8.23
06:46:50 PM     all     26.46      0.00     46.06     18.58      0.00      0.00      0.00      0.00      0.00      8.91
06:46:51 PM     all     23.86      0.00     53.55     13.96      0.00      0.00      0.00      0.00      0.00      8.63
06:46:52 PM     all     24.62      0.00     52.03     14.47      0.00      0.00      0.25      0.00      0.00      8.63
06:46:53 PM     all     27.46      0.00     42.49     20.98      0.00      0.00      0.00      0.00      0.00      9.07
06:46:54 PM     all     19.55      0.25     54.64     15.29      0.00      0.00      0.25      0.00      0.00     10.03
06:46:55 PM     all     26.21      0.00     43.00     19.85      0.00      0.00      0.00      0.00      0.00     10.94
06:46:56 PM     all     20.96      0.00     50.51     20.20      0.00      0.00      0.25      0.00      0.00      8.08
06:46:57 PM     all     27.85      0.00     48.35     16.46      0.00      0.00      0.00      0.00      0.00      7.34
06:46:58 PM     all     20.05      0.00     53.05     17.77      0.00      0.00      0.25      0.00      0.00      8.88
06:46:59 PM     all     24.12      0.00     53.52     15.58      0.00      0.00      0.00      0.00      0.00      6.78
06:47:00 PM     all     26.26      0.00     46.72     17.42      0.00      0.00      0.25      0.00      0.00      9.34
06:47:01 PM     all     22.56      0.00     50.00     16.92      0.00      0.00      0.77      0.00      0.00      9.74
06:47:02 PM     all     26.09      0.00     45.78     19.44      0.00      0.00      0.00      0.00      0.00      8.70
06:47:03 PM     all     21.34      0.00     49.36     18.51      0.00      0.00      0.51      0.00      0.00     10.28
06:47:04 PM     all     27.06      0.00     44.85     21.13      0.00      0.00      0.00      0.00      0.00      6.96
06:47:05 PM     all     23.00      0.25     45.50     18.00      0.00      0.00      0.25      0.00      0.00     13.00
06:47:06 PM     all     23.23      0.00     46.46     20.96      0.00      0.00      0.25      0.00      0.00      9.09
06:47:07 PM     all     23.79      0.00     51.92     16.62      0.00      0.00      0.00      0.00      0.00      7.67
06:47:08 PM     all     20.88      0.00     54.12     16.75      0.00      0.00      0.26      0.00      0.00      7.99
06:47:09 PM     all     28.57      0.00     47.70     15.31      0.00      0.00      0.00      0.00      0.00      8.42
06:47:10 PM     all     20.75      0.00     49.00     20.50      0.00      0.00      0.25      0.00      0.00      9.50
06:47:11 PM     all     27.06      0.00     47.68     18.30      0.00      0.00      0.00      0.00      0.00      6.96
06:47:12 PM     all     21.43      0.00     48.98     20.15      0.00      0.00      0.51      0.00      0.00      8.93
06:47:13 PM     all     31.14      0.00     45.32     15.44      0.00      0.00      0.00      0.00      0.00      8.10
06:47:14 PM     all     19.85      0.00     47.16     20.10      0.00      0.00      0.26      0.00      0.00     12.63
06:47:15 PM     all     25.06      0.00     51.13     16.29      0.00      0.00      0.25      0.00      0.00      7.27
06:47:16 PM     all     25.72      0.00     48.56     16.80      0.00      0.00      0.00      0.00      0.00      8.92
06:47:17 PM     all     22.73      0.00     50.25     18.69      0.00      0.00      0.25      0.00      0.00      8.08
06:47:18 PM     all     28.32      0.00     48.98     16.33      0.00      0.00      0.00      0.00      0.00      6.38
06:47:19 PM     all     20.51      0.00     50.38     19.49      0.00      0.00      0.00      0.00      0.00      9.62
06:47:20 PM     all     27.81      0.00     44.39     21.94      0.00      0.00      0.00      0.00      0.00      5.87
06:47:21 PM     all     22.72      0.00     50.91     18.02      0.00      0.00      0.00      0.00      0.00      8.36
06:47:22 PM     all     27.91      0.00     49.87     14.99      0.00      0.00      0.00      0.00      0.00      7.24
06:47:23 PM     all     20.96      0.25     51.01     17.42      0.00      0.00      1.26      0.00      0.00      9.09
06:47:24 PM     all     27.68      0.00     45.39     17.46      0.00      0.00      0.00      0.00      0.00      9.48
06:47:25 PM     all     27.39      0.00     50.00     15.08      0.00      0.00      0.00      0.00      0.00      7.54
06:47:26 PM     all     19.10      0.00     52.01     16.33      0.00      0.00      0.75      0.00      0.00     11.81
06:47:27 PM     all     28.39      0.00     48.96     14.84      0.00      0.00      0.00      0.00      0.00      7.81
06:47:28 PM     all     21.97      0.00     44.95     19.44      0.00      0.00      0.25      0.00      0.00     13.38
06:47:29 PM     all     28.72      0.00     47.78     15.40      0.00      0.00      0.00      0.00      0.00      8.09
06:47:30 PM     all     23.53      0.00     51.41     16.62      0.00      0.00      0.51      0.00      0.00      7.93
06:47:31 PM     all     27.09      0.00     49.62     16.20      0.00      0.00      0.00      0.00      0.00      7.09
06:47:32 PM     all     19.30      0.00     55.39     14.79      0.00      0.00      0.25      0.00      0.00     10.28
06:47:33 PM     all     24.62      0.00     46.45     18.53      0.00      0.00      0.00      0.00      0.00     10.41
06:47:34 PM     all     23.29      0.00     48.35     18.73      0.00      0.00      0.00      0.00      0.00      9.62
06:47:35 PM     all     21.86      0.00     50.50     19.35      0.00      0.00      0.25      0.00      0.00      8.04
06:47:36 PM     all     27.34      0.00     47.59     14.68      0.00      0.00      0.00      0.00      0.00     10.38
06:47:37 PM     all     24.05      0.00     47.85     17.47      0.00      0.00      0.00      0.00      0.00     10.63
06:47:38 PM     all     25.83      0.00     39.39     23.53      0.00      0.00      0.00      0.00      0.00     11.25
06:47:39 PM     all     21.32      0.25     52.79     16.24      0.00      0.00      0.51      0.00      0.00      8.88
06:47:40 PM     all     27.41      0.00     48.22     15.74      0.00      0.00      0.00      0.00      0.00      8.63
06:47:41 PM     all     21.24      0.00     51.55     17.10      0.00      0.00      0.26      0.00      0.00      9.84
