Linux 5.19.0-1022-raspi (pi-desktop) 	10/18/2023 	_aarch64_	(4 CPU)

06:43:46 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
06:43:47 PM     all     78.80      0.00     21.20      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:43:48 PM     all     91.02      0.00      8.98      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:43:49 PM     all     85.71      0.00     14.29      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:43:50 PM     all     84.21      0.25     15.54      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:43:51 PM     all     90.02      0.00      9.98      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:43:52 PM     all     82.47      0.00     15.31      0.00      0.00      0.00      2.22      0.00      0.00      0.00
06:43:53 PM     all     83.12      0.00     16.88      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:43:54 PM     all     93.07      0.00      6.93      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:43:55 PM     all     86.00      0.00     14.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:43:56 PM     all     85.50      0.00     14.50      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:43:57 PM     all     92.23      0.00      7.77      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:43:58 PM     all     82.79      0.00     15.46      0.00      0.00      0.00      1.75      0.00      0.00      0.00
06:43:59 PM     all     86.28      0.00     13.72      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:00 PM     all     90.48      0.00      9.52      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:01 PM     all     84.37      0.25     15.14      0.00      0.00      0.00      0.00      0.00      0.00      0.25
06:44:02 PM     all     84.50      0.00     15.50      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:03 PM     all     90.25      0.25      8.00      0.00      0.00      0.00      1.50      0.00      0.00      0.00
06:44:04 PM     all     85.75      0.00     13.75      0.00      0.00      0.00      0.50      0.00      0.00      0.00
06:44:05 PM     all     89.30      0.00     10.70      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:06 PM     all     90.48      0.00      9.52      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:07 PM     all     85.75      0.00     14.00      0.00      0.00      0.00      0.00      0.00      0.00      0.25
06:44:08 PM     all     88.81      0.00     11.19      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:09 PM     all     85.89      0.00     13.10      0.00      0.00      0.00      1.01      0.00      0.00      0.00
06:44:10 PM     all     83.62      0.00     16.38      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:11 PM     all     90.00      0.00      9.75      0.00      0.00      0.00      0.00      0.00      0.00      0.25
06:44:12 PM     all     88.03      0.00     11.72      0.00      0.00      0.00      0.00      0.00      0.00      0.25
06:44:13 PM     all     85.43      0.00     14.57      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:14 PM     all     89.80      0.00      9.70      0.00      0.00      0.00      0.50      0.00      0.00      0.00
06:44:15 PM     all     86.28      0.00     12.22      0.00      0.00      0.00      1.25      0.00      0.00      0.25
06:44:16 PM     all     83.92      0.00     16.08      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:17 PM     all     85.29      0.00     14.71      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:18 PM     all     87.03      0.00     12.97      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:19 PM     all     82.00      0.00     18.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:20 PM     all     80.10      0.25     17.16      0.50      0.00      0.00      1.99      0.00      0.00      0.00
06:44:21 PM     all     83.96      0.00     16.04      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:22 PM     all     87.28      0.00     12.47      0.00      0.00      0.00      0.25      0.00      0.00      0.00
06:44:23 PM     all     89.80      0.00     10.20      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:24 PM     all     87.72      0.00     12.28      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:25 PM     all     88.03      0.00     11.97      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:26 PM     all     86.25      0.00     12.00      0.00      0.00      0.00      1.75      0.00      0.00      0.00
06:44:27 PM     all     88.03      0.00     11.97      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:28 PM     all     86.47      0.25     13.28      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:29 PM     all     85.71      0.00     14.29      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:30 PM     all     84.04      0.00     15.96      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:31 PM     all     81.95      0.00     17.04      0.00      0.00      0.00      1.00      0.00      0.00      0.00
06:44:32 PM     all     84.21      0.00     15.29      0.00      0.00      0.00      0.50      0.00      0.00      0.00
06:44:33 PM     all     92.02      0.00      7.98      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:34 PM     all     85.79      0.00     14.21      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:35 PM     all     87.50      0.00     12.50      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:36 PM     all     91.27      0.00      8.73      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:37 PM     all     85.43      0.25     12.81      0.00      0.00      0.00      1.51      0.00      0.00      0.00
06:44:38 PM     all     84.54      0.00     14.21      0.00      0.00      0.00      0.75      0.00      0.00      0.50
06:44:39 PM     all     92.02      0.00      7.73      0.00      0.00      0.00      0.00      0.00      0.00      0.25
06:44:40 PM     all     86.28      0.00     13.72      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:41 PM     all     85.54      0.00     14.46      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:42 PM     all     92.71      0.00      7.04      0.00      0.00      0.00      0.00      0.00      0.00      0.25
06:44:43 PM     all     84.86      0.00     13.65      0.00      0.00      0.00      1.49      0.00      0.00      0.00
06:44:44 PM     all     87.44      0.00     12.06      0.00      0.00      0.00      0.50      0.00      0.00      0.00
06:44:45 PM     all     90.00      0.25      9.75      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:46 PM     all     86.53      0.00     13.47      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:47 PM     all     88.47      0.00     11.53      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:44:48 PM     all     90.27      0.00      9.73      0.00      0.00      0.00      0.00      0.00      0.00      0.00
