request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1697679824233,1697679825355,1697679831842,1697679831204,6971,6487,484
2,1697679831216,1697679832281,1697679837808,1697679837138,5922,5527,395
3,1697679837151,1697679838146,1697679843021,1697679842360,5209,4875,334
4,1697679842373,1697679843410,1697679848716,1697679848088,5715,5306,409
5,1697679848101,1697679849176,1697679854058,1697679853506,5405,4882,523
6,1697679853518,1697679854577,1697679859684,1697679859031,5513,5107,406
7,1697679859044,1697679860047,1697679865469,1697679864765,5721,5422,299
8,1697679864775,1697679865769,1697679871076,1697679870416,5641,5307,334
9,1697679870427,1697679871459,1697679877143,1697679876437,6010,5684,326
10,1697679876450,1697679877457,1697679883017,1697679882394,5944,5560,384
11,1697679882406,1697679883461,1697679888902,1697679888217,5811,5441,370
12,1697679888230,1697679889235,1697679894503,1697679893955,5725,5268,457
13,1697679893968,1697679894968,1697679900340,1697679899637,5669,5372,297
14,1697679899650,1697679900693,1697679906046,1697679905433,5783,5353,430
15,1697679905443,1697679906466,1697679911780,1697679911076,5633,5314,319
16,1697679911089,1697679912090,1697679917638,1697679916990,5901,5548,353
