Linux 5.19.0-1022-raspi (pi-desktop) 	10/18/2023 	_aarch64_	(4 CPU)

06:40:13 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
06:40:14 PM     all     19.04      0.00     12.69      0.00      0.00      0.00      0.00      0.00      0.00     68.27
06:40:15 PM     all     17.09      0.26      5.10      1.53      0.00      0.00      0.26      0.00      0.00     75.77
06:40:16 PM     all     21.21      0.00      8.33      0.00      0.00      0.00      0.00      0.00      0.00     70.45
06:40:17 PM     all     15.91      0.00      8.08      0.00      0.00      0.00      0.00      0.00      0.00     76.01
06:40:18 PM     all     21.77      0.00      8.10      1.27      0.00      0.00      0.00      0.00      0.00     68.86
06:40:19 PM     all     17.13      0.00      6.30      0.00      0.00      0.00      1.01      0.00      0.00     75.57
06:40:20 PM     all     20.96      0.25      6.82      0.00      0.00      0.00      0.00      0.00      0.00     71.97
06:40:21 PM     all     16.20      0.00      6.43      0.00      0.00      0.00      0.00      0.00      0.00     77.38
06:40:22 PM     all     17.17      0.00      6.31      0.00      0.00      0.00      0.00      0.00      0.00     76.52
06:40:23 PM     all     20.30      0.00      8.38      0.00      0.00      0.00      0.00      0.00      0.00     71.32
06:40:24 PM     all     18.02      0.00      6.09      0.00      0.00      0.00      0.51      0.00      0.00     75.38
06:40:25 PM     all     23.17      0.00      5.04      0.00      0.00      0.00      0.00      0.00      0.00     71.79
06:40:26 PM     all     17.38      0.25      4.53      0.00      0.00      0.00      0.25      0.00      0.00     77.58
06:40:27 PM     all     17.60      0.00      5.87      0.00      0.00      0.00      0.00      0.00      0.00     76.53
06:40:28 PM     all     22.08      0.25      6.35      0.00      0.00      0.00      0.25      0.00      0.00     71.07
06:40:29 PM     all     18.48      0.00      5.57      0.00      0.00      0.00      0.25      0.00      0.00     75.70
06:40:30 PM     all     22.98      0.00      7.07      0.00      0.00      0.00      0.00      0.00      0.00     69.95
06:40:31 PM     all     18.48      0.00      6.58      0.00      0.00      0.00      0.25      0.00      0.00     74.68
06:40:32 PM     all     17.38      0.00      5.54      0.00      0.00      0.00      0.50      0.00      0.00     76.57
06:40:33 PM     all     23.93      0.00      5.79      0.00      0.00      0.00      0.00      0.00      0.00     70.28
06:40:34 PM     all     16.71      0.00      5.82      0.25      0.00      0.00      0.25      0.00      0.00     76.96
06:40:35 PM     all     23.23      0.00      4.55      0.00      0.00      0.00      0.00      0.00      0.00     72.22
06:40:36 PM     all     19.49      0.00      5.57      0.00      0.00      0.00      0.51      0.00      0.00     74.43
06:40:37 PM     all     17.05      0.00      6.11      0.00      0.00      0.00      0.25      0.00      0.00     76.59
06:40:38 PM     all     23.92      0.00      5.34      0.00      0.00      0.00      0.00      0.00      0.00     70.74
06:40:39 PM     all     17.42      0.00      5.56      0.25      0.00      0.00      0.51      0.00      0.00     76.26
06:40:40 PM     all     20.71      0.00      5.56      0.00      0.00      0.00      0.00      0.00      0.00     73.74
06:40:41 PM     all     14.79      0.00      7.52      0.00      0.00      0.00      0.25      0.00      0.00     77.44
06:40:42 PM     all     17.72      0.00      5.06      0.00      0.00      0.00      0.25      0.00      0.00     76.96
06:40:43 PM     all     25.69      0.00      5.79      0.00      0.00      0.00      0.00      0.00      0.00     68.51
06:40:44 PM     all     16.46      0.00      5.57      0.00      0.00      0.00      0.25      0.00      0.00     77.72
06:40:45 PM     all     24.12      0.00      4.02      0.00      0.00      0.00      0.00      0.00      0.00     71.86
06:40:46 PM     all     17.01      0.00      6.85      4.06      0.00      0.00      0.00      0.00      0.00     72.08
06:40:47 PM     all     19.08      0.00      7.38     20.61      0.00      0.00      0.51      0.00      0.00     52.42
06:40:48 PM     all     22.06      0.00      7.52      1.00      0.00      0.00      0.25      0.00      0.00     69.17
06:40:49 PM     all     18.37      0.00      4.85      0.51      0.00      0.00      0.26      0.00      0.00     76.02
06:40:50 PM     all     24.43      0.00      5.54      0.00      0.00      0.00      0.00      0.00      0.00     70.03
