request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1697679612361,1697679613380,1697679614979,1697679614244,1883,1599,284
2,1697679614257,1697679615259,1697679616777,1697679616053,1796,1518,278
3,1697679616067,1697679617075,1697679618526,1697679617867,1800,1451,349
4,1697679617882,1697679618878,1697679620335,1697679619697,1815,1457,358
5,1697679619710,1697679620700,1697679622132,1697679621452,1742,1432,310
6,1697679621465,1697679622444,1697679623854,1697679623107,1642,1410,232
7,1697679623117,1697679624109,1697679625495,1697679624786,1669,1386,283
8,1697679624800,1697679625779,1697679627130,1697679626455,1655,1351,304
9,1697679626468,1697679627448,1697679628795,1697679628108,1640,1347,293
10,1697679628118,1697679629109,1697679630470,1697679629730,1612,1361,251
11,1697679629742,1697679630718,1697679632063,1697679631375,1633,1345,288
12,1697679631388,1697679632380,1697679633729,1697679633001,1613,1349,264
13,1697679633014,1697679633993,1697679635332,1697679634594,1580,1339,241
14,1697679634606,1697679635589,1697679636937,1697679636216,1610,1348,262
15,1697679636229,1697679637239,1697679638584,1697679637835,1606,1345,261
16,1697679637845,1697679638887,1697679640232,1697679639697,1852,1345,507
17,1697679639709,1697679640764,1697679642105,1697679641418,1709,1341,368
18,1697679641431,1697679642427,1697679643798,1697679643142,1711,1371,340
19,1697679643156,1697679644134,1697679645487,1697679644787,1631,1353,278
20,1697679644801,1697679645786,1697679647143,1697679646425,1624,1357,267
21,1697679646438,1697679647467,1697679648822,1697679648073,1635,1355,280
22,1697679648083,1697679649092,1697679650455,1697679649808,1725,1363,362
23,1697679649818,1697679650837,1697679652182,1697679651535,1717,1345,372
24,1697679651548,1697679652537,1697679653882,1697679653165,1617,1345,272
25,1697679653178,1697679654222,1697679655583,1697679654930,1752,1361,391
26,1697679654942,1697679655930,1697679657292,1697679656559,1617,1362,255
27,1697679656569,1697679657559,1697679658913,1697679658204,1635,1354,281
28,1697679658217,1697679659199,1697679660561,1697679659819,1602,1362,240
29,1697679659831,1697679660821,1697679662165,1697679661406,1575,1344,231
30,1697679661419,1697679662418,1697679663774,1697679663116,1697,1356,341
31,1697679663129,1697679664116,1697679665465,1697679664770,1641,1349,292
32,1697679664783,1697679665768,1697679667121,1697679666399,1616,1353,263
33,1697679666412,1697679667397,1697679668750,1697679668029,1617,1353,264
34,1697679668042,1697679669070,1697679670427,1697679669774,1732,1357,375
35,1697679669786,1697679670775,1697679672124,1697679671374,1588,1349,239
36,1697679671387,1697679672376,1697679673741,1697679673040,1653,1365,288
37,1697679673053,1697679674060,1697679675418,1697679674667,1614,1358,256
38,1697679674680,1697679675697,1697679677056,1697679676333,1653,1359,294
39,1697679676343,1697679677378,1697679678736,1697679678053,1710,1358,352
40,1697679678066,1697679679055,1697679680446,1697679679724,1658,1391,267
41,1697679679737,1697679680727,1697679682080,1697679681363,1626,1353,273
42,1697679681376,1697679682371,1697679683734,1697679683084,1708,1363,345
43,1697679683097,1697679684085,1697679685447,1697679684730,1633,1362,271
44,1697679684743,1697679685751,1697679687109,1697679686375,1632,1358,274
45,1697679686387,1697679687391,1697679688751,1697679688012,1625,1360,265
46,1697679688025,1697679689001,1697679690369,1697679689630,1605,1368,237
47,1697679689643,1697679690625,1697679691987,1697679691259,1616,1362,254
48,1697679691273,1697679692271,1697679693640,1697679692909,1636,1369,267
49,1697679692922,1697679693917,1697679695284,1697679694565,1643,1367,276
50,1697679694575,1697679695558,1697679696933,1697679696312,1737,1375,362
51,1697679696322,1697679697312,1697679698691,1697679698110,1788,1379,409
52,1697679698121,1697679699109,1697679700483,1697679699724,1603,1374,229
53,1697679699736,1697679700723,1697679702080,1697679701356,1620,1357,263
54,1697679701366,1697679702351,1697679703725,1697679702977,1611,1374,237
