frame_id,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1677381351597,1677381351603,1677381351857,1677381351859,262,254,8
2,1677381352739,1677381352743,1677381352988,1677381352989,250,245,5
3,1677381353837,1677381353840,1677381354000,1677381354002,165,160,5
4,1677381354946,1677381354948,1677381355115,1677381355116,170,167,3
5,1677381356030,1677381356033,1677381356199,1677381356200,170,166,4
6,1677381357124,1677381357126,1677381357291,1677381357292,168,165,3
7,1677381358205,1677381358207,1677381358370,1677381358371,166,163,3
8,1677381359296,1677381359299,1677381359466,1677381359468,172,167,5
9,1677381360382,1677381360384,1677381360550,1677381360551,169,166,3
10,1677381361470,1677381361473,1677381361636,1677381361637,167,163,4
CPU_usage_percent,peak_memory_mb,current_memory_mb
100.93994140625,8.008408546447754,0.08465699851512909
network_download_speed,network_upload_speed
48,17
