frame_id,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1677436625112,1677436625115,1677436625302,1677436625304,192,187,5
2,1677436625427,1677436625431,1677436625640,1677436625642,215,209,6
3,1677436625749,1677436625752,1677436625985,1677436625990,241,233,8
4,1677436626089,1677436626094,1677436626282,1677436626284,195,188,7
5,1677436626399,1677436626403,1677436626597,1677436626599,200,194,6
6,1677436626684,1677436626686,1677436626844,1677436626846,162,158,4
7,1677436626967,1677436626969,1677436627152,1677436627156,189,183,6
8,1677436627251,1677436627254,1677436627431,1677436627433,182,177,5
9,1677436627537,1677436627540,1677436627854,1677436627856,319,314,5
10,1677436627945,1677436627950,1677436628157,1677436628159,214,207,7
11,1677436628277,1677436628280,1677436628598,1677436628602,325,318,7
12,1677436628751,1677436628757,1677436629044,1677436629045,294,287,7
13,1677436629294,1677436629298,1677436629611,1677436629618,324,313,11
14,1677436629726,1677436629730,1677436630032,1677436630035,309,302,7
15,1677436630200,1677436630204,1677436630516,1677436630521,321,312,9
16,1677436630690,1677436630697,1677436631008,1677436631014,324,311,13
17,1677436631177,1677436631182,1677436631463,1677436631471,294,281,13
18,1677436631721,1677436631725,1677436632032,1677436632041,320,307,13
19,1677436632160,1677436632164,1677436632356,1677436632367,207,192,15
20,1677436632475,1677436632484,1677436632806,1677436632821,346,322,24
21,1677436632963,1677436632975,1677436633327,1677436633331,368,352,16
22,1677436633515,1677436633518,1677436633843,1677436633851,336,325,11
23,1677436633992,1677436633995,1677436634386,1677436634396,404,391,13
24,1677436634563,1677436634573,1677436634879,1677436634882,319,306,13
25,1677436635030,1677436635035,1677436635255,1677436635257,227,220,7
26,1677436635363,1677436635366,1677436635655,1677436635663,300,289,11
27,1677436635812,1677436635817,1677436636047,1677436636048,236,230,6
28,1677436636172,1677436636176,1677436636416,1677436636417,245,240,5
29,1677436636550,1677436636553,1677436636767,1677436636770,220,214,6
30,1677436636885,1677436636889,1677436637089,1677436637093,208,200,8
31,1677436637201,1677436637204,1677436637381,1677436637386,185,177,8
32,1677436637553,1677436637557,1677436637853,1677436637855,302,296,6
33,1677436638014,1677436638018,1677436638327,1677436638330,316,309,7
34,1677436638459,1677436638461,1677436638688,1677436638690,231,227,4
35,1677436638813,1677436638818,1677436639118,1677436639122,309,300,9
36,1677436639261,1677436639264,1677436639486,1677436639489,228,222,6
37,1677436639599,1677436639602,1677436639809,1677436639811,212,207,5
38,1677436639923,1677436639926,1677436640200,1677436640202,279,274,5
39,1677436640311,1677436640314,1677436640556,1677436640559,248,242,6
40,1677436640665,1677436640668,1677436640912,1677436640914,249,244,5
41,1677436641032,1677436641035,1677436641297,1677436641300,268,262,6
42,1677436641422,1677436641425,1677436641632,1677436641635,213,207,6
43,1677436641747,1677436641750,1677436642058,1677436642060,313,308,5
44,1677436642191,1677436642196,1677436642429,1677436642431,240,233,7
45,1677436642541,1677436642544,1677436642769,1677436642774,233,225,8
46,1677436642887,1677436642890,1677436643141,1677436643143,256,251,5
47,1677436643264,1677436643267,1677436643485,1677436643487,223,218,5
48,1677436643597,1677436643599,1677436643815,1677436643821,224,216,8
49,1677436643930,1677436643932,1677436644139,1677436644142,212,207,5
50,1677436644262,1677436644265,1677436644460,1677436644462,200,195,5
51,1677436644546,1677436644549,1677436644851,1677436644853,307,302,5
52,1677436644938,1677436644942,1677436645129,1677436645131,193,187,6
53,1677436645220,1677436645223,1677436645429,1677436645431,211,206,5
54,1677436645512,1677436645515,1677436645698,1677436645699,187,183,4
55,1677436645802,1677436645805,1677436645991,1677436645993,191,186,5
56,1677436646090,1677436646092,1677436646292,1677436646294,204,200,4
57,1677436646381,1677436646384,1677436646553,1677436646554,173,169,4
58,1677436646684,1677436646687,1677436646921,1677436646922,238,234,4
59,1677436647014,1677436647017,1677436647195,1677436647197,183,178,5
60,1677436647302,1677436647305,1677436647472,1677436647473,171,167,4
61,1677436647601,1677436647603,1677436647887,1677436647889,288,284,4
62,1677436648000,1677436648003,1677436648279,1677436648281,281,276,5
63,1677436648374,1677436648376,1677436648621,1677436648622,248,245,3
64,1677436648704,1677436648707,1677436648937,1677436648940,236,230,6
65,1677436649027,1677436649029,1677436649277,1677436649279,252,248,4
66,1677436649361,1677436649364,1677436649598,1677436649600,239,234,5
67,1677436649686,1677436649689,1677436649916,1677436649918,232,227,5
68,1677436649999,1677436650002,1677436650248,1677436650250,251,246,5
69,1677436650340,1677436650343,1677436650576,1677436650577,237,233,4
70,1677436650660,1677436650662,1677436650898,1677436650900,240,236,4
71,1677436651009,1677436651012,1677436651214,1677436651215,206,202,4
72,1677436651311,1677436651313,1677436651510,1677436651512,201,197,4
73,1677436651596,1677436651598,1677436651817,1677436651820,224,219,5
74,1677436651906,1677436651908,1677436652111,1677436652113,207,203,4
75,1677436652204,1677436652206,1677436652388,1677436652390,186,182,4
76,1677436652488,1677436652490,1677436652714,1677436652715,227,224,3
77,1677436652813,1677436652815,1677436653023,1677436653025,212,208,4
78,1677436653109,1677436653111,1677436653304,1677436653305,196,193,3
79,1677436653406,1677436653408,1677436653606,1677436653608,202,198,4
80,1677436653694,1677436653697,1677436653878,1677436653880,186,181,5
81,1677436653984,1677436653986,1677436654193,1677436654195,211,207,4
82,1677436654283,1677436654285,1677436654466,1677436654468,185,181,4
83,1677436654585,1677436654587,1677436654752,1677436654754,169,165,4
84,1677436654884,1677436654886,1677436655068,1677436655069,185,182,3
85,1677436655180,1677436655182,1677436655396,1677436655397,217,214,3
86,1677436655487,1677436655490,1677436655676,1677436655678,191,186,5
