experiment_id,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1680999206252,1680999206284,1680999216770,1680999216790,10538,10486,52
2,1680999217064,1680999217085,1680999227635,1680999227655,10591,10550,41
3,1680999227942,1680999227962,1680999239499,1680999239526,11584,11537,47
4,1680999239820,1680999239841,1680999251367,1680999251385,11565,11526,39
5,1680999251678,1680999251700,1680999263276,1680999263296,11618,11576,42
6,1680999263592,1680999263616,1680999274903,1680999274923,11331,11287,44
7,1680999275206,1680999275231,1680999286603,1680999286624,11418,11372,46
8,1680999286917,1680999286941,1680999298634,1680999298659,11742,11693,49
9,1680999298947,1680999298968,1680999310639,1680999310665,11718,11671,47
10,1680999310956,1680999310975,1680999321857,1680999321874,10918,10882,36
