experiment_id,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1680999321883,1680999321884,1680999325397,1680999325397,3514,3513,1
2,1680999325397,1680999325398,1680999329710,1680999329710,4313,4312,1
3,1680999329710,1680999329710,1680999334023,1680999334024,4314,4313,1
4,1680999334024,1680999334024,1680999338552,1680999338552,4528,4528,0
5,1680999338553,1680999338553,1680999342024,1680999342025,3472,3471,1
6,1680999342025,1680999342025,1680999345979,1680999345980,3955,3954,1
7,1680999345980,1680999345980,1680999349398,1680999349398,3418,3418,0
8,1680999349398,1680999349399,1680999353335,1680999353335,3937,3936,1
9,1680999353335,1680999353335,1680999357313,1680999357313,3978,3978,0
10,1680999357313,1680999357313,1680999361181,1680999361181,3868,3868,0
