experiment_id,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1681000210308,1681000210314,1681000215853,1681000215853,5545,5539,6
2,1681000215853,1681000215854,1681000221486,1681000221486,5633,5632,1
3,1681000221486,1681000221486,1681000226999,1681000226999,5513,5513,0
4,1681000226999,1681000226999,1681000232427,1681000232428,5429,5428,1
5,1681000232428,1681000232428,1681000238290,1681000238291,5863,5862,1
6,1681000238291,1681000238291,1681000243908,1681000243908,5617,5617,0
7,1681000243908,1681000243909,1681000249791,1681000249791,5883,5882,1
8,1681000249791,1681000249791,1681000255488,1681000255488,5697,5697,0
9,1681000255488,1681000255489,1681000260850,1681000260851,5363,5361,2
10,1681000260851,1681000260851,1681000266088,1681000266088,5237,5237,0
