experiment_id,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1680995362679,1680995362755,1680995366791,1680995366822,4143,4036,107
2,1680995367351,1680995367407,1680995371206,1680995371238,3887,3799,88
3,1680995371760,1680995371823,1680995375568,1680995375597,3837,3745,92
4,1680995376152,1680995376213,1680995380178,1680995380207,4055,3965,90
5,1680995380753,1680995380810,1680995384961,1680995384992,4239,4151,88
6,1680995385606,1680995385662,1680995390151,1680995390185,4579,4489,90
7,1680995390857,1680995390922,1680995394864,1680995394898,4041,3942,99
8,1680995395535,1680995395594,1680995399476,1680995399505,3970,3882,88
9,1680995400145,1680995400209,1680995404241,1680995404270,4125,4032,93
10,1680995404911,1680995404969,1680995409043,1680995409073,4162,4074,88
