Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

07:18:12 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:18:13 PM     all      0.25      0.00     14.90     17.42      0.00      0.51      0.25      0.00      0.00     66.67
07:18:14 PM     all      0.25      0.00      2.53     17.93      0.00      0.00      0.25      0.00      0.00     79.04
07:18:15 PM     all      0.00      0.00      5.00     17.00      0.00      0.25      0.00      0.00      0.00     77.75
07:18:16 PM     all      0.25      0.00      4.52     20.35      0.00      0.25      0.25      0.00      0.00     74.37
07:18:17 PM     all      0.25      0.00      3.52     20.60      0.00      0.25      0.00      0.00      0.00     75.38
07:18:18 PM     all      0.00      0.00      3.78     19.90      0.00      0.25      0.25      0.00      0.00     75.82
07:18:19 PM     all      0.50      0.00      4.51     18.80      0.00      0.25      0.25      0.00      0.00     75.69
07:18:20 PM     all      0.00      0.00      5.01     18.30      0.00      0.00      0.00      0.00      0.00     76.69
07:18:21 PM     all      0.00      0.00      4.75     20.00      0.00      0.25      0.25      0.00      0.00     74.75
07:18:22 PM     all      0.25      0.00      4.52     16.83      0.00      0.25      0.00      0.00      0.00     78.14
07:18:23 PM     all      0.25      0.00      3.78     17.63      0.00      0.25      0.25      0.00      0.00     77.83
07:18:24 PM     all      0.25      0.00      4.27     17.09      0.00      0.00      0.25      0.00      0.00     78.14
07:18:25 PM     all      0.25      0.00      4.76     17.29      0.00      0.25      0.00      0.00      0.00     77.44
07:18:26 PM     all      0.25      0.00      3.79     18.94      0.00      0.25      0.25      0.00      0.00     76.52
07:18:27 PM     all      0.00      0.00      4.56     18.99      0.00      0.25      0.00      0.00      0.00     76.20
07:18:28 PM     all      0.25      0.00      5.04     17.38      0.00      0.00      0.25      0.00      0.00     77.08
07:18:29 PM     all      0.25      0.00      5.26     17.29      0.00      0.25      0.25      0.00      0.00     76.69
07:18:30 PM     all      0.25      0.00     13.35      9.32      0.00      0.25      0.25      0.00      0.00     76.57
07:18:31 PM     all      0.00      0.00      3.78     16.88      0.00      0.25      0.00      0.00      0.00     79.09
07:18:32 PM     all      0.00      0.00      3.79     16.92      0.00      0.25      0.25      0.00      0.00     78.79
07:18:33 PM     all      0.25      0.00      4.52     16.33      0.00      0.25      0.00      0.00      0.00     78.64
07:18:34 PM     all      0.00      0.00      4.52     17.34      0.00      0.00      0.25      0.00      0.00     77.89
07:18:35 PM     all      0.25      0.00      4.28     15.62      0.00      0.25      0.00      0.00      0.00     79.60
07:18:36 PM     all      0.00      0.00      3.76     17.54      0.00      0.25      0.25      0.00      0.00     78.20
07:18:37 PM     all      0.00      0.00      3.54     14.94      0.00      0.25      0.25      0.00      0.00     81.01
07:18:38 PM     all      0.25      0.00      5.00     15.50      0.00      0.25      0.00      0.00      0.00     79.00
07:18:39 PM     all      0.25      0.00      4.51     16.79      0.00      0.00      0.25      0.00      0.00     78.20
07:18:40 PM     all      0.00      0.00      4.53     18.14      0.00      0.25      0.00      0.00      0.00     77.08
07:18:41 PM     all      0.25      0.00      4.00     15.00      0.00      0.25      0.25      0.00      0.00     80.25
07:18:42 PM     all      0.00      0.00      4.53     17.38      0.00      0.25      0.25      0.00      0.00     77.58
07:18:43 PM     all      0.00      0.00      4.52     16.33      0.00      0.25      0.00      0.00      0.00     78.89
07:18:44 PM     all      0.25      0.00      4.27     16.83      0.00      0.00      0.25      0.00      0.00     78.39
07:18:45 PM     all      0.00      0.00      5.29     15.37      0.00      0.25      0.00      0.00      0.00     79.09
07:18:46 PM     all      0.25      0.00      4.27     17.59      0.00      0.25      0.25      0.00      0.00     77.39
07:18:47 PM     all      0.00      0.00      4.76     19.55      0.00      0.25      0.25      0.00      0.00     75.19
07:18:48 PM     all     30.63      0.00     19.24      7.09      0.00      0.51      0.25      0.00      0.00     42.28
07:18:49 PM     all     45.20      0.00      4.55     19.44      0.00      0.51      0.25      0.00      0.00     30.05
07:18:50 PM     all     49.62      0.00      5.79     19.90      0.00      0.50      0.50      0.00      0.00     23.68
07:18:51 PM     all     48.11      0.00      4.79     20.15      0.00      0.50      0.25      0.00      0.00     26.20
07:18:52 PM     all     50.63      0.00      4.53     18.39      0.00      0.50      0.25      0.00      0.00     25.69
07:18:53 PM     all     41.31      0.00      4.53     18.64      0.00      0.50      0.50      0.00      0.00     34.51
07:18:54 PM     all     40.25      0.00      4.56     18.73      0.00      0.51      0.25      0.00      0.00     35.70
07:18:55 PM     all     44.33      0.00      4.53     20.40      0.00      0.50      0.25      0.00      0.00     29.97
07:18:56 PM     all     51.26      0.00      5.28     20.10      0.00      0.50      0.50      0.00      0.00     22.36
07:18:57 PM     all     40.66      0.00      5.05     19.19      0.00      0.51      0.25      0.00      0.00     34.34
07:18:58 PM     all     60.30      0.00      5.28     17.59      0.00      0.50      0.50      0.00      0.00     15.83
07:18:59 PM     all     64.14      0.00      5.30     16.41      0.00      0.76      0.25      0.00      0.00     13.13
07:19:00 PM     all     65.58      0.00      6.53     17.09      0.00      0.50      0.50      0.00      0.00      9.80
07:19:01 PM     all     63.57      0.00      5.28     18.09      0.00      0.75      0.25      0.00      0.00     12.06
07:19:02 PM     all     61.56      0.00      6.28     17.34      0.00      0.50      0.50      0.00      0.00     13.82
07:19:03 PM     all     56.57      0.00      5.56     18.94      0.00      0.51      0.25      0.00      0.00     18.18
07:19:04 PM     all     53.54      0.00      6.31     19.19      0.00      0.51      0.51      0.00      0.00     19.95
07:19:05 PM     all     49.87      0.00      7.34     18.73      0.00      0.76      0.25      0.00      0.00     23.04
07:19:06 PM     all     51.26      0.00     12.56     11.81      0.00      0.50      0.50      0.00      0.00     23.37
07:19:07 PM     all     47.49      0.00      5.53     19.85      0.00      0.50      0.25      0.00      0.00     26.38
07:19:08 PM     all     54.27      0.00      4.77     19.60      0.00      0.50      0.25      0.00      0.00     20.60
07:19:09 PM     all     56.25      0.00      5.00     18.25      0.00      0.50      0.50      0.00      0.00     19.50
07:19:10 PM     all     42.46      0.00      4.77     18.84      0.00      0.50      0.25      0.00      0.00     33.17
07:19:11 PM     all     38.94      0.00      4.77     19.35      0.00      0.50      0.25      0.00      0.00     36.18
07:19:12 PM     all     47.00      0.00      5.00     19.50      0.00      0.50      0.25      0.00      0.00     27.75
07:19:13 PM     all     50.51      0.00      5.81     17.93      0.00      0.51      0.51      0.00      0.00     24.75
07:19:14 PM     all     42.71      0.00      4.27     19.60      0.00      0.50      0.25      0.00      0.00     32.66
07:19:15 PM     all     61.62      0.00      5.05     18.18      0.00      0.76      0.25      0.00      0.00     14.14
07:19:16 PM     all     61.77      0.00      4.81     19.24      0.00      0.51      0.51      0.00      0.00     13.16
07:19:17 PM     all     55.30      0.00      5.30     19.44      0.00      0.51      0.25      0.00      0.00     19.19
07:19:18 PM     all     20.85      0.00      5.03     14.57      0.00      0.50      0.25      0.00      0.00     58.79
07:19:19 PM     all      0.00      0.00      4.29     11.62      0.00      0.00      0.25      0.00      0.00     83.84
07:19:20 PM     all      0.25      0.00      4.26     13.53      0.00      0.25      0.00      0.00      0.00     81.70
07:19:21 PM     all      0.25      0.00      5.01     14.29      0.00      0.25      0.25      0.00      0.00     79.95
07:19:22 PM     all      0.00      0.00      5.03     17.34      0.00      0.25      0.25      0.00      0.00     77.14
07:19:23 PM     all      0.25      0.00      9.05     16.83      0.00      0.25      0.00      0.00      0.00     73.62
07:19:24 PM     all      0.25      0.00     10.05     13.82      0.00      0.25      0.25      0.00      0.00     75.38
07:19:25 PM     all      0.00      0.00      3.55     16.24      0.00      0.00      0.25      0.00      0.00     79.95
07:19:26 PM     all      0.25      0.00      3.78     19.90      0.00      0.25      0.00      0.00      0.00     75.82
07:19:27 PM     all      0.00      0.00      4.53     17.38      0.00      0.25      0.25      0.00      0.00     77.58
07:19:28 PM     all      0.00      0.00      5.45     16.83      0.00      0.25      0.25      0.00      0.00     77.23
07:19:29 PM     all      0.25      0.00      3.80     17.72      0.00      0.00      0.00      0.00      0.00     78.23
07:19:30 PM     all      0.00      0.00      5.00     15.75      0.00      0.25      0.25      0.00      0.00     78.75
07:19:31 PM     all      0.00      0.00      4.29     16.92      0.00      0.25      0.00      0.00      0.00     78.54
07:19:32 PM     all      0.50      0.00      4.02     18.09      0.00      0.25      0.25      0.00      0.00     76.88
07:19:33 PM     all      0.00      0.00      4.05     18.99      0.00      0.00      0.25      0.00      0.00     76.71
07:19:34 PM     all      0.00      0.00      4.28     14.36      0.00      0.25      0.00      0.00      0.00     81.11
07:19:35 PM     all      0.25      0.00      4.26     16.04      0.00      0.25      0.25      0.00      0.00     78.95
07:19:36 PM     all      0.00      0.00      4.76     15.54      0.00      0.25      0.25      0.00      0.00     79.20
07:19:37 PM     all      0.25      0.00      4.51     13.03      0.00      0.25      0.00      0.00      0.00     81.95
07:19:38 PM     all      0.25      0.00      4.53     15.62      0.00      0.25      0.25      0.00      0.00     79.09
07:19:39 PM     all      0.00      0.00      5.78     17.09      0.00      0.00      0.00      0.00      0.00     77.14
07:19:40 PM     all      0.25      0.00      5.26     18.55      0.00      0.25      0.25      0.00      0.00     75.44
07:19:41 PM     all      0.75      0.00     12.81      9.80      0.00      0.25      0.25      0.00      0.00     76.13
07:19:42 PM     all      0.00      0.00      4.26     15.29      0.00      0.25      0.25      0.00      0.00     79.95
07:19:43 PM     all      0.25      0.00      3.80     15.44      0.00      0.25      0.00      0.00      0.00     80.25
07:19:44 PM     all      0.50      0.00      4.26     17.54      0.00      0.25      0.25      0.00      0.00     77.19
07:19:45 PM     all      0.25      0.00      4.04     18.43      0.00      0.00      0.00      0.00      0.00     77.27
07:19:46 PM     all      0.00      0.00      3.26     20.80      0.00      0.25      0.25      0.00      0.00     75.44
07:19:47 PM     all      0.25      0.00      4.99     16.96      0.00      0.25      0.25      0.00      0.00     77.31
07:19:48 PM     all      0.00      0.00      5.01     16.04      0.00      0.25      0.00      0.00      0.00     78.70
07:19:49 PM     all      0.00      0.00      4.74     17.96      0.00      0.25      0.25      0.00      0.00     76.81
07:19:50 PM     all      0.25      0.00      4.30     17.97      0.00      0.00      0.00      0.00      0.00     77.47
07:19:51 PM     all      0.25      0.00      4.75     16.75      0.00      0.25      0.25      0.00      0.00     77.75
07:19:52 PM     all      0.25      0.00      4.49     16.96      0.00      0.25      0.25      0.00      0.00     77.81
07:19:53 PM     all      0.00      0.00      4.52     14.57      0.00      0.25      0.00      0.00      0.00     80.65
07:19:54 PM     all      0.25      0.00      3.03     18.18      0.00      0.25      0.25      0.00      0.00     78.03
07:19:55 PM     all      0.51      0.00      3.54     18.94      0.00      0.00      0.00      0.00      0.00     77.02
07:19:56 PM     all      0.00      0.00      4.28     19.65      0.00      0.25      0.25      0.00      0.00     75.57
07:19:57 PM     all      0.00      0.00      5.78     18.09      0.00      0.25      0.00      0.00      0.00     75.88
