request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693210956507,1692238692184,1692238710314,1693210974716,18209,18130,79
2,1693210974716,1692238710320,1692238728218,1693210992620,17904,17898,6
3,1693210992784,1692238728390,1692238745934,1693211010336,17552,17544,8
4,1693211010336,1692238745942,1692238763858,1693211028259,17923,17916,7
5,1693211028266,1692238763870,1692238781081,1693211045483,17217,17211,6
6,1693211045483,1692238781087,1692238799263,1693211063664,18181,18176,5
7,1693211063830,1692238799434,1692238817482,1693211081980,18150,18048,102
8,1693211081980,1692238817585,1692238835160,1693211099560,17580,17575,5
9,1693211099567,1692238835171,1692238860744,1693211125145,25578,25573,5
10,1693211125145,1692238860750,1692238883413,1693211147924,22779,22663,116
11,1693211148089,1692238883694,1692238901825,1693211166225,18136,18131,5
12,1693211166226,1692238901831,1692238919466,1693211183867,17641,17635,6
13,1693211183873,1692238919478,1692238937744,1693211202218,18345,18266,79
14,1693211202218,1692238937824,1692238955317,1693211219717,17499,17493,6
15,1693211219885,1692238955491,1692238973333,1693211237733,17848,17842,6
16,1693211237733,1692238973339,1692238991290,1693211255690,17957,17951,6
17,1693211255697,1692238991303,1692239008995,1693211273394,17697,17692,5
18,1693211273394,1692239009000,1692239026190,1693211290766,17372,17190,182
19,1693211291073,1692239026680,1692239044918,1693211309317,18244,18238,6
20,1693211309317,1692239044924,1692239062445,1693211326912,17595,17521,74
21,1693211326919,1692239062525,1692239080559,1693211344961,18042,18034,8
22,1693211344961,1692239080567,1692239097923,1693211362321,17360,17356,4
23,1693211362484,1692239098091,1692239116056,1693211380455,17971,17965,6
24,1693211380455,1692239116089,1692239135501,1693211399925,19470,19412,58
25,1693211399936,1692239135543,1692239153748,1693211418146,18210,18205,5
26,1693211418146,1692239153754,1692239172185,1693211436583,18437,18431,6
27,1693211436748,1692239172356,1692239190957,1693211455355,18607,18601,6
28,1693211455355,1692239190964,1692239210316,1693211474713,19358,19352,6
29,1693211474721,1692239210329,1692239228205,1693211492640,17919,17876,43
30,1693211492640,1692239228249,1692239246874,1693211511271,18631,18625,6
31,1693211511444,1692239247052,1692239265806,1693211530203,18759,18754,5
32,1693211530203,1692239265812,1692239284688,1693211549119,18916,18876,40
33,1693211549126,1692239284735,1692239302235,1693211566632,17506,17500,6
34,1693211566632,1692239302242,1692239320737,1693211585160,18528,18495,33
35,1693211585365,1692239320975,1692239338951,1693211603348,17983,17976,7
36,1693211603348,1692239338958,1692239357505,1693211621922,18574,18547,27
37,1693211621929,1692239357538,1692239375097,1693211639493,17564,17559,5
38,1693211639493,1692239375103,1692239392589,1693211657048,17555,17486,69
39,1693211657212,1692239392826,1692239411653,1693211676048,18836,18827,9
40,1693211676048,1692239411660,1692239429523,1693211694012,17964,17863,101
41,1693211694021,1692239429631,1692239447510,1693211711905,17884,17879,5
42,1693211711905,1692239447515,1692239465408,1693211729851,17946,17893,53
