Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

05:46:46 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
05:46:47 PM     all      0.50      0.00     15.87     20.40      0.00      0.25      0.50      0.00      0.00     62.47
05:46:48 PM     all      0.25      0.00      4.27     20.60      0.00      0.25      0.00      0.00      0.00     74.62
05:46:49 PM     all      0.00      0.00      4.53     19.40      0.00      0.00      0.25      0.00      0.00     75.82
05:46:50 PM     all      0.00      0.00      4.29     20.71      0.00      0.25      0.00      0.00      0.00     74.75
05:46:51 PM     all      0.00      0.00      4.75     19.50      0.00      0.25      0.25      0.00      0.00     75.25
05:46:52 PM     all      0.25      0.00      4.51     19.80      0.00      0.25      0.25      0.00      0.00     74.94
05:46:53 PM     all      0.25      0.00      4.28     20.65      0.00      0.25      0.00      0.00      0.00     74.56
05:46:54 PM     all      0.75      0.00      4.52     21.36      0.00      0.25      0.25      0.00      0.00     72.86
05:46:55 PM     all      0.00      0.00      4.29     20.96      0.00      0.00      0.00      0.00      0.00     74.75
05:46:56 PM     all      0.25      0.00      4.03     19.90      0.00      0.25      0.25      0.00      0.00     75.31
05:46:57 PM     all      0.00      0.00      4.51     19.80      0.00      0.25      0.25      0.00      0.00     75.19
05:46:58 PM     all      0.00      0.00      5.78     21.36      0.00      0.25      0.00      0.00      0.00     72.61
05:46:59 PM     all      0.00      0.00      5.76     20.30      0.00      0.25      0.25      0.00      0.00     73.43
05:47:00 PM     all      1.01      0.00      6.53     18.59      0.00      0.25      0.00      0.00      0.00     73.62
05:47:01 PM     all      0.25      0.00      5.28     19.85      0.00      0.25      0.25      0.00      0.00     74.12
05:47:02 PM     all      0.25      0.00      6.02     20.55      0.00      0.00      0.25      0.00      0.00     72.93
05:47:03 PM     all      0.76      0.00     11.36     10.35      0.00      0.25      0.25      0.00      0.00     77.02
05:47:04 PM     all      0.00      0.00      4.28     19.90      0.00      0.25      0.00      0.00      0.00     75.57
05:47:05 PM     all      0.25      0.00      4.50     21.00      0.00      0.25      0.25      0.00      0.00     73.75
05:47:06 PM     all      0.25      0.00      4.77     21.36      0.00      0.25      0.00      0.00      0.00     73.37
