request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693206942582,1692234678213,1692234695304,1693206959748,17166,17091,75
2,1693206959749,1692234695312,1692234712369,1693206976811,17062,17057,5
3,1693206977093,1692234712657,1692234729855,1693206994297,17204,17198,6
4,1693206994297,1692234729869,1692234746982,1693207011424,17127,17113,14
5,1693207011430,1692234746993,1692234764235,1693207028678,17248,17242,6
6,1693207028678,1692234764243,1692234781334,1693207045775,17097,17091,6
7,1693207045937,1692234781502,1692234798841,1693207063378,17441,17339,102
8,1693207063378,1692234798943,1692234816060,1693207080501,17123,17117,6
9,1693207080508,1692234816072,1692234833237,1693207097783,17275,17165,110
10,1693207097783,1692234833349,1692234850660,1693207115101,17318,17311,7
11,1693207115264,1692234850829,1692234867918,1693207132359,17095,17089,6
12,1693207132359,1692234867924,1692234885034,1693207149474,17115,17110,5
13,1693207149481,1692234885046,1692234902354,1693207166903,17422,17308,114
14,1693207166903,1692234902468,1692234919659,1693207184099,17196,17191,5
15,1693207184264,1692234919830,1692234936883,1693207201411,17147,17053,94
16,1693207201411,1692234936977,1692234954018,1693207218457,17046,17041,5
17,1693207218466,1692234954032,1692234971327,1693207235779,17313,17295,18
18,1693207235779,1692234971345,1692234988516,1693207252956,17177,17171,6
19,1693207253121,1692234988687,1692235005748,1693207270187,17066,17061,5
20,1693207270187,1692235005753,1692235023014,1693207287452,17265,17261,4
21,1693207287459,1692235023026,1692235040067,1693207304505,17046,17041,5
22,1693207304506,1692235040072,1692235057551,1693207322035,17529,17479,50
23,1693207322197,1692235057764,1692235074812,1693207339250,17053,17048,5
24,1693207339250,1692235074817,1692235092125,1693207356563,17313,17308,5
25,1693207356571,1692235092137,1692235109273,1693207373711,17140,17136,4
26,1693207373711,1692235109278,1692235126495,1693207390949,17238,17217,21
27,1693207391113,1692235126680,1692235145370,1693207409808,18695,18690,5
28,1693207409808,1692235145375,1692235162931,1693207427369,17561,17556,5
29,1693207427375,1692235162943,1692235180672,1693207445109,17734,17729,5
30,1693207445109,1692235180679,1692235198586,1693207463039,17930,17907,23
31,1693207463200,1692235198768,1692235216752,1693207481264,18064,17984,80
32,1693207481264,1692235216832,1692235234596,1693207499034,17770,17764,6
33,1693207499040,1692235234609,1692235252424,1693207516860,17820,17815,5
34,1693207516860,1692235252429,1692235269892,1693207534329,17469,17463,6
35,1693207534491,1692235270061,1692235287184,1693207551622,17131,17123,8
36,1693207551622,1692235287197,1692235304523,1693207569020,17398,17326,72
37,1693207569028,1692235304599,1692235322025,1693207586461,17433,17426,7
38,1693207586461,1692235322031,1692235339242,1693207603678,17217,17211,6
39,1693207603840,1692235339411,1692235356570,1693207621005,17165,17159,6
40,1693207621005,1692235356575,1692235373980,1693207638415,17410,17405,5
41,1693207638424,1692235374004,1692235391454,1693207655890,17466,17450,16
42,1693207655890,1692235391463,1692235409143,1693207673577,17687,17680,7
