Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

06:49:13 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
06:49:14 PM     all      0.25      0.00     15.15     18.69      0.00      0.51      0.25      0.00      0.00     65.15
06:49:15 PM     all      0.00      0.00      3.80     18.73      0.00      0.00      0.00      0.00      0.00     77.47
06:49:16 PM     all      0.00      0.00      4.27     18.09      0.00      0.25      0.25      0.00      0.00     77.14
06:49:17 PM     all      0.00      0.00      4.52     18.09      0.00      0.25      0.00      0.00      0.00     77.14
06:49:18 PM     all      0.25      0.00      4.26     19.80      0.00      0.25      0.25      0.00      0.00     75.19
06:49:19 PM     all      0.25      0.00      4.02     20.35      0.00      0.00      0.25      0.00      0.00     75.13
06:49:20 PM     all      0.00      0.00      4.77     18.09      0.00      0.25      0.00      0.00      0.00     76.88
06:49:21 PM     all      0.25      0.00      4.27     17.84      0.00      0.25      0.25      0.00      0.00     77.14
06:49:22 PM     all      0.00      0.00      4.27     17.09      0.00      0.25      0.00      0.00      0.00     78.39
06:49:23 PM     all      0.25      0.00      3.78     16.88      0.00      0.25      0.25      0.00      0.00     78.59
06:49:24 PM     all      0.25      0.00      4.51     16.54      0.00      0.25      0.25      0.00      0.00     78.20
06:49:25 PM     all      0.25      0.00      4.27     17.09      0.00      0.00      0.00      0.00      0.00     78.39
06:49:26 PM     all      0.00      0.00      3.77     17.34      0.00      0.25      0.25      0.00      0.00     78.39
06:49:27 PM     all      0.00      0.00      4.82     16.50      0.00      0.25      0.00      0.00      0.00     78.43
06:49:28 PM     all      0.00      0.00      5.51     16.29      0.00      0.25      0.25      0.00      0.00     77.69
06:49:29 PM     all      0.00      0.00      4.55     18.43      0.00      0.00      0.25      0.00      0.00     76.77
06:49:30 PM     all      0.25      0.00      5.01     17.54      0.00      0.25      0.00      0.00      0.00     76.94
06:49:31 PM     all      0.51      0.00     12.12      9.85      0.00      0.25      0.25      0.00      0.00     77.02
06:49:32 PM     all      0.00      0.00      4.52     18.34      0.00      0.25      0.25      0.00      0.00     76.63
06:49:33 PM     all      0.00      0.00      4.76     17.04      0.00      0.25      0.00      0.00      0.00     77.94
06:49:34 PM     all      0.00      0.00      3.54     16.92      0.00      0.25      0.25      0.00      0.00     79.04
06:49:35 PM     all      0.25      0.00      4.74     18.20      0.00      0.00      0.25      0.00      0.00     76.56
06:49:36 PM     all      0.00      0.00      4.53     17.88      0.00      0.25      0.00      0.00      0.00     77.33
06:49:37 PM     all      0.00      0.00      4.02     16.58      0.00      0.25      0.25      0.00      0.00     78.89
06:49:38 PM     all      0.50      0.00      4.01     17.79      0.00      0.25      0.00      0.00      0.00     77.44
06:49:39 PM     all      0.50      0.00      4.75     17.25      0.00      0.00      0.25      0.00      0.00     77.25
06:49:40 PM     all      0.00      0.00      4.51     16.54      0.00      0.25      0.25      0.00      0.00     78.45
06:49:41 PM     all      0.00      0.00      4.76     16.29      0.00      0.25      0.00      0.00      0.00     78.70
06:49:42 PM     all      0.25      0.00      4.03     17.38      0.00      0.25      0.25      0.00      0.00     77.83
06:49:43 PM     all      0.25      0.00      4.50     18.75      0.00      0.25      0.00      0.00      0.00     76.25
06:49:44 PM     all      0.00      0.00      4.27     18.34      0.00      0.00      0.25      0.00      0.00     77.14
06:49:45 PM     all      0.75      0.00      5.01     18.80      0.00      0.25      0.25      0.00      0.00     74.94
06:49:46 PM     all      0.25      0.00      5.78     15.33      0.00      0.25      0.00      0.00      0.00     78.39
06:49:47 PM     all      0.00      0.00      4.53     17.88      0.00      0.25      0.25      0.00      0.00     77.08
06:49:48 PM     all      0.00      0.00      5.03     17.09      0.00      0.25      0.25      0.00      0.00     77.39
06:49:49 PM     all      0.99      0.00     54.09      5.96      0.00      0.50      0.25      0.00      0.00     38.21
06:49:50 PM     all      0.51      0.00     76.65     13.20      0.00      0.25      0.00      0.00      0.00      9.39
06:49:51 PM     all      0.77      0.00     11.48     52.30      0.00      0.26      0.26      0.00      0.00     34.95
06:49:52 PM     all      0.25      0.00     14.00     49.00      0.00      0.50      0.25      0.00      0.00     36.00
06:49:53 PM     all      0.00      0.00     11.81     51.01      0.00      0.25      0.25      0.00      0.00     36.68
06:49:54 PM     all      0.50      0.00     13.47     52.87      0.00      0.25      0.25      0.00      0.00     32.67
06:49:55 PM     all      0.26      0.00     11.48     51.28      0.00      0.26      0.26      0.00      0.00     36.48
06:49:56 PM     all      0.25      0.00     13.00     50.25      0.00      0.50      0.25      0.00      0.00     35.75
06:49:57 PM     all      0.25      0.00     11.68     48.73      0.00      0.25      0.25      0.00      0.00     38.83
06:49:58 PM     all      0.00      0.00     12.50     52.30      0.00      0.26      0.26      0.00      0.00     34.69
06:49:59 PM     all      0.25      0.00     13.82     50.25      0.00      0.25      0.25      0.00      0.00     35.18
06:50:00 PM     all      1.26      0.00     11.62     55.05      0.00      0.51      0.25      0.00      0.00     31.31
06:50:01 PM     all      0.25      0.00     12.98     49.11      0.00      0.25      0.25      0.00      0.00     37.15
06:50:02 PM     all      0.25      0.00      9.39     54.57      0.00      0.25      0.25      0.00      0.00     35.28
06:50:03 PM     all      0.26      0.00     13.01     50.77      0.00      0.26      0.26      0.00      0.00     35.46
06:50:04 PM     all      0.26      0.00     11.25     51.92      0.00      0.26      0.26      0.00      0.00     36.06
06:50:05 PM     all      0.25      0.00     13.50     51.00      0.00      0.25      0.25      0.00      0.00     34.75
06:50:06 PM     all      0.76      0.00     11.90     53.16      0.00      0.51      0.25      0.00      0.00     33.42
06:50:07 PM     all      0.25      0.00     11.96     54.45      0.00      0.25      0.25      0.00      0.00     32.82
06:50:08 PM     all      0.25      0.00     12.72     51.15      0.00      0.25      0.25      0.00      0.00     35.37
06:50:09 PM     all      0.25      0.00     12.34     49.87      0.00      0.25      0.25      0.00      0.00     37.03
06:50:10 PM     all      0.26      0.00     11.83     53.21      0.00      0.51      0.26      0.00      0.00     33.93
06:50:11 PM     all      0.26      0.00      9.46     55.75      0.00      0.26      0.26      0.00      0.00     34.02
06:50:12 PM     all      0.25      0.00     10.58     52.39      0.00      0.25      0.25      0.00      0.00     36.27
06:50:13 PM     all      0.25      0.00     64.74     20.15      0.00      0.50      0.00      0.00      0.00     14.36
06:50:14 PM     all      0.25      0.00     96.27      1.49      0.00      0.25      0.25      0.00      0.00      1.49
06:50:15 PM     all      0.51      0.00     48.86     29.87      0.00      0.25      0.25      0.00      0.00     20.25
06:50:16 PM     all      0.25      0.00     12.47     52.67      0.00      0.51      0.25      0.00      0.00     33.84
06:50:17 PM     all      0.25      0.00     10.89     54.94      0.00      0.25      0.25      0.00      0.00     33.42
06:50:18 PM     all      0.00      0.00     11.90     49.62      0.00      0.25      0.25      0.00      0.00     37.97
06:50:19 PM     all      0.51      0.00     11.57     51.16      0.00      0.51      0.26      0.00      0.00     35.99
06:50:20 PM     all      0.00      0.00      4.52     19.60      0.00      0.25      0.25      0.00      0.00     75.38
06:50:21 PM     all      0.25      0.00      4.77     18.34      0.00      0.00      0.00      0.00      0.00     76.63
06:50:22 PM     all      0.25      0.00      3.78     19.65      0.00      0.25      0.25      0.00      0.00     75.82
06:50:23 PM     all      0.00      0.00      4.03     19.40      0.00      0.25      0.00      0.00      0.00     76.32
06:50:24 PM     all      0.25      0.00      4.26     19.30      0.00      0.25      0.25      0.00      0.00     75.69
06:50:25 PM     all      0.25      0.00      5.22     17.91      0.00      0.00      0.25      0.00      0.00     76.37
06:50:26 PM     all      0.00      0.00      3.27     21.66      0.00      0.25      0.00      0.00      0.00     74.81
06:50:27 PM     all      0.75      0.00      4.49     20.20      0.00      0.25      0.25      0.00      0.00     74.06
06:50:28 PM     all      0.00      0.00      4.02     20.35      0.00      0.25      0.00      0.00      0.00     75.38
06:50:29 PM     all      0.51      0.00      3.04     20.51      0.00      0.00      0.25      0.00      0.00     75.70
06:50:30 PM     all      0.25      0.00      3.79     19.70      0.00      0.25      0.00      0.00      0.00     76.01
06:50:31 PM     all      0.00      0.00      4.74     19.95      0.00      0.25      0.25      0.00      0.00     74.81
06:50:32 PM     all      0.00      0.00      5.00     20.25      0.00      0.25      0.25      0.00      0.00     74.25
06:50:33 PM     all      0.25      0.00      4.81     19.49      0.00      0.00      0.00      0.00      0.00     75.44
06:50:34 PM     all      0.00      0.00     14.25     10.25      0.00      0.50      0.25      0.00      0.00     74.75
06:50:35 PM     all      0.25      0.00      4.25     20.75      0.00      0.00      0.25      0.00      0.00     74.50
06:50:36 PM     all      0.00      0.00      4.29     18.43      0.00      0.25      0.00      0.00      0.00     77.02
06:50:37 PM     all      0.00      0.00      4.26     19.80      0.00      0.25      0.25      0.00      0.00     75.44
06:50:38 PM     all      0.25      0.00      4.98     19.15      0.00      0.25      0.25      0.00      0.00     75.12
06:50:39 PM     all      0.00      0.00      4.77     21.11      0.00      0.25      0.00      0.00      0.00     73.87
06:50:40 PM     all      0.00      0.00      4.51     20.55      0.00      0.00      0.25      0.00      0.00     74.69
06:50:41 PM     all      0.00      0.00      4.04     19.19      0.00      0.25      0.00      0.00      0.00     76.52
06:50:42 PM     all      0.25      0.00      3.78     19.40      0.00      0.25      0.25      0.00      0.00     76.07
