request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693209216938,1692236952525,1692236970744,1693209235163,18225,18219,6
2,1693209235163,1692236970750,1692236988638,1693209253057,17894,17888,6
3,1693209253221,1692236988808,1692237012693,1693209277114,23893,23885,8
4,1693209277114,1692237012741,1692237033414,1693209297901,20787,20673,114
5,1693209297908,1692237033494,1692237051456,1693209315875,17967,17962,5
6,1693209315875,1692237051462,1692237069313,1693209333731,17856,17851,5
7,1693209333896,1692237069483,1692237093660,1693209358080,24184,24177,7
8,1693209358080,1692237093668,1692237114504,1693209379001,20921,20836,85
9,1693209379007,1692237114595,1692237132337,1693209396754,17747,17742,5
10,1693209396754,1692237132342,1692237150188,1693209414605,17851,17846,5
11,1693209414769,1692237150359,1692237175911,1693209440328,25559,25552,7
12,1693209440328,1692237175916,1692237196880,1693209461298,20970,20964,6
13,1693209461304,1692237196893,1692237215170,1693209479600,18296,18277,19
14,1693209479600,1692237215190,1692237233402,1693209497819,18219,18212,7
15,1693209497982,1692237233572,1692237258243,1693209522660,24678,24671,7
16,1693209522660,1692237258251,1692237278676,1693209543146,20486,20425,61
17,1693209543152,1692237278742,1692237297291,1693209561707,18555,18549,6
18,1693209561707,1692237297296,1692237316174,1693209580624,18917,18878,39
19,1693209580792,1692237316382,1692237342210,1693209606626,25834,25828,6
20,1693209606626,1692237342217,1692237362718,1693209627134,20508,20501,7
21,1693209627141,1692237362731,1692237381643,1693209646058,18917,18912,5
22,1693209646058,1692237381648,1692237399991,1693209664418,18360,18343,17
23,1693209664699,1692237400333,1692237424462,1693209688876,24177,24129,48
24,1693209688876,1692237424467,1692237444615,1693209709133,20257,20148,109
25,1693209709140,1692237444730,1692237462324,1693209726738,17598,17594,4
26,1693209726738,1692237462331,1692237479995,1693209744409,17671,17664,7
27,1693209744574,1692237480166,1692237503631,1693209768114,23540,23465,75
28,1693209768114,1692237503706,1692237523868,1693209788283,20169,20162,7
29,1693209788289,1692237523880,1692237540919,1693209805340,17051,17039,12
30,1693209805340,1692237540932,1692237558243,1693209822692,17352,17311,41
31,1693209822855,1692237558447,1692237582514,1693209846928,24073,24067,6
32,1693209846928,1692237582520,1692237602349,1693209866762,19834,19829,5
33,1693209866769,1692237602361,1692237619524,1693209884028,17259,17163,96
34,1693209884028,1692237619620,1692237637280,1693209901693,17665,17660,5
35,1693209901857,1692237637450,1692237662064,1693209926476,24619,24614,5
36,1693209926476,1692237662070,1692237682626,1693209947038,20562,20556,6
37,1693209947045,1692237682638,1692237699738,1693209964167,17122,17100,22
38,1693209964167,1692237699760,1692237717030,1693209981442,17275,17270,5
39,1693209981605,1692237717201,1692237741213,1693210005624,24019,24012,7
40,1693210005624,1692237741218,1692237761017,1693210025429,19805,19799,6
41,1693210025436,1692237761032,1692237778457,1693210042868,17432,17425,7
42,1693210042868,1692237778462,1692237795870,1693210060312,17444,17408,36
