Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

06:23:40 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
06:23:41 PM     all      0.25      0.00     16.25     20.25      0.00      0.25      0.50      0.00      0.00     62.50
06:23:42 PM     all      0.00      0.00      4.29     19.70      0.00      0.25      0.00      0.00      0.00     75.76
06:23:43 PM     all      0.25      0.00      4.74     19.20      0.00      0.25      0.25      0.00      0.00     75.31
06:23:44 PM     all      0.25      0.00      5.01     20.05      0.00      0.25      0.00      0.00      0.00     74.44
06:23:45 PM     all      0.76      0.00      4.55     19.70      0.00      0.25      0.25      0.00      0.00     74.49
06:23:46 PM     all      0.25      0.00      4.50     20.50      0.00      0.25      0.25      0.00      0.00     74.25
06:23:47 PM     all      0.00      0.00      4.53     19.90      0.00      0.00      0.00      0.00      0.00     75.57
06:23:48 PM     all      0.25      0.00      4.51     20.30      0.00      0.25      0.25      0.00      0.00     74.44
06:23:49 PM     all      0.00      0.00      4.28     19.90      0.00      0.25      0.00      0.00      0.00     75.57
06:23:50 PM     all      0.25      0.00      4.50     20.75      0.00      0.25      0.25      0.00      0.00     74.00
06:23:51 PM     all      0.00      0.00      4.53     20.65      0.00      0.00      0.25      0.00      0.00     74.56
06:23:52 PM     all      0.00      0.00      5.06     18.73      0.00      0.25      0.00      0.00      0.00     75.95
06:23:53 PM     all      0.00      0.00      5.03     19.85      0.00      0.25      0.25      0.00      0.00     74.62
06:23:54 PM     all      0.25      0.00      6.03     21.11      0.00      0.25      0.00      0.00      0.00     72.36
06:23:55 PM     all      0.00      0.00      5.53     19.35      0.00      0.25      0.25      0.00      0.00     74.62
06:23:56 PM     all      0.25      0.00      5.50     19.50      0.00      0.25      0.25      0.00      0.00     74.25
06:23:57 PM     all      0.25      0.00     12.85     12.59      0.00      0.25      0.25      0.00      0.00     73.80
06:23:58 PM     all      0.25      0.00      4.04     17.68      0.00      0.00      0.00      0.00      0.00     78.03
06:23:59 PM     all      0.00      0.00      4.51     18.05      0.00      0.25      0.25      0.00      0.00     76.94
06:24:00 PM     all      1.50      0.00      5.25     18.25      0.00      0.25      0.00      0.00      0.00     74.75
06:24:01 PM     all      0.00      0.00      4.76     17.29      0.00      0.25      0.25      0.00      0.00     77.44
06:24:02 PM     all      0.25      0.00      4.75     19.25      0.00      0.25      0.00      0.00      0.00     75.50
06:24:03 PM     all      0.25      0.00      3.79     18.94      0.00      0.00      0.25      0.00      0.00     76.77
06:24:04 PM     all      0.00      0.00      4.27     20.10      0.00      0.25      0.25      0.00      0.00     75.13
06:24:05 PM     all      0.00      0.00      4.53     19.40      0.00      0.25      0.00      0.00      0.00     75.82
06:24:06 PM     all      0.25      0.00      4.27     19.10      0.00      0.25      0.25      0.00      0.00     75.88
06:24:07 PM     all      0.25      0.00      4.76     19.05      0.00      0.00      0.00      0.00      0.00     75.94
06:24:08 PM     all      0.25      0.00      4.75     17.50      0.00      0.25      0.25      0.00      0.00     77.00
06:24:09 PM     all      0.25      0.00      4.77     18.34      0.00      0.25      0.00      0.00      0.00     76.38
06:24:10 PM     all      0.00      0.00      5.79     19.40      0.00      0.25      0.25      0.00      0.00     74.31
06:24:11 PM     all      0.25      0.00      4.76     18.80      0.00      0.25      0.25      0.00      0.00     75.69
06:24:12 PM     all      0.00      0.00      4.30     18.23      0.00      0.25      0.00      0.00      0.00     77.22
06:24:13 PM     all      0.25      0.00      5.75     19.75      0.00      0.00      0.25      0.00      0.00     74.00
06:24:14 PM     all      3.98      0.00     11.44     14.43      0.00      0.50      0.25      0.00      0.00     69.40
06:24:15 PM     all     83.17      0.00     16.08      0.00      0.00      0.50      0.25      0.00      0.00      0.00
06:24:16 PM     all     93.77      0.00      5.24      0.00      0.00      1.00      0.00      0.00      0.00      0.00
06:24:17 PM     all     94.00      0.00      5.00      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:18 PM     all     92.75      0.00      6.00      0.00      0.00      1.00      0.25      0.00      0.00      0.00
06:24:19 PM     all     93.00      0.00      6.00      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:20 PM     all     92.00      0.00      7.00      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:21 PM     all     88.00      0.00     11.00      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:22 PM     all     92.50      0.00      6.50      0.00      0.00      1.00      0.00      0.00      0.00      0.00
06:24:23 PM     all     92.50      0.00      6.50      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:24 PM     all     91.73      0.00      7.27      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:25 PM     all     93.28      0.00      5.47      0.00      0.00      1.00      0.25      0.00      0.00      0.00
06:24:26 PM     all     92.48      0.00      6.52      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:27 PM     all     88.50      0.00     10.50      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:28 PM     all     89.50      0.00      9.50      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:29 PM     all     91.25      0.00      7.75      0.00      0.00      1.00      0.00      0.00      0.00      0.00
06:24:30 PM     all     90.75      0.00      8.25      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:31 PM     all     90.73      0.00      8.27      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:32 PM     all     90.02      0.00      8.73      0.00      0.00      1.00      0.25      0.00      0.00      0.00
06:24:33 PM     all     85.04      0.00     13.97      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:34 PM     all     93.23      0.00      5.76      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:35 PM     all     91.73      0.00      7.27      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:36 PM     all     92.52      0.00      6.23      0.00      0.00      1.00      0.25      0.00      0.00      0.00
06:24:37 PM     all     93.27      0.00      5.99      0.00      0.00      0.75      0.00      0.00      0.00      0.00
06:24:38 PM     all     91.75      0.00      7.00      0.00      0.00      1.00      0.25      0.00      0.00      0.00
06:24:39 PM     all     91.02      0.00      7.98      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:40 PM     all     91.71      0.00      7.29      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:41 PM     all     90.27      0.00      8.73      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:42 PM     all     91.25      0.00      7.50      0.00      0.00      1.00      0.25      0.00      0.00      0.00
06:24:43 PM     all     92.52      0.00      6.48      0.00      0.00      0.75      0.25      0.00      0.00      0.00
06:24:44 PM     all     86.50      0.00      7.50      1.00      0.00      1.00      0.25      0.00      0.00      3.75
06:24:45 PM     all      0.00      0.00      4.30     19.75      0.00      0.00      0.00      0.00      0.00     75.95
06:24:46 PM     all      0.00      0.00      5.76     18.80      0.00      0.25      0.25      0.00      0.00     74.94
06:24:47 PM     all      0.00      0.00      5.51     18.80      0.00      0.25      0.25      0.00      0.00     75.19
06:24:48 PM     all      0.25      0.00      5.30     20.20      0.00      0.25      0.00      0.00      0.00     73.99
