request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693207683967,1692235419614,1692235436755,1693207701190,17223,17141,82
2,1693207701190,1692235436761,1692235454146,1693207718581,17391,17385,6
3,1693207718743,1692235454323,1692235472206,1693207736641,17898,17883,15
4,1693207736641,1692235472214,1692235490275,1693207754709,18068,18061,7
5,1693207754715,1692235490287,1692235507309,1693207771743,17028,17022,6
6,1693207771743,1692235507314,1692235524794,1693207789228,17485,17480,5
7,1693207789390,1692235524962,1692235543153,1693207807586,18196,18191,5
8,1693207807586,1692235543159,1692235561260,1693207825693,18107,18101,6
9,1693207825700,1692235561272,1692235578346,1693207842779,17079,17074,5
10,1693207842779,1692235578351,1692235599181,1693207863719,20940,20830,110
11,1693207863883,1692235599456,1692235617350,1693207881824,17941,17894,47
12,1693207881824,1692235617398,1692235635635,1693207900173,18349,18237,112
13,1693207900281,1692235635854,1692235653314,1693207917782,17501,17460,41
14,1693207917782,1692235653356,1692235670473,1693207934988,17206,17117,89
15,1693207935150,1692235670723,1692235689495,1693207954034,18884,18772,112
16,1693207954034,1692235689609,1692235707907,1693207972339,18305,18298,7
17,1693207972346,1692235707919,1692235725215,1693207989646,17300,17296,4
18,1693207989646,1692235725220,1692235742876,1693208007317,17671,17656,15
19,1693208007482,1692235743058,1692235761432,1693208025928,18446,18374,72
20,1693208025928,1692235761504,1692235780107,1693208044679,18751,18603,148
21,1693208044686,1692235780259,1692235798595,1693208063088,18402,18336,66
22,1693208063088,1692235798662,1692235816376,1693208080807,17719,17714,5
23,1693208080968,1692235816544,1692235835058,1693208099488,18520,18514,6
24,1693208099488,1692235835064,1692235853780,1693208118271,18783,18716,67
25,1693208118277,1692235853852,1692235871629,1693208136098,17821,17777,44
26,1693208136098,1692235871673,1692235889610,1693208154040,17942,17937,5
27,1693208154203,1692235889778,1692235908217,1693208172757,18554,18439,115
28,1693208172757,1692235908337,1692235926681,1693208191189,18432,18344,88
29,1693208191198,1692235926773,1692235944417,1693208208902,17704,17644,60
30,1693208208902,1692235944479,1692235962061,1693208226491,17589,17582,7
31,1693208226652,1692235962228,1692235981401,1693208245830,19178,19173,5
32,1693208245830,1692235981408,1692236000322,1693208264911,19081,18914,167
33,1693208264919,1692236000496,1692236018328,1693208282757,17838,17832,6
34,1693208282757,1692236018333,1692236035742,1693208300170,17413,17409,4
35,1693208300333,1692236035912,1692236053663,1693208318091,17758,17751,7
36,1693208318091,1692236053670,1692236071669,1693208336183,18092,17999,93
37,1693208336190,1692236071767,1692236089229,1693208353693,17503,17462,41
38,1693208353693,1692236089271,1692236106578,1693208371101,17408,17307,101
39,1693208371271,1692236106849,1692236125115,1693208389543,18272,18266,6
40,1693208389543,1692236125122,1692236143094,1693208407522,17979,17972,7
41,1693208407529,1692236143107,1692236160318,1693208424745,17216,17211,5
42,1693208424745,1692236160323,1692236177709,1693208442136,17391,17386,5
