Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

07:03:27 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:03:28 PM     all      0.25      0.00     15.58     18.34      0.00      0.25      0.25      0.00      0.00     65.33
07:03:29 PM     all      0.00      0.00      4.77     16.33      0.00      0.25      0.00      0.00      0.00     78.64
07:03:30 PM     all      0.50      0.00      4.22     17.12      0.00      0.25      0.25      0.00      0.00     77.67
07:03:31 PM     all      0.00      0.00      4.03     16.12      0.00      0.25      0.00      0.00      0.00     79.60
07:03:32 PM     all      0.25      0.00      5.22     15.92      0.00      0.00      0.25      0.00      0.00     78.36
07:03:33 PM     all      0.25      0.00      4.04     17.17      0.00      0.25      0.25      0.00      0.00     78.03
07:03:34 PM     all      0.25      0.00      4.01     17.04      0.00      0.25      0.00      0.00      0.00     78.45
07:03:35 PM     all      0.00      0.00      4.52     17.59      0.00      0.25      0.25      0.00      0.00     77.39
07:03:36 PM     all      0.25      0.00      4.28     18.39      0.00      0.00      0.00      0.00      0.00     77.08
07:03:37 PM     all      0.00      0.00      4.52     15.33      0.00      0.25      0.25      0.00      0.00     79.65
07:03:38 PM     all      0.00      0.00      3.30     17.51      0.00      0.25      0.00      0.00      0.00     78.93
07:03:39 PM     all      0.00      0.00      4.76     19.05      0.00      0.25      0.25      0.00      0.00     75.69
07:03:40 PM     all      0.00      0.00      2.28     19.49      0.00      0.00      0.00      0.00      0.00     78.23
07:03:41 PM     all      0.25      0.00      4.01     18.80      0.00      0.25      0.25      0.00      0.00     76.44
07:03:42 PM     all      0.00      0.00      4.05     16.96      0.00      0.25      0.00      0.00      0.00     78.73
07:03:43 PM     all      0.25      0.00      5.50     15.50      0.00      0.25      0.25      0.00      0.00     78.25
07:03:44 PM     all      0.00      0.00      5.04     16.62      0.00      0.25      0.25      0.00      0.00     77.83
07:03:45 PM     all      0.50      0.00     13.57     10.05      0.00      0.25      0.25      0.00      0.00     75.38
07:03:46 PM     all      0.00      0.00      3.79     16.16      0.00      0.25      0.00      0.00      0.00     79.80
07:03:47 PM     all      0.00      0.00      3.80     15.44      0.00      0.00      0.25      0.00      0.00     80.51
07:03:48 PM     all      0.25      0.00      3.79     16.41      0.00      0.25      0.00      0.00      0.00     79.29
07:03:49 PM     all      0.25      0.00      3.79     16.41      0.00      0.25      0.25      0.00      0.00     79.04
07:03:50 PM     all      0.00      0.00      4.04     13.89      0.00      0.25      0.00      0.00      0.00     81.82
07:03:51 PM     all      0.50      0.00      4.52     18.84      0.00      0.25      0.25      0.00      0.00     75.63
07:03:52 PM     all      0.25      0.00      4.04     16.67      0.00      0.00      0.00      0.00      0.00     79.04
07:03:53 PM     all      0.00      0.00      4.52     16.08      0.00      0.25      0.25      0.00      0.00     78.89
07:03:54 PM     all      0.00      0.00      4.52     16.83      0.00      0.25      0.00      0.00      0.00     78.39
07:03:55 PM     all      0.25      0.00      4.03     16.62      0.00      0.25      0.25      0.00      0.00     78.59
07:03:56 PM     all      0.00      0.00      4.53     16.62      0.00      0.00      0.25      0.00      0.00     78.59
07:03:57 PM     all      0.25      0.00      4.52     17.84      0.00      0.25      0.00      0.00      0.00     77.14
07:03:58 PM     all      0.00      0.00      5.46     18.11      0.00      0.25      0.25      0.00      0.00     75.93
07:03:59 PM     all      0.25      0.00      4.04     17.17      0.00      0.25      0.00      0.00      0.00     78.28
07:04:00 PM     all      0.50      0.00      5.50     17.25      0.00      0.25      0.25      0.00      0.00     76.25
07:04:01 PM     all      0.75      0.00      6.50     15.75      0.00      0.25      0.25      0.00      0.00     76.50
07:04:02 PM     all      1.25      0.00     50.88      5.51      0.00      0.25      0.25      0.00      0.00     41.85
07:04:03 PM     all      2.27      0.00     87.15      8.82      0.00      0.76      0.50      0.00      0.00      0.50
07:04:04 PM     all      2.75      0.00     86.75      8.75      0.00      0.50      0.75      0.00      0.00      0.50
07:04:05 PM     all      2.76      0.00     85.96      9.52      0.00      0.50      0.50      0.00      0.00      0.75
07:04:06 PM     all      2.76      0.00     86.97      8.77      0.00      0.50      0.75      0.00      0.00      0.25
07:04:07 PM     all      3.05      0.00     86.55      9.14      0.00      0.51      0.51      0.00      0.00      0.25
07:04:08 PM     all      2.53      0.00     86.11      9.85      0.00      0.51      0.51      0.00      0.00      0.51
07:04:09 PM     all      2.74      0.00     86.03      9.23      0.00      0.75      0.75      0.00      0.00      0.50
07:04:10 PM     all      2.24      0.00     86.82      9.45      0.00      0.50      0.50      0.00      0.00      0.50
07:04:11 PM     all      2.78      0.00     86.33      8.86      0.00      0.51      0.76      0.00      0.00      0.76
07:04:12 PM     all      2.51      0.00     85.93     10.05      0.00      0.50      0.50      0.00      0.00      0.50
07:04:13 PM     all      2.23      0.00     86.63      9.65      0.00      0.74      0.74      0.00      0.00      0.00
07:04:14 PM     all      2.26      0.00     86.68      9.55      0.00      0.50      0.50      0.00      0.00      0.50
07:04:15 PM     all      2.76      0.00     85.71      9.52      0.00      0.50      0.75      0.00      0.00      0.75
07:04:16 PM     all      2.23      0.00     86.60      9.93      0.00      0.50      0.50      0.00      0.00      0.25
07:04:17 PM     all      2.26      0.00     86.93      9.30      0.00      0.50      0.75      0.00      0.00      0.25
07:04:18 PM     all      2.26      0.00     87.19      9.30      0.00      0.50      0.50      0.00      0.00      0.25
07:04:19 PM     all      2.73      0.00     86.10      9.43      0.00      0.74      0.50      0.00      0.00      0.50
07:04:20 PM     all      1.49      0.00     91.79      4.98      0.00      0.50      0.75      0.00      0.00      0.50
07:04:21 PM     all      2.26      0.00     89.97      6.52      0.00      0.50      0.50      0.00      0.00      0.25
07:04:22 PM     all      3.00      0.00     85.75      9.50      0.00      0.50      0.50      0.00      0.00      0.75
07:04:23 PM     all      2.95      0.00     86.00      9.34      0.00      0.74      0.74      0.00      0.00      0.25
07:04:24 PM     all      1.77      0.00     88.13      8.84      0.00      0.25      0.51      0.00      0.00      0.51
07:04:25 PM     all      2.74      0.00     83.58     11.19      0.00      0.75      0.75      0.00      0.00      1.00
07:04:26 PM     all      2.25      0.00     87.00      9.25      0.00      0.50      0.50      0.00      0.00      0.50
07:04:27 PM     all      1.51      0.00     86.90      9.57      0.00      0.50      0.50      0.00      0.00      1.01
07:04:28 PM     all      1.74      0.00     88.34      7.94      0.00      0.50      0.74      0.00      0.00      0.74
07:04:29 PM     all      2.76      0.00     85.93      9.80      0.00      0.75      0.50      0.00      0.00      0.25
07:04:30 PM     all      2.73      0.00     85.86      9.68      0.00      0.50      0.74      0.00      0.00      0.50
07:04:31 PM     all      2.49      0.00     86.78      8.98      0.00      0.50      0.50      0.00      0.00      0.75
07:04:32 PM     all      1.48      0.00     51.72     13.30      0.00      0.25      0.49      0.00      0.00     32.76
07:04:33 PM     all      0.25      0.00      4.77     15.58      0.00      0.25      0.00      0.00      0.00     79.15
07:04:34 PM     all      0.00      0.00      4.26     16.54      0.00      0.25      0.25      0.00      0.00     78.70
07:04:35 PM     all      0.25      0.00      5.21     15.63      0.00      0.25      0.25      0.00      0.00     78.41
07:04:36 PM     all      0.25      0.00      5.75     17.25      0.00      0.25      0.00      0.00      0.00     76.50
07:04:37 PM     all      0.00      0.00      5.97     17.16      0.00      0.25      0.25      0.00      0.00     76.37
