request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693210070586,1692237806321,1692237824410,1693210088821,18235,18089,146
2,1693210088821,1692237824417,1692237841484,1693210105895,17074,17067,7
3,1693210106059,1692237841654,1692237859608,1693210124018,17959,17954,5
4,1693210124018,1692237859613,1692237877514,1693210141924,17906,17901,5
5,1693210141931,1692237877529,1692237896170,1693210160602,18671,18641,30
6,1693210160602,1692237896198,1692237915882,1693210180292,19690,19684,6
7,1693210180454,1692237916050,1692237935452,1693210199861,19407,19402,5
8,1693210199861,1692237935457,1692237955226,1693210219635,19774,19769,5
9,1693210219642,1692237955238,1692237974164,1693210238573,18931,18926,5
10,1693210238573,1692237974168,1692237993676,1693210258085,19512,19508,4
11,1693210258249,1692237993845,1692238015127,1693210279536,21287,21282,5
12,1693210279536,1692238015132,1692238035407,1693210299816,20280,20275,5
13,1693210299822,1692238035419,1692238055203,1693210319611,19789,19784,5
14,1693210319611,1692238055208,1692238075912,1693210340321,20710,20704,6
15,1693210340485,1692238076082,1692238097794,1693210362202,21717,21712,5
16,1693210362202,1692238097802,1692238120085,1693210384549,22347,22283,64
17,1693210384557,1692238120154,1692238141468,1693210405876,21319,21314,5
18,1693210405876,1692238141474,1692238162371,1693210426778,20902,20897,5
19,1693210426942,1692238162541,1692238184326,1693210448733,21791,21785,6
20,1693210448733,1692238184331,1692238205873,1693210470282,21549,21542,7
21,1693210470289,1692238205888,1692238227519,1693210491930,21641,21631,10
22,1693210491930,1692238227528,1692238248506,1693210512912,20982,20978,4
23,1693210513077,1692238248676,1692238270528,1693210534971,21894,21852,42
24,1693210534971,1692238270571,1692238292048,1693210556454,21483,21477,6
25,1693210556461,1692238292060,1692238313386,1693210577877,21416,21326,90
26,1693210577877,1692238313477,1692238334907,1693210599313,21436,21430,6
27,1693210599478,1692238335078,1692238360337,1693210624742,25264,25259,5
28,1693210624742,1692238360342,1692238383023,1693210647429,22687,22681,6
29,1693210647435,1692238383036,1692238407316,1693210671721,24286,24280,6
30,1693210671721,1692238407322,1692238432044,1693210696449,24728,24722,6
31,1693210696614,1692238432215,1692238458798,1693210723208,26594,26583,11
32,1693210723208,1692238458815,1692238484128,1693210748533,25325,25313,12
33,1693210748540,1692238484141,1692238510499,1693210774992,26452,26358,94
34,1693210774992,1692238510593,1692238531086,1693210795574,20582,20493,89
35,1693210795737,1692238531339,1692238549936,1693210814339,18602,18597,5
36,1693210814339,1692238549941,1692238567713,1693210832117,17778,17772,6
37,1693210832126,1692238567728,1692238585074,1693210849477,17351,17346,5
38,1693210849477,1692238585079,1692238602584,1693210867105,17628,17505,123
39,1693210867270,1692238602872,1692238620890,1693210885293,18023,18018,5
40,1693210885293,1692238620895,1692238638951,1693210903354,18061,18056,5
41,1693210903404,1692238639006,1692238658947,1693210923351,19947,19941,6
42,1693210923351,1692238658958,1692238681727,1693210946154,22803,22769,34
