Linux 4.9.253-tegra (nano-desktop) 	10/16/2023 	_aarch64_	(4 CPU)

11:07:22 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
11:07:23 PM     all     21.30      0.00     11.28      0.75      0.00      0.50      0.25      0.00      0.00     65.91
11:07:24 PM     all     25.13      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.12
11:07:25 PM     all     24.81      0.00      1.25      0.00      0.00      0.50      0.25      0.00      0.00     73.18
11:07:26 PM     all     25.25      0.00      0.76      0.00      0.00      0.25      0.00      0.00      0.00     73.74
11:07:27 PM     all     25.06      0.00      0.75      0.00      0.00      0.25      0.25      0.00      0.00     73.68
11:07:28 PM     all     25.06      0.00      0.51      0.00      0.00      0.51      0.00      0.00      0.00     73.92
11:07:29 PM     all     24.81      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     74.19
11:07:30 PM     all     24.75      0.00      0.51      0.00      0.00      0.25      0.00      0.00      0.00     74.49
11:07:31 PM     all     24.75      0.00      0.51      0.00      0.00      0.25      0.00      0.00      0.00     74.49
11:07:32 PM     all     24.69      0.00      1.26      0.00      0.00      0.25      0.25      0.00      0.00     73.55
11:07:33 PM     all     25.63      0.00      2.01      1.51      0.00      0.50      0.00      0.00      0.00     70.35
11:07:34 PM     all     24.81      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     74.19
11:07:35 PM     all     10.86      0.00      0.51      0.00      0.00      0.51      0.25      0.00      0.00     87.88
11:07:36 PM     all     18.55      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     80.20
11:07:37 PM     all     24.87      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.37
11:07:38 PM     all     25.06      0.00      0.75      0.25      0.00      0.25      0.00      0.00      0.00     73.68
11:07:39 PM     all     25.00      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     74.24
11:07:40 PM     all     25.00      0.00      2.00      0.00      0.00      0.50      0.00      0.00      0.00     72.50
11:07:41 PM     all     24.87      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     74.12
11:07:42 PM     all     25.06      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.19
11:07:43 PM     all     25.44      0.00      1.50      0.25      0.00      0.50      0.25      0.00      0.00     72.07
11:07:44 PM     all     24.87      0.00      1.01      0.00      0.00      0.25      0.00      0.00      0.00     73.87
11:07:45 PM     all     25.13      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     73.87
11:07:46 PM     all     25.19      0.00      0.25      0.00      0.00      0.25      0.00      0.00      0.00     74.31
11:07:47 PM     all     25.06      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.93
11:07:48 PM     all     25.19      0.00      0.76      0.00      0.00      0.25      0.25      0.00      0.00     73.55
11:07:49 PM     all     14.86      0.00      1.01      8.06      0.00      1.01      0.50      0.00      0.00     74.56
11:07:50 PM     all     24.87      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.37
11:07:51 PM     all     25.13      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     74.12
11:07:52 PM     all     24.87      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.37
11:07:53 PM     all     25.31      0.00      0.75      0.25      0.00      0.25      0.00      0.00      0.00     73.43
11:07:54 PM     all     24.69      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     74.31
11:07:55 PM     all     25.06      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.93
11:07:56 PM     all     24.87      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.37
11:07:57 PM     all     25.13      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     73.87
11:07:58 PM     all     25.75      0.00      0.50      0.25      0.00      0.25      0.00      0.00      0.00     73.25
11:07:59 PM     all     25.38      0.00      1.76      0.00      0.00      0.50      0.25      0.00      0.00     72.11
11:08:00 PM     all     25.31      0.00      1.00      0.00      0.00      0.25      0.00      0.00      0.00     73.43
11:08:01 PM     all     24.56      0.00      0.75      0.00      0.00      0.50      0.25      0.00      0.00     73.93
11:08:02 PM     all      8.06      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     90.93
11:08:03 PM     all     11.78      0.00      0.75      0.25      0.00      0.50      0.25      0.00      0.00     86.47
11:08:04 PM     all     25.13      0.00      0.25      0.00      0.00      0.25      0.00      0.00      0.00     74.37
11:08:05 PM     all     25.38      0.00      1.01      0.00      0.00      0.25      0.00      0.00      0.00     73.37
11:08:06 PM     all     25.13      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     73.87
11:08:07 PM     all     25.13      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.87
11:08:08 PM     all     24.69      0.00      0.50      0.25      0.00      0.25      0.25      0.00      0.00     74.06
11:08:09 PM     all     25.19      0.00      0.25      0.00      0.00      0.25      0.00      0.00      0.00     74.31
11:08:10 PM     all     25.25      0.00      0.25      0.00      0.00      0.25      0.00      0.00      0.00     74.24
11:08:11 PM     all     24.94      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     74.31
11:08:12 PM     all     25.06      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.19
11:08:13 PM     all     25.13      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     73.87
11:08:14 PM     all     24.94      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.31
11:08:15 PM     all     25.06      0.00      0.75      0.00      0.00      0.25      0.00      0.00      0.00     73.93
11:08:16 PM     all     16.54      0.00      0.75      0.00      0.00      1.00      0.50      0.00      0.00     81.20
11:08:17 PM     all     24.69      0.00      0.76      0.00      0.00      0.25      0.00      0.00      0.00     74.31
11:08:18 PM     all     25.44      0.00      2.49      0.25      0.00      0.25      0.25      0.00      0.00     71.32
11:08:19 PM     all     25.06      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.93
11:08:20 PM     all     24.94      0.00      0.75      0.00      0.00      0.25      0.25      0.00      0.00     73.82
11:08:21 PM     all     25.19      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.06
11:08:22 PM     all     25.25      0.00      1.00      0.00      0.00      0.25      0.25      0.00      0.00     73.25
11:08:23 PM     all     25.19      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.06
11:08:24 PM     all     25.13      0.00      0.75      0.00      0.00      0.25      0.00      0.00      0.00     73.87
11:08:25 PM     all     24.81      0.00      0.75      2.76      0.00      0.50      0.25      0.00      0.00     70.93
11:08:26 PM     all     25.13      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.12
11:08:27 PM     all     24.87      0.00      1.51      0.00      0.00      0.25      0.25      0.00      0.00     73.12
11:08:28 PM     all     23.81      0.00      0.75      0.00      0.00      0.50      0.00      0.00      0.00     74.94
