request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1697522842394,1697522845025,1697522855136,1697522855905,13511,10111,3400
2,1697522855933,1697522858265,1697522868759,1697522869274,13341,10494,2847
3,1697522869302,1697522871454,1697522882034,1697522882930,13628,10580,3048
4,1697522882960,1697522885509,1697522895958,1697522896429,13469,10449,3020
5,1697522896458,1697522898551,1697522908686,1697522909105,12647,10135,2512
6,1697522909137,1697522911204,1697522921754,1697522922223,13086,10550,2536
7,1697522922252,1697522924309,1697522934509,1697522934903,12651,10200,2451
8,1697522934932,1697522936983,1697522947469,1697522948249,13317,10486,2831
9,1697522948279,1697522950732,1697522961140,1697522961558,13279,10408,2871
10,1697522961585,1697522963791,1697522974333,1697522974729,13144,10542,2602
11,1697522974759,1697522976815,1697522987297,1697522987940,13181,10482,2699
12,1697522987969,1697522990049,1697523000778,1697523001179,13210,10729,2481
13,1697523001203,1697523003245,1697523013987,1697523014436,13233,10742,2491
14,1697523014541,1697523016605,1697523027042,1697523027472,12931,10437,2494
15,1697523027498,1697523029555,1697523039856,1697523040355,12857,10301,2556
16,1697523040378,1697523042480,1697523052928,1697523053400,13022,10448,2574
17,1697523053429,1697523055476,1697523065685,1697523066092,12663,10209,2454
18,1697523066120,1697523068162,1697523078420,1697523078885,12765,10258,2507
19,1697523078917,1697523080963,1697523091722,1697523092195,13278,10759,2519
20,1697523092223,1697523094299,1697523104675,1697523105055,12832,10376,2456
21,1697523105083,1697523107149,1697523117637,1697523118027,12944,10488,2456
22,1697523118054,1697523120123,1697523130481,1697523130880,12826,10358,2468
23,1697523130909,1697523132926,1697523143644,1697523144036,13127,10718,2409
