Linux 4.9.253-tegra (nano-desktop) 	10/16/2023 	_aarch64_	(4 CPU)

10:39:20 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
10:39:21 PM     all      5.03      0.00     90.95      1.51      0.00      1.26      0.00      0.00      0.00      1.26
10:39:22 PM     all      9.02      0.00     84.96      2.51      0.00      1.00      0.25      0.00      0.00      2.26
10:39:23 PM     all     11.72      0.00     82.04      2.74      0.00      0.75      0.25      0.00      0.00      2.49
10:39:24 PM     all      4.74      0.00     90.27      2.00      0.00      0.75      0.00      0.00      0.00      2.24
10:39:25 PM     all     19.00      0.00     39.25     26.25      0.00      1.00      0.25      0.00      0.00     14.25
10:39:26 PM     all     25.06      0.00     46.90     13.90      0.00      0.74      0.25      0.00      0.00     13.15
10:39:27 PM     all      8.02      0.00     85.71      2.76      0.00      0.75      0.25      0.00      0.00      2.51
10:39:28 PM     all      4.52      0.00     89.45      2.76      0.00      0.75      0.00      0.00      0.00      2.51
10:39:29 PM     all      8.68      0.00     84.62      2.98      0.00      0.74      0.25      0.00      0.00      2.73
10:39:30 PM     all      7.52      0.00     87.72      2.01      0.00      0.75      0.00      0.00      0.00      2.01
10:39:31 PM     all     14.57      0.00     59.55     18.59      0.00      0.75      0.25      0.00      0.00      6.28
10:39:32 PM     all     19.45      0.00     58.85      9.48      0.00      1.00      0.25      0.00      0.00     10.97
10:39:33 PM     all     12.56      0.00     74.62      6.53      0.00      0.75      0.00      0.00      0.00      5.53
10:39:34 PM     all      4.28      0.00     90.18      2.27      0.00      0.76      0.25      0.00      0.00      2.27
10:39:35 PM     all      6.55      0.00     87.41      3.02      0.00      0.76      0.00      0.00      0.00      2.27
10:39:36 PM     all      5.00      0.00     89.00      2.50      0.00      0.75      0.25      0.00      0.00      2.50
10:39:37 PM     all     10.50      0.00     84.00      2.25      0.00      0.75      0.00      0.00      0.00      2.50
10:39:38 PM     all     17.93      0.00     41.16     23.48      0.00      0.76      0.25      0.00      0.00     16.41
10:39:39 PM     all     15.00      0.00     79.50      2.50      0.00      0.75      0.25      0.00      0.00      2.00
10:39:40 PM     all     15.66      0.00     68.69      8.08      0.00      0.76      0.00      0.00      0.00      6.82
10:39:41 PM     all      5.51      0.00     88.47      2.26      0.00      0.75      0.25      0.00      0.00      2.76
10:39:42 PM     all      8.84      0.00     85.10      2.53      0.00      0.76      0.00      0.00      0.00      2.78
10:39:43 PM     all      4.75      0.00     90.00      2.25      0.00      0.75      0.25      0.00      0.00      2.00
10:39:44 PM     all     15.75      0.00     59.75     13.50      0.00      0.75      0.25      0.00      0.00     10.00
10:39:45 PM     all      9.25      0.00     82.25      4.00      0.00      1.00      0.00      0.00      0.00      3.50
10:39:46 PM     all      9.00      0.00     78.00      6.25      0.00      0.75      0.25      0.00      0.00      5.75
10:39:47 PM     all      5.08      0.00     89.34      2.54      0.00      0.76      0.00      0.00      0.00      2.28
10:39:48 PM     all      6.47      0.00     88.31      1.74      0.00      0.75      0.25      0.00      0.00      2.49
10:39:49 PM     all      7.52      0.00     86.22      2.76      0.00      0.75      0.00      0.00      0.00      2.76
10:39:50 PM     all     10.53      0.00     70.93     10.53      0.00      0.75      0.25      0.00      0.00      7.02
10:39:51 PM     all     20.30      0.00     64.66      7.52      0.00      0.75      0.25      0.00      0.00      6.52
10:39:52 PM     all      8.88      0.00     79.95      4.57      0.00      0.76      0.00      0.00      0.00      5.84
10:39:53 PM     all     10.25      0.00     83.75      2.50      0.00      1.00      0.50      0.00      0.00      2.00
10:39:54 PM     all      3.98      0.00     88.56      2.99      0.00      1.00      0.25      0.00      0.00      3.23
10:39:55 PM     all      2.99      0.00     92.54      1.74      0.00      0.75      0.00      0.00      0.00      1.99
10:39:56 PM     all      7.29      0.00     85.93      2.51      0.00      0.75      0.25      0.00      0.00      3.27
10:39:57 PM     all     18.11      0.00     56.58     13.15      0.00      0.74      0.25      0.00      0.00     11.17
10:39:58 PM     all     13.38      0.00     74.75      6.06      0.00      0.76      0.00      0.00      0.00      5.05
10:39:59 PM     all     12.81      0.00     74.87      6.28      0.00      0.75      0.25      0.00      0.00      5.03
10:40:00 PM     all      6.52      0.00     88.47      2.01      0.00      0.75      0.00      0.00      0.00      2.26
10:40:01 PM     all      3.26      0.00     91.23      2.76      0.00      0.75      0.25      0.00      0.00      1.75
10:40:02 PM     all      7.96      0.00     86.57      2.24      0.00      0.75      0.00      0.00      0.00      2.49
10:40:03 PM     all     15.58      0.00     54.02     17.09      0.00      0.75      0.25      0.00      0.00     12.31
10:40:04 PM     all     20.30      0.00     68.32      6.19      0.00      0.99      0.25      0.00      0.00      3.96
10:40:05 PM     all     10.47      0.00     71.57      9.73      0.00      0.75      0.00      0.00      0.00      7.48
10:40:06 PM     all      7.54      0.00     87.19      2.26      0.00      0.75      0.25      0.00      0.00      2.01
10:40:07 PM     all      5.29      0.00     88.16      3.02      0.00      0.76      0.25      0.00      0.00      2.52
10:40:08 PM     all      8.25      0.00     86.75      2.00      0.00      0.75      0.00      0.00      0.00      2.25
10:40:09 PM     all     13.85      0.00     66.50     11.34      0.00      0.76      0.25      0.00      0.00      7.30
10:40:10 PM     all     14.25      0.00     71.00      7.25      0.00      1.00      0.00      0.00      0.00      6.50
10:40:11 PM     all      3.98      0.00     90.30      2.49      0.00      0.75      0.25      0.00      0.00      2.24
10:40:12 PM     all     13.78      0.00     73.68      6.27      0.00      0.75      0.25      0.00      0.00      5.26
10:40:13 PM     all      4.51      0.00     88.97      3.01      0.00      0.75      0.00      0.00      0.00      2.76
10:40:14 PM     all      5.75      0.00     87.00      3.25      0.00      0.75      0.25      0.00      0.00      3.00
10:40:15 PM     all      6.77      0.00     86.72      3.01      0.00      0.75      0.00      0.00      0.00      2.76
10:40:16 PM     all     14.32      0.00     62.06     13.82      0.00      1.01      0.25      0.00      0.00      8.54
10:40:17 PM     all     13.78      0.00     76.44      5.01      0.00      0.75      0.25      0.00      0.00      3.76
10:40:18 PM     all     19.25      0.00     64.00      8.00      0.00      0.75      0.00      0.00      0.00      8.00
10:40:19 PM     all     10.28      0.00     82.21      3.01      0.00      0.75      0.25      0.00      0.00      3.51
10:40:20 PM     all      4.25      0.00     89.75      2.00      0.00      0.75      0.00      0.00      0.00      3.25
10:40:21 PM     all      5.78      0.00     88.19      2.51      0.00      0.75      0.25      0.00      0.00      2.51
10:40:22 PM     all     16.16      0.00     57.07     15.15      0.00      0.76      0.25      0.00      0.00     10.61
10:40:23 PM     all     13.97      0.00     76.06      4.74      0.00      0.75      0.00      0.00      0.00      4.49
10:40:24 PM     all      3.47      0.00     90.57      2.73      0.00      0.74      0.25      0.00      0.00      2.23
10:40:25 PM     all     18.16      0.00     67.16      6.97      0.00      0.75      0.00      0.00      0.00      6.97
10:40:26 PM     all      4.00      0.00     91.75      1.50      0.00      1.00      0.25      0.00      0.00      1.50
10:40:27 PM     all      7.04      0.00     86.93      2.26      0.00      0.75      0.25      0.00      0.00      2.76
10:40:28 PM     all     11.19      0.00     70.65      8.96      0.00      1.24      0.50      0.00      0.00      7.46
10:40:29 PM     all     15.21      0.00     68.33      8.73      0.00      0.75      0.00      0.00      0.00      6.98
10:40:30 PM     all     19.14      0.00     74.56      3.02      0.00      0.76      0.25      0.00      0.00      2.27
10:40:31 PM     all     11.78      0.00     70.93      9.77      0.00      0.75      0.00      0.00      0.00      6.77
10:40:32 PM     all      7.64      0.00     84.73      3.45      0.00      0.74      0.25      0.00      0.00      3.20
10:40:33 PM     all      6.27      0.00     88.47      2.26      0.00      0.75      0.00      0.00      0.00      2.26
10:40:34 PM     all      4.01      0.00     90.23      2.76      0.00      1.00      0.25      0.00      0.00      1.75
10:40:35 PM     all     20.30      0.00     54.64     14.54      0.00      0.75      0.25      0.00      0.00      9.52
10:40:36 PM     all     14.71      0.00     76.81      3.74      0.00      0.75      0.00      0.00      0.00      3.99
10:40:37 PM     all      6.28      0.00     87.69      2.51      0.00      0.75      0.25      0.00      0.00      2.51
10:40:38 PM     all     13.50      0.00     61.00     11.25      0.00      0.75      0.25      0.00      0.00     13.25
10:40:39 PM     all      6.50      0.00     88.50      1.75      0.00      0.75      0.00      0.00      0.00      2.50
10:40:40 PM     all      8.52      0.00     85.21      2.26      0.00      0.75      0.25      0.00      0.00      3.01
10:40:41 PM     all     17.29      0.00     53.38     16.79      0.00      0.75      0.25      0.00      0.00     11.53
10:40:42 PM     all     18.36      0.00     68.73      6.20      0.00      0.99      0.00      0.00      0.00      5.71
10:40:43 PM     all      7.52      0.00     86.47      2.51      0.00      0.75      0.25      0.00      0.00      2.51
10:40:44 PM     all      4.20      0.00     90.37      2.22      0.00      0.74      0.00      0.00      0.00      2.47
10:40:45 PM     all     12.75      0.00     68.00      8.25      0.00      0.75      0.25      0.00      0.00     10.00
10:40:46 PM     all      5.79      0.00     86.90      3.27      0.00      0.76      0.25      0.00      0.00      3.02
10:40:47 PM     all     10.53      0.00     68.67     11.28      0.00      0.75      0.00      0.00      0.00      8.77
10:40:48 PM     all      8.25      0.00     82.50      4.50      0.00      0.75      0.25      0.00      0.00      3.75
10:40:49 PM     all     13.25      0.00     74.75      6.00      0.00      0.75      0.25      0.00      0.00      5.00
10:40:50 PM     all      5.93      0.00     87.90      2.72      0.00      0.99      0.00      0.00      0.00      2.47
10:40:51 PM     all     12.06      0.00     72.61      8.54      0.00      0.75      0.25      0.00      0.00      5.78
10:40:52 PM     all      5.78      0.00     86.93      3.02      0.00      0.75      0.00      0.00      0.00      3.52
10:40:53 PM     all      6.00      0.00     89.00      2.00      0.00      0.75      0.25      0.00      0.00      2.00
10:40:54 PM     all     13.25      0.00     66.00     11.25      0.00      0.75      0.00      0.00      0.00      8.75
10:40:55 PM     all     12.00      0.00     72.00      7.50      0.00      0.75      0.25      0.00      0.00      7.50
10:40:56 PM     all      7.50      0.00     85.50      3.25      0.00      0.75      0.25      0.00      0.00      2.75
10:40:57 PM     all      4.56      0.00     89.87      2.28      0.00      0.76      0.00      0.00      0.00      2.53
10:40:58 PM     all     11.56      0.00     70.60      8.29      0.00      0.75      0.25      0.00      0.00      8.54
10:40:59 PM     all      4.49      0.00     89.28      2.74      0.00      0.75      0.00      0.00      0.00      2.74
10:41:00 PM     all     11.22      0.00     66.08     13.22      0.00      1.00      0.50      0.00      0.00      7.98
10:41:01 PM     all      3.01      0.00     90.73      2.51      0.00      1.25      0.25      0.00      0.00      2.26
10:41:02 PM     all     21.11      0.00     58.54     11.81      0.00      0.75      0.25      0.00      0.00      7.54
10:41:03 PM     all     10.25      0.00     84.50      2.25      0.00      0.75      0.00      0.00      0.00      2.25
10:41:04 PM     all      6.48      0.00     87.78      2.24      0.00      0.75      0.00      0.00      0.00      2.74
10:41:05 PM     all     10.53      0.00     72.43      9.02      0.00      0.75      0.25      0.00      0.00      7.02
10:41:06 PM     all     13.13      0.00     73.23      6.06      0.00      0.76      0.25      0.00      0.00      6.57
10:41:07 PM     all     12.34      0.00     75.82      5.79      0.00      0.76      0.00      0.00      0.00      5.29
10:41:08 PM     all     12.53      0.00     68.17      9.77      0.00      0.75      0.25      0.00      0.00      8.52
10:41:09 PM     all      6.00      0.00     88.00      2.25      0.00      0.75      0.25      0.00      0.00      2.75
10:41:10 PM     all      5.28      0.00     89.20      2.01      0.00      0.75      0.00      0.00      0.00      2.76
10:41:11 PM     all     17.21      0.00     67.33      8.98      0.00      0.75      0.25      0.00      0.00      5.49
10:41:12 PM     all      9.07      0.00     78.84      6.30      0.00      1.01      0.00      0.00      0.00      4.79
10:41:13 PM     all      7.73      0.00     78.80      8.73      0.00      0.75      0.25      0.00      0.00      3.74
10:41:14 PM     all     12.00      0.00     80.25      3.25      0.00      0.75      0.25      0.00      0.00      3.50
10:41:15 PM     all     13.13      0.00     73.23      7.58      0.00      0.76      0.00      0.00      0.00      5.30
10:41:16 PM     all      6.70      0.00     87.59      2.48      0.00      0.74      0.25      0.00      0.00      2.23
10:41:17 PM     all      9.25      0.00     70.00     11.75      0.00      1.00      0.25      0.00      0.00      7.75
10:41:18 PM     all     16.37      0.00     68.51      7.56      0.00      0.76      0.00      0.00      0.00      6.80
10:41:19 PM     all      6.93      0.00     88.12      2.23      0.00      0.74      0.25      0.00      0.00      1.73
10:41:20 PM     all     15.44      0.00     67.09      8.35      0.00      0.76      0.00      0.00      0.00      8.35
10:41:21 PM     all     13.50      0.00     72.25      7.00      0.00      0.75      0.25      0.00      0.00      6.25
10:41:22 PM     all      6.45      0.00     86.85      2.98      0.00      0.99      0.25      0.00      0.00      2.48
10:41:23 PM     all      5.75      0.00     89.50      2.25      0.00      0.75      0.00      0.00      0.00      1.75
10:41:24 PM     all     21.36      0.00     59.55     10.05      0.00      0.75      0.25      0.00      0.00      8.04
10:41:25 PM     all      6.55      0.00     87.66      2.27      0.00      0.76      0.25      0.00      0.00      2.52
10:41:26 PM     all      7.04      0.00     79.65      6.03      0.00      0.75      0.00      0.00      0.00      6.53
10:41:27 PM     all     18.75      0.00     71.75      4.25      0.00      0.75      0.25      0.00      0.00      4.25
10:41:28 PM     all     15.79      0.00     63.16     10.78      0.00      0.75      0.00      0.00      0.00      9.52
10:41:29 PM     all      7.46      0.00     84.83      3.73      0.00      0.75      0.25      0.00      0.00      2.99
10:41:30 PM     all      7.46      0.00     79.10      5.47      0.00      1.49      0.50      0.00      0.00      5.97
10:41:31 PM     all     13.60      0.00     71.54      5.04      0.00      0.76      0.25      0.00      0.00      8.82
10:41:32 PM     all      7.20      0.00     87.59      2.23      0.00      0.74      0.00      0.00      0.00      2.23
10:41:33 PM     all     13.18      0.00     69.65      8.21      0.00      0.75      0.25      0.00      0.00      7.96
10:41:34 PM     all      8.56      0.00     74.81      9.57      0.00      0.76      0.25      0.00      0.00      6.05
10:41:35 PM     all      8.91      0.00     84.65      2.48      0.00      0.74      0.00      0.00      0.00      3.22
10:41:36 PM     all      5.49      0.00     87.03      3.49      0.00      0.75      0.25      0.00      0.00      2.99
10:41:37 PM     all     14.86      0.00     64.99     11.84      0.00      0.76      0.00      0.00      0.00      7.56
10:41:38 PM     all      7.21      0.00     86.32      2.49      0.00      0.75      0.25      0.00      0.00      2.99
10:41:39 PM     all      8.31      0.00     86.15      2.52      0.00      0.76      0.00      0.00      0.00      2.27
10:41:40 PM     all     11.72      0.00     66.83     10.22      0.00      0.75      0.25      0.00      0.00     10.22
10:41:41 PM     all     12.31      0.00     70.10      9.05      0.00      0.75      0.25      0.00      0.00      7.54
10:41:42 PM     all     10.38      0.00     83.54      2.28      0.00      0.76      0.00      0.00      0.00      3.04
10:41:43 PM     all     21.00      0.00     59.25      8.75      0.00      0.75      0.25      0.00      0.00     10.00
10:41:44 PM     all      6.00      0.00     88.25      2.50      0.00      1.00      0.00      0.00      0.00      2.25
10:41:45 PM     all      5.03      0.00     89.95      2.01      0.00      0.75      0.25      0.00      0.00      2.01
