Linux 4.9.253-tegra (nano-desktop) 	10/16/2023 	_aarch64_	(4 CPU)

10:45:45 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
10:45:46 PM     all     82.29      0.00     15.21      0.00      0.00      2.24      0.25      0.00      0.00      0.00
10:45:47 PM     all     91.98      0.00      6.52      0.00      0.00      1.50      0.00      0.00      0.00      0.00
10:45:48 PM     all     91.50      0.00      6.50      0.00      0.00      1.75      0.25      0.00      0.00      0.00
10:45:49 PM     all     91.25      0.00      7.00      0.00      0.00      1.50      0.25      0.00      0.00      0.00
10:45:50 PM     all     94.00      0.00      4.25      0.00      0.00      1.75      0.00      0.00      0.00      0.00
10:45:51 PM     all     92.75      0.00      5.25      0.00      0.00      1.75      0.25      0.00      0.00      0.00
10:45:52 PM     all     94.76      0.00      2.99      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:45:53 PM     all     94.99      0.00      3.01      0.00      0.00      2.01      0.00      0.00      0.00      0.00
10:45:54 PM     all     95.50      0.00      2.50      0.00      0.00      1.75      0.25      0.00      0.00      0.00
10:45:55 PM     all     95.24      0.00      2.76      0.00      0.00      2.01      0.00      0.00      0.00      0.00
10:45:56 PM     all     92.77      0.00      4.99      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:45:57 PM     all     94.75      0.00      3.00      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:45:58 PM     all     95.50      0.00      2.50      0.00      0.00      2.00      0.00      0.00      0.00      0.00
10:45:59 PM     all     95.25      0.00      2.75      0.00      0.00      1.75      0.25      0.00      0.00      0.00
10:46:00 PM     all     94.75      0.00      3.00      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:01 PM     all     94.99      0.00      3.01      0.00      0.00      2.01      0.00      0.00      0.00      0.00
10:46:02 PM     all     92.02      0.00      5.74      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:03 PM     all     94.78      0.00      2.99      0.00      0.00      1.99      0.25      0.00      0.00      0.00
10:46:04 PM     all     95.00      0.00      3.00      0.00      0.00      2.00      0.00      0.00      0.00      0.00
10:46:05 PM     all     95.24      0.00      2.51      0.00      0.00      2.01      0.25      0.00      0.00      0.00
10:46:06 PM     all     94.75      0.00      3.00      0.00      0.00      2.25      0.00      0.00      0.00      0.00
10:46:07 PM     all     91.75      0.00      4.25      0.00      0.00      2.75      1.25      0.00      0.00      0.00
10:46:08 PM     all     94.03      0.00      3.48      0.00      0.00      2.24      0.25      0.00      0.00      0.00
10:46:09 PM     all     95.48      0.00      2.51      0.00      0.00      2.01      0.00      0.00      0.00      0.00
10:46:10 PM     all     95.51      0.00      2.00      0.00      0.00      2.24      0.25      0.00      0.00      0.00
10:46:11 PM     all     95.75      0.00      2.25      0.00      0.00      1.75      0.25      0.00      0.00      0.00
10:46:12 PM     all     96.00      0.00      2.00      0.00      0.00      2.00      0.00      0.00      0.00      0.00
10:46:13 PM     all     93.75      0.00      4.00      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:14 PM     all     95.74      0.00      2.51      0.00      0.00      1.75      0.00      0.00      0.00      0.00
10:46:15 PM     all     96.01      0.00      1.75      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:16 PM     all     97.00      0.00      1.25      0.00      0.00      1.50      0.25      0.00      0.00      0.00
10:46:17 PM     all     94.50      0.00      3.00      0.00      0.00      2.25      0.25      0.00      0.00      0.00
10:46:18 PM     all     94.50      0.00      3.75      0.00      0.00      1.50      0.25      0.00      0.00      0.00
10:46:19 PM     all     88.97      0.00      9.52      0.00      0.00      1.50      0.00      0.00      0.00      0.00
10:46:20 PM     all     94.76      0.00      3.49      0.00      0.00      1.50      0.25      0.00      0.00      0.00
10:46:21 PM     all     96.75      0.00      1.50      0.00      0.00      1.50      0.25      0.00      0.00      0.00
10:46:22 PM     all     94.75      0.00      3.00      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:23 PM     all     96.00      0.00      2.00      0.00      0.00      2.00      0.00      0.00      0.00      0.00
10:46:24 PM     all     94.24      0.00      3.76      0.00      0.00      1.75      0.25      0.00      0.00      0.00
10:46:25 PM     all     96.00      0.00      1.75      0.00      0.00      2.25      0.00      0.00      0.00      0.00
10:46:26 PM     all     96.00      0.00      1.75      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:27 PM     all     95.51      0.00      2.24      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:28 PM     all     93.23      0.00      2.51      0.00      0.00      3.26      1.00      0.00      0.00      0.00
10:46:29 PM     all     95.99      0.00      2.01      0.00      0.00      2.01      0.00      0.00      0.00      0.00
10:46:30 PM     all     93.78      0.00      3.73      0.00      0.00      2.24      0.25      0.00      0.00      0.00
10:46:31 PM     all     96.25      0.00      1.50      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:32 PM     all     95.74      0.00      2.26      0.00      0.00      2.01      0.00      0.00      0.00      0.00
10:46:33 PM     all     97.00      0.00      0.75      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:34 PM     all     96.76      0.00      1.00      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:35 PM     all     94.99      0.00      3.01      0.00      0.00      2.01      0.00      0.00      0.00      0.00
10:46:36 PM     all     97.01      0.00      0.75      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:37 PM     all     96.25      0.00      1.75      0.00      0.00      2.00      0.00      0.00      0.00      0.00
10:46:38 PM     all     96.75      0.00      1.00      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:39 PM     all     96.27      0.00      1.49      0.00      0.00      1.99      0.25      0.00      0.00      0.00
10:46:40 PM     all     97.49      0.00      0.75      0.00      0.00      1.75      0.00      0.00      0.00      0.00
10:46:41 PM     all     94.75      0.00      3.00      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:42 PM     all     97.00      0.00      1.25      0.00      0.00      1.75      0.00      0.00      0.00      0.00
10:46:43 PM     all     96.76      0.00      1.00      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:44 PM     all     97.24      0.00      1.01      0.00      0.00      1.76      0.00      0.00      0.00      0.00
10:46:45 PM     all     96.51      0.00      1.25      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:46 PM     all     95.26      0.00      2.49      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:47 PM     all     95.51      0.00      1.75      0.00      0.00      2.24      0.50      0.00      0.00      0.00
10:46:48 PM     all     94.49      0.00      2.26      0.00      0.00      2.51      0.75      0.00      0.00      0.00
10:46:49 PM     all     94.74      0.00      3.76      0.00      0.00      1.50      0.00      0.00      0.00      0.00
10:46:50 PM     all     92.98      0.00      5.26      0.00      0.00      1.50      0.25      0.00      0.00      0.00
10:46:51 PM     all     93.78      0.00      4.23      0.00      0.00      1.74      0.25      0.00      0.00      0.00
10:46:52 PM     all     93.27      0.00      4.74      0.00      0.00      1.75      0.25      0.00      0.00      0.00
10:46:53 PM     all     97.24      0.00      1.01      0.00      0.00      1.76      0.00      0.00      0.00      0.00
10:46:54 PM     all     96.25      0.00      1.50      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:55 PM     all     97.00      0.00      1.00      0.00      0.00      2.00      0.00      0.00      0.00      0.00
10:46:56 PM     all     97.00      0.00      1.00      0.00      0.00      1.75      0.25      0.00      0.00      0.00
10:46:57 PM     all     95.26      0.00      2.49      0.00      0.00      2.00      0.25      0.00      0.00      0.00
10:46:58 PM     all     96.00      0.00      2.00      0.00      0.00      2.00      0.00      0.00      0.00      0.00
