Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

10:22:24 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
10:22:25 PM     all     17.17      0.00     13.64      0.00      0.00      0.25      0.51      0.00      0.00     68.43
10:22:26 PM     all     21.25      0.00      1.50      0.00      0.00      0.50      0.50      0.00      0.00     76.25
10:22:27 PM     all     20.10      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     78.89
10:22:28 PM     all     17.38      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     81.61
10:22:29 PM     all     19.55      0.00      0.25      0.00      0.00      0.50      0.50      0.00      0.00     79.20
10:22:30 PM     all     19.10      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     80.15
10:22:31 PM     all     17.00      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     81.50
10:22:32 PM     all     20.35      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     78.64
10:22:33 PM     all     15.79      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     82.71
10:22:34 PM     all     19.44      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     79.80
10:22:35 PM     all     17.09      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     81.41
10:22:36 PM     all     20.00      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     79.00
10:22:37 PM     all     17.13      0.00      0.00      0.00      0.00      0.25      0.25      0.00      0.00     82.37
10:22:38 PM     all     19.85      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     79.15
10:22:39 PM     all     18.75      0.00      0.75      0.25      0.00      0.50      0.50      0.00      0.00     79.25
10:22:40 PM     all     17.38      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     81.86
10:22:41 PM     all     19.50      0.00      0.75      0.00      0.00      0.50      0.50      0.00      0.00     78.75
10:22:42 PM     all     18.25      0.00      1.00      0.00      0.00      0.25      0.25      0.00      0.00     80.25
10:22:43 PM     all     15.96      0.00      1.00      0.00      0.00      0.50      0.75      0.00      0.00     81.80
10:22:44 PM     all     18.59      0.00      0.75      0.00      0.00      0.25      0.50      0.00      0.00     79.90
10:22:45 PM     all     14.46      0.00      1.00      0.00      0.00      0.50      0.50      0.00      0.00     83.54
10:22:46 PM     all     19.00      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     79.75
10:22:47 PM     all     14.32      0.00      0.75      0.00      0.00      0.50      0.50      0.00      0.00     83.92
10:22:48 PM     all     20.05      0.00      0.75      0.00      0.00      0.25      0.25      0.00      0.00     78.70
10:22:49 PM     all     18.80      0.00      0.75      0.25      0.00      0.25      0.50      0.00      0.00     79.45
10:22:50 PM     all     18.25      0.00      0.75      0.00      0.00      0.50      0.25      0.00      0.00     80.25
10:22:51 PM     all     19.85      0.00      0.25      0.00      0.00      0.25      0.50      0.00      0.00     79.15
10:22:52 PM     all     13.22      0.00      1.25      0.00      0.00      0.50      0.25      0.00      0.00     84.79
10:22:53 PM     all     15.21      0.00      1.50      0.00      0.00      0.25      0.25      0.00      0.00     82.79
10:22:54 PM     all     31.50      0.00      7.50      0.00      0.00      0.50      0.50      0.00      0.00     60.00
10:22:55 PM     all     79.95      0.00      3.26      0.00      0.00      1.00      0.75      0.00      0.00     15.04
10:22:56 PM     all     79.90      0.00      2.01      0.00      0.00      0.75      0.50      0.00      0.00     16.83
10:22:57 PM     all     65.40      0.00      2.27      0.00      0.00      0.76      0.76      0.00      0.00     30.81
10:22:58 PM     all     62.31      0.00      2.26      0.00      0.00      0.75      0.50      0.00      0.00     34.17
10:22:59 PM     all     60.10      0.00      2.27      0.00      0.00      0.76      0.51      0.00      0.00     36.36
10:23:00 PM     all     52.75      0.00      3.00      0.00      0.00      0.75      0.75      0.00      0.00     42.75
10:23:01 PM     all     70.43      0.00      2.76      0.00      0.00      1.00      1.00      0.00      0.00     24.81
10:23:02 PM     all     72.11      0.00      1.76      0.00      0.00      0.50      0.50      0.00      0.00     25.13
10:23:03 PM     all     75.88      0.00      2.26      0.00      0.00      1.01      0.75      0.00      0.00     20.10
10:23:04 PM     all     72.32      0.00      2.49      0.25      0.00      0.75      0.75      0.00      0.00     23.44
10:23:05 PM     all     72.47      0.00      2.02      0.00      0.00      0.76      0.51      0.00      0.00     24.24
10:23:06 PM     all     59.90      0.00      2.01      0.00      0.00      0.75      1.00      0.00      0.00     36.34
10:23:07 PM     all     55.86      0.00      2.49      0.00      0.00      0.75      0.50      0.00      0.00     40.40
10:23:08 PM     all     62.47      0.00      2.27      0.00      0.00      0.76      0.76      0.00      0.00     33.75
10:23:09 PM     all     52.50      0.00      2.00      0.00      0.00      0.50      0.50      0.00      0.00     44.50
10:23:10 PM     all     46.52      0.00      2.49      0.00      0.00      0.75      0.50      0.00      0.00     49.75
10:23:11 PM     all     66.67      0.00      2.76      0.00      0.00      0.75      0.75      0.00      0.00     29.07
10:23:12 PM     all     57.89      0.00      1.50      0.00      0.00      0.75      0.75      0.00      0.00     39.10
10:23:13 PM     all     78.20      0.00      2.51      0.00      0.00      0.75      0.50      0.00      0.00     18.05
10:23:14 PM     all     77.64      0.00      2.26      0.00      0.00      1.01      0.75      0.00      0.00     18.34
10:23:15 PM     all     65.75      0.00      2.25      0.00      0.00      0.50      0.50      0.00      0.00     31.00
10:23:16 PM     all     72.68      0.00      3.26      0.00      0.00      1.00      0.75      0.00      0.00     22.31
10:23:17 PM     all     67.08      0.00      2.99      0.25      0.00      0.75      0.75      0.00      0.00     28.18
10:23:18 PM     all     63.07      0.00      1.76      0.00      0.00      0.50      0.50      0.00      0.00     34.17
10:23:19 PM     all     70.00      0.00      2.25      0.00      0.00      1.00      0.75      0.00      0.00     26.00
10:23:20 PM     all     68.00      0.00      2.25      0.00      0.00      0.50      0.50      0.00      0.00     28.75
10:23:21 PM     all     66.08      0.00      2.01      0.00      0.00      0.75      0.50      0.00      0.00     30.65
10:23:22 PM     all     63.09      0.00      2.00      0.00      0.00      0.75      0.75      0.00      0.00     33.42
10:23:23 PM     all     67.42      0.00      1.75      0.00      0.00      0.75      0.50      0.00      0.00     29.57
10:23:24 PM     all     49.50      0.00      2.76      0.00      0.00      0.50      0.50      0.00      0.00     46.73
10:23:25 PM     all     14.29      0.00      1.97      0.00      0.00      0.49      0.25      0.00      0.00     83.00
10:23:26 PM     all     18.61      0.00      1.74      0.00      0.00      0.25      0.25      0.00      0.00     79.16
10:23:27 PM     all     16.54      0.00      1.73      0.00      0.00      0.25      0.49      0.00      0.00     80.99
10:23:28 PM     all     18.36      0.00      1.74      0.00      0.00      0.50      0.25      0.00      0.00     79.16
10:23:29 PM     all     18.52      0.00      1.98      0.25      0.00      0.25      0.49      0.00      0.00     78.52
10:23:30 PM     all     17.62      0.00      1.99      0.00      0.00      0.50      0.25      0.00      0.00     79.65
10:23:31 PM     all     21.29      0.00      1.73      0.00      0.00      0.25      0.25      0.00      0.00     76.49
10:23:32 PM     all     19.35      0.00      1.24      0.00      0.00      0.25      0.25      0.00      0.00     78.91
10:23:33 PM     all     19.40      0.00      1.24      0.00      0.00      0.25      0.25      0.00      0.00     78.86
10:23:34 PM     all     19.85      0.00      1.24      0.00      0.00      0.25      0.50      0.00      0.00     78.16
10:23:35 PM     all     18.11      0.00      0.74      0.00      0.00      0.50      0.25      0.00      0.00     80.40
10:23:36 PM     all     19.40      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     79.85
10:23:37 PM     all     20.05      0.00      1.24      0.00      0.00      0.25      0.50      0.00      0.00     77.97
10:23:38 PM     all     18.70      0.00      1.25      0.00      0.00      0.25      0.25      0.00      0.00     79.55
10:23:39 PM     all     18.61      0.00      0.99      0.00      0.00      0.50      0.25      0.00      0.00     79.65
10:23:40 PM     all     16.21      0.00      0.75      0.00      0.00      0.25      0.50      0.00      0.00     82.29
10:23:41 PM     all     20.25      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     78.50
10:23:42 PM     all     18.45      0.00      0.75      0.00      0.00      0.25      0.25      0.00      0.00     80.30
10:23:43 PM     all     17.00      0.00      0.75      0.00      0.00      0.25      0.25      0.00      0.00     81.75
10:23:44 PM     all     20.15      0.00      1.24      0.00      0.00      0.25      0.50      0.00      0.00     77.86
10:23:45 PM     all     18.66      0.00      1.00      0.00      0.00      0.50      0.25      0.00      0.00     79.60
10:23:46 PM     all     16.13      0.00      1.49      0.00      0.00      0.25      0.50      0.00      0.00     81.64
10:23:47 PM     all     19.25      0.00      0.75      0.00      0.00      0.50      0.25      0.00      0.00     79.25
10:23:48 PM     all     17.41      0.00      1.00      0.00      0.00      0.25      0.25      0.00      0.00     81.09
10:23:49 PM     all     20.50      0.00      0.50      0.25      0.00      0.25      0.25      0.00      0.00     78.25
10:23:50 PM     all     17.34      0.00      0.50      0.00      0.00      0.25      0.50      0.00      0.00     81.41
10:23:51 PM     all     20.15      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     78.61
10:23:52 PM     all     18.50      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     80.50
10:23:53 PM     all     16.12      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     82.87
10:23:54 PM     all     16.00      0.00      0.25      0.00      0.00      0.50      0.50      0.00      0.00     82.75
10:23:55 PM     all     69.33      0.00      6.98      0.00      0.00      1.00      0.75      0.00      0.00     21.95
10:23:56 PM     all     68.33      0.00      1.75      0.00      0.00      0.50      0.50      0.00      0.00     28.93
10:23:57 PM     all     62.75      0.00      1.25      0.00      0.00      0.75      0.75      0.00      0.00     34.50
10:23:58 PM     all     59.65      0.00      1.24      0.00      0.00      0.74      0.50      0.00      0.00     37.87
10:23:59 PM     all     78.61      0.00      1.24      0.00      0.00      1.00      1.00      0.00      0.00     18.16
10:24:00 PM     all     61.75      0.00      1.75      0.00      0.00      0.75      0.50      0.00      0.00     35.25
10:24:01 PM     all     75.31      0.00      1.01      0.00      0.00      0.76      0.76      0.00      0.00     22.17
10:24:02 PM     all     70.90      0.00      0.75      0.00      0.00      0.75      0.50      0.00      0.00     27.11
10:24:03 PM     all     78.14      0.00      1.26      0.00      0.00      0.75      0.75      0.00      0.00     19.10
10:24:04 PM     all     73.43      0.00      0.75      0.00      0.00      0.75      0.50      0.00      0.00     24.56
10:24:05 PM     all     77.89      0.00      1.01      0.00      0.00      0.75      0.50      0.00      0.00     19.85
10:24:06 PM     all     75.13      0.00      0.75      0.00      0.00      0.75      0.50      0.00      0.00     22.86
10:24:07 PM     all     73.43      0.00      0.50      0.00      0.00      0.75      0.50      0.00      0.00     24.81
10:24:08 PM     all     76.19      0.00      1.25      0.00      0.00      1.00      0.75      0.00      0.00     20.80
10:24:09 PM     all     84.00      0.00      1.25      0.25      0.00      0.75      0.50      0.00      0.00     13.25
10:24:10 PM     all     90.00      0.00      1.00      0.00      0.00      1.00      0.75      0.00      0.00      7.25
10:24:11 PM     all     83.21      0.00      1.00      0.00      0.00      0.75      0.50      0.00      0.00     14.54
10:24:12 PM     all     80.95      0.00      1.75      0.00      0.00      1.00      0.75      0.00      0.00     15.54
10:24:13 PM     all     73.50      0.00      1.25      0.00      0.00      0.75      0.75      0.00      0.00     23.75
10:24:14 PM     all     88.47      0.00      0.75      0.00      0.00      0.75      0.50      0.00      0.00      9.52
10:24:15 PM     all     85.96      0.00      0.75      0.00      0.00      0.75      0.50      0.00      0.00     12.03
10:24:16 PM     all     79.65      0.00      1.26      0.00      0.00      1.01      0.75      0.00      0.00     17.34
10:24:17 PM     all     84.71      0.00      0.75      0.00      0.00      0.75      0.50      0.00      0.00     13.28
10:24:18 PM     all     78.95      0.00      1.25      0.00      0.00      0.75      0.50      0.00      0.00     18.55
10:24:19 PM     all     86.00      0.00      0.75      0.00      0.00      1.00      0.50      0.00      0.00     11.75
10:24:20 PM     all     67.00      0.00      1.25      0.00      0.00      0.75      0.75      0.00      0.00     30.25
10:24:21 PM     all     71.86      0.00      0.75      0.00      0.00      0.50      0.50      0.00      0.00     26.38
