request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693222008427,1692249744172,1692249744688,1693222009044,617,516,101
2,1693222009044,1692249744853,1692249745399,1693222009763,719,546,173
3,1693222009763,1692249745499,1692249745759,1693222010097,334,260,74
4,1693222010097,1692249745836,1692249746244,1693222010589,492,408,84
5,1693222010589,1692249746331,1692249746709,1693222011049,460,378,82
6,1693222011049,1692249746787,1692249747163,1693222011517,468,376,92
7,1693222011517,1692249747258,1692249747584,1693222011950,433,326,107
8,1693222011950,1692249747693,1692249748117,1693222012472,522,424,98
9,1693222012472,1692249748234,1692249748480,1693222012849,377,246,131
10,1693222012849,1692249748589,1692249748877,1693222013221,372,288,84
11,1693222013221,1692249748971,1692249749353,1693222013709,488,382,106
12,1693222013709,1692249749464,1692249749745,1693222014107,398,281,117
13,1693222014107,1692249749864,1692249750123,1693222014489,382,259,123
14,1693222014489,1692249750233,1692249750538,1693222014929,440,305,135
15,1693222014929,1692249750670,1692249750947,1693222015274,345,277,68
16,1693222015274,1692249751038,1692249751272,1693222015645,371,234,137
17,1693222015646,1692249751401,1692249751593,1693222015988,342,192,150
18,1693222015988,1692249751732,1692249752137,1693222016476,488,405,83
19,1693222016476,1692249752221,1692249752617,1693222016963,487,396,91
20,1693222016963,1692249752727,1692249752962,1693222017333,370,235,135
21,1693222017334,1692249753082,1692249753385,1693222017777,443,303,140
22,1693222017777,1692249753545,1692249753865,1693222018243,466,320,146
23,1693222018243,1692249753974,1692249754334,1693222018676,433,360,73
24,1693222018676,1692249754426,1692249754776,1693222019135,459,350,109
25,1693222019135,1692249754897,1692249755210,1693222019681,546,313,233
26,1693222019681,1692249755434,1692249755809,1693222020163,482,375,107
27,1693222020163,1692249755898,1692249756173,1693222020506,343,275,68
28,1693222020506,1692249756270,1692249756607,1693222020999,493,337,156
29,1693222020999,1692249756724,1692249757046,1693222021497,498,322,176
30,1693222021497,1692249757242,1692249757633,1693222022015,518,391,127
31,1693222022015,1692249757772,1692249758108,1693222022464,449,336,113
32,1693222022464,1692249758208,1692249758574,1693222022947,483,366,117
33,1693222022947,1692249758688,1692249759080,1693222023439,492,392,100
34,1693222023439,1692249759190,1692249759479,1693222023864,425,289,136
35,1693222023864,1692249759608,1692249759951,1693222024336,472,343,129
36,1693222024336,1692249760076,1692249760399,1693222024763,427,323,104
37,1693222024763,1692249760502,1692249760859,1693222025219,456,357,99
38,1693222025219,1692249760970,1692249761342,1693222025689,470,372,98
39,1693222025690,1692249761437,1692249761749,1693222026102,412,312,100
40,1693222026102,1692249761867,1692249762151,1693222026518,416,284,132
41,1693222026518,1692249762289,1692249762553,1693222026918,400,264,136
42,1693222026918,1692249762678,1692249762947,1693222027325,407,269,138
43,1693222027325,1692249763086,1692249763303,1693222027675,350,217,133
44,1693222027675,1692249763430,1692249763737,1693222028111,436,307,129
45,1693222028111,1692249763851,1692249764171,1693222028532,421,320,101
46,1693222028532,1692249764297,1692249764613,1693222028976,444,316,128
47,1693222028976,1692249764721,1692249764936,1693222029305,329,215,114
48,1693222029305,1692249765060,1692249765336,1693222029706,401,276,125
49,1693222029706,1692249765493,1692249765687,1693222030118,412,194,218
50,1693222030118,1692249765865,1692249766239,1693222030586,468,374,94
51,1693222030586,1692249766347,1692249766626,1693222030996,410,279,131
52,1693222030996,1692249766775,1692249767028,1693222031406,410,253,157
53,1693222031407,1692249767182,1692249767405,1693222031792,385,223,162
54,1693222031792,1692249767559,1692249767781,1693222032160,368,222,146
55,1693222032160,1692249767902,1692249768265,1693222032611,451,363,88
56,1693222032611,1692249768357,1692249768646,1693222033009,398,289,109
57,1693222033009,1692249768760,1692249769084,1693222033429,420,324,96
58,1693222033429,1692249769165,1692249769516,1693222033856,427,351,76
59,1693222033856,1692249769618,1692249769891,1693222034305,449,273,176
60,1693222034305,1692249770040,1692249770440,1693222034783,478,400,78
61,1693222034784,1692249770524,1692249770770,1693222035153,369,246,123
62,1693222035153,1692249770891,1692249771260,1693222035597,444,369,75
63,1693222035598,1692249771362,1692249771578,1693222035942,344,216,128
64,1693222035942,1692249771693,1692249771974,1693222036342,400,281,119
65,1693222036342,1692249772099,1692249772403,1693222036787,445,304,141
66,1693222036787,1692249772561,1692249772774,1693222037149,362,213,149
67,1693222037149,1692249773170,1692249773482,1693222037889,740,312,428
68,1693222037889,1692249773623,1692249773933,1693222038281,392,310,82
69,1693222038281,1692249774031,1692249774405,1693222038799,518,374,144
70,1693222038974,1692249774758,1692249775124,1693222039501,527,366,161
71,1693222039501,1692249775254,1692249775868,1693222040219,718,614,104
72,1693222040219,1692249775963,1692249776569,1693222040923,704,606,98
73,1693222040923,1692249776686,1692249777114,1693222041478,555,428,127
74,1693222041478,1692249777252,1692249777707,1693222042073,595,455,140
75,1693222042073,1692249777796,1692249778273,1693222042660,587,477,110
76,1693222042660,1692249778422,1692249778891,1693222043317,657,469,188
77,1693222043317,1692249779057,1692249779569,1693222043910,593,512,81
78,1693222043910,1692249779666,1692249780146,1693222044509,599,480,119
79,1693222044509,1692249780265,1692249780646,1693222045015,506,381,125
80,1693222045015,1692249780779,1692249781172,1693222045561,546,393,153
81,1693222045561,1692249781317,1692249781816,1693222046191,630,499,131
82,1693222046191,1692249781938,1692249782500,1693222046855,664,562,102
83,1693222046855,1692249782609,1692249783060,1693222047426,571,451,120
84,1693222047426,1692249783183,1692249783641,1693222048003,577,458,119
85,1693222048003,1692249783742,1692249784324,1693222048673,670,582,88
86,1693222048673,1692249784424,1692249784877,1693222049238,565,453,112
87,1693222049238,1692249784991,1692249785369,1693222049773,535,378,157
88,1693222049773,1692249785523,1692249786054,1693222050408,635,531,104
89,1693222050408,1692249786160,1692249786572,1693222051006,598,412,186
90,1693222051006,1692249786755,1692249787249,1693222051606,600,494,106
91,1693222051606,1692249787358,1692249787650,1693222052011,405,292,113
92,1693222052011,1692249787754,1692249788253,1693222052602,591,499,92
93,1693222052602,1692249788353,1692249788785,1693222053153,551,432,119
94,1693222053153,1692249788896,1692249789256,1693222053615,462,360,102
95,1693222053615,1692249789364,1692249789834,1693222054267,652,470,182
96,1693222054268,1692249790011,1692249790431,1693222054873,605,420,185
97,1693222054873,1692249790633,1692249790929,1693222055308,435,296,139
98,1693222055308,1692249791075,1692249791672,1693222056027,719,597,122
99,1693222056027,1692249791791,1692249792185,1693222056535,508,394,114
100,1693222056535,1692249792294,1692249792761,1693222057123,588,467,121
101,1693222057123,1692249792886,1692249793462,1693222057858,735,576,159
102,1693222057858,1692249793618,1692249794192,1693222058550,692,574,118
103,1693222058550,1692249794318,1692249794847,1693222059227,677,529,148
104,1693222059227,1692249794998,1692249795473,1693222059836,609,475,134
105,1693222059836,1692249795651,1692249796134,1693222060500,664,483,181
106,1693222060500,1692249796257,1692249796833,1693222061191,691,576,115
107,1693222061191,1692249796982,1692249797275,1693222061669,478,293,185
108,1693222061669,1692249797427,1692249797896,1693222062264,595,469,126
109,1693222062264,1692249798002,1692249798486,1693222062834,570,484,86
110,1693222062834,1692249798557,1692249798933,1693222063272,438,376,62
111,1693222063272,1692249799019,1692249799592,1693222063943,671,573,98
112,1693222063943,1692249799694,1692249800207,1693222064571,628,513,115
113,1693222064571,1692249800325,1692249800898,1693222065254,683,573,110
114,1693222065254,1692249801024,1692249801563,1693222065920,666,539,127
115,1693222065920,1692249801668,1692249802238,1693222066583,663,570,93
116,1693222066583,1692249802342,1692249802731,1693222067088,505,389,116
117,1693222067088,1692249802838,1692249803378,1693222067743,655,540,115
118,1693222067743,1692249803480,1692249803945,1693222068402,659,465,194
119,1693222068402,1692249804135,1692249804664,1693222069014,612,529,83
120,1693222069021,1692249804751,1692249805162,1693222069573,552,411,141
121,1693222069573,1692249805440,1692249805753,1693222070132,559,313,246
122,1693222070132,1692249805911,1692249806353,1693222070749,617,442,175
123,1693222070749,1692249806516,1692249806892,1693222071246,497,376,121
124,1693222071246,1692249807073,1692249807375,1693222071735,489,302,187
125,1693222071735,1692249807510,1692249807849,1693222072202,467,339,128
126,1693222072202,1692249807965,1692249808232,1693222072598,396,267,129
