Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

09:05:15 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
09:05:16 PM     all     11.28      0.00     14.04      0.00      0.00      0.75      0.75      0.00      0.00     73.18
09:05:17 PM     all     16.79      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     82.21
09:05:18 PM     all     14.29      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     84.21
09:05:19 PM     all     20.60      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     78.64
09:05:20 PM     all     14.04      0.00      0.25      0.25      0.00      0.25      0.25      0.00      0.00     84.96
09:05:21 PM     all     16.79      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     81.70
09:05:22 PM     all     12.78      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     85.96
09:05:23 PM     all     12.81      0.00      0.25      0.00      0.00      0.25      0.75      0.00      0.00     85.93
09:05:24 PM     all     17.84      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     81.16
09:05:25 PM     all     12.53      0.00      0.75      0.00      0.00      0.50      0.50      0.00      0.00     85.71
09:05:26 PM     all     16.08      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     82.91
09:05:27 PM     all     16.04      0.00      0.25      0.00      0.00      0.50      0.50      0.00      0.00     82.71
09:05:28 PM     all     17.09      0.00      0.50      0.00      0.00      0.25      0.50      0.00      0.00     81.66
09:05:29 PM     all     18.70      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     80.05
09:05:30 PM     all     11.81      0.00      0.50      0.25      0.00      0.50      0.50      0.00      0.00     86.43
09:05:31 PM     all     21.55      0.00      0.00      0.00      0.00      0.25      0.25      0.00      0.00     77.94
09:05:32 PM     all     14.86      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     84.13
09:05:33 PM     all     15.33      0.00      0.25      0.00      0.00      0.50      0.50      0.00      0.00     83.42
09:05:34 PM     all     14.82      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     84.42
09:05:35 PM     all     14.65      0.00      0.00      0.25      0.00      0.25      0.25      0.00      0.00     84.60
09:05:36 PM     all     14.07      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     84.42
09:05:37 PM     all     16.75      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     82.25
09:05:38 PM     all     11.81      0.00      0.25      0.00      0.00      0.25      0.50      0.00      0.00     87.19
09:05:39 PM     all     13.32      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     85.68
09:05:40 PM     all     13.10      0.00      0.25      0.00      0.00      0.25      0.50      0.00      0.00     85.89
09:05:41 PM     all     15.50      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     83.00
09:05:42 PM     all     16.62      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     82.37
09:05:43 PM     all     12.19      0.00      0.75      0.00      0.00      0.50      0.50      0.00      0.00     86.07
