Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

10:00:43 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
10:00:44 PM     all     18.50      0.00     14.25      0.00      0.00      0.50      0.50      0.00      0.00     66.25
10:00:45 PM     all     19.80      0.00      0.75      0.00      0.00      0.25      0.25      0.00      0.00     78.95
10:00:46 PM     all     19.60      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     79.65
10:00:47 PM     all     16.33      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     82.16
10:00:48 PM     all     19.30      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     79.70
10:00:49 PM     all     18.94      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     80.30
10:00:50 PM     all     17.75      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     80.75
10:00:51 PM     all     19.60      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     79.65
10:00:52 PM     all     19.60      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     79.40
10:00:53 PM     all     17.09      0.00      0.75      0.00      0.00      0.50      0.25      0.00      0.00     81.41
10:00:54 PM     all     18.25      0.00      0.00      0.00      0.00      0.25      0.50      0.00      0.00     81.00
10:00:55 PM     all     18.18      0.00      0.51      0.00      0.00      0.25      0.25      0.00      0.00     80.81
10:00:56 PM     all     18.55      0.00      0.25      0.00      0.00      0.25      0.50      0.00      0.00     80.45
10:00:57 PM     all     20.45      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     78.30
10:00:58 PM     all     20.55      0.00      0.50      0.25      0.00      0.25      0.25      0.00      0.00     78.20
10:00:59 PM     all     17.79      0.00      0.25      0.00      0.00      0.25      0.50      0.00      0.00     81.20
10:01:00 PM     all     18.80      0.00      1.00      0.00      0.00      0.50      0.25      0.00      0.00     79.45
10:01:01 PM     all     19.55      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     79.70
10:01:02 PM     all     18.64      0.00      0.25      0.00      0.00      0.25      0.50      0.00      0.00     80.35
10:01:03 PM     all     16.79      0.00      0.75      0.00      0.00      0.50      0.25      0.00      0.00     81.70
10:01:04 PM     all     20.25      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     79.00
10:01:05 PM     all     21.46      0.00      1.01      0.00      0.00      0.25      0.25      0.00      0.00     77.02
10:01:06 PM     all     14.61      0.00      0.25      0.00      0.00      0.25      0.50      0.00      0.00     84.38
10:01:07 PM     all     19.55      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     79.45
10:01:08 PM     all     19.95      0.00      0.00      0.00      0.00      0.25      0.25      0.00      0.00     79.55
10:01:09 PM     all     14.57      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     83.92
10:01:10 PM     all     20.40      0.00      0.00      0.00      0.00      0.25      0.25      0.00      0.00     79.09
10:01:11 PM     all     20.35      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     78.64
10:01:12 PM     all     20.55      0.00      0.00      0.00      0.00      0.25      0.25      0.00      0.00     78.95
10:01:13 PM     all     12.28      0.00     32.33      0.25      0.00      0.50      0.50      0.00      0.00     54.14
10:01:14 PM     all      5.01      0.00     91.73      1.25      0.00      0.25      0.00      0.00      0.00      1.75
10:01:15 PM     all      3.51      0.00     92.48      1.25      0.00      0.50      0.25      0.00      0.00      2.01
10:01:16 PM     all      5.21      0.00     87.34      2.48      0.00      0.25      0.00      0.00      0.00      4.71
10:01:17 PM     all      4.47      0.00     89.08      1.74      0.00      0.74      0.25      0.00      0.00      3.72
10:01:18 PM     all      3.96      0.00     92.82      0.99      0.00      0.25      0.25      0.00      0.00      1.73
10:01:19 PM     all      5.51      0.00     91.23      1.25      0.00      0.50      0.25      0.00      0.00      1.25
10:01:20 PM     all      4.74      0.00     91.52      1.25      0.00      0.50      0.00      0.00      0.00      2.00
10:01:21 PM     all      8.23      0.00     86.03      1.25      0.00      0.50      0.25      0.00      0.00      3.74
10:01:22 PM     all      5.97      0.00     90.80      1.24      0.00      0.25      0.25      0.00      0.00      1.49
10:01:23 PM     all      3.98      0.00     92.29      1.24      0.00      0.75      0.25      0.00      0.00      1.49
10:01:24 PM     all      9.27      0.00     86.72      1.50      0.00      0.25      0.25      0.00      0.00      2.01
10:01:25 PM     all      6.53      0.00     89.70      1.51      0.00      0.50      0.25      0.00      0.00      1.51
10:01:26 PM     all      7.48      0.00     83.79      5.99      0.00      0.50      0.00      0.00      0.00      2.24
10:01:27 PM     all      3.79      0.00     92.17      1.52      0.00      0.51      0.25      0.00      0.00      1.77
10:01:28 PM     all      4.27      0.00     92.46      1.01      0.00      0.25      0.00      0.00      0.00      2.01
10:01:29 PM     all      3.00      0.00     92.75      1.25      0.00      0.50      0.25      0.00      0.00      2.25
10:01:30 PM     all      3.25      0.00     92.75      1.75      0.00      0.50      0.25      0.00      0.00      1.50
10:01:31 PM     all      6.02      0.00     90.48      1.50      0.00      0.25      0.00      0.00      0.00      1.75
10:01:32 PM     all      5.22      0.00     91.29      0.75      0.00      0.50      0.25      0.00      0.00      1.99
10:01:33 PM     all      5.74      0.00     90.02      2.00      0.00      0.50      0.00      0.00      0.00      1.75
10:01:34 PM     all      5.97      0.00     90.30      1.24      0.00      0.25      0.25      0.00      0.00      1.99
10:01:35 PM     all      6.47      0.00     86.82      2.24      0.00      0.50      0.25      0.00      0.00      3.73
10:01:36 PM     all      6.30      0.00     90.43      1.26      0.00      0.50      0.25      0.00      0.00      1.26
10:01:37 PM     all      4.26      0.00     91.73      1.75      0.00      0.50      0.00      0.00      0.00      1.75
10:01:38 PM     all      3.74      0.00     92.77      1.25      0.00      0.50      0.25      0.00      0.00      1.50
10:01:39 PM     all      3.47      0.00     93.30      1.24      0.00      0.25      0.25      0.00      0.00      1.49
10:01:40 PM     all      6.52      0.00     88.72      2.01      0.00      0.50      0.25      0.00      0.00      2.01
10:01:41 PM     all      4.50      0.00     93.00      1.00      0.00      0.25      0.00      0.00      0.00      1.25
10:01:42 PM     all      4.95      0.00     90.59      1.98      0.00      0.50      0.25      0.00      0.00      1.73
10:01:43 PM     all      6.52      0.00     59.40      7.77      0.00      0.50      0.25      0.00      0.00     25.56
10:01:44 PM     all      0.00      0.00      0.25      0.00      0.00      0.00      0.00      0.00      0.00     99.75
10:01:45 PM     all      0.25      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     99.00
10:01:46 PM     all      5.76      0.00      0.25      0.00      0.00      0.25      0.00      0.00      0.00     93.73
10:01:47 PM     all     16.46      0.00      1.50      0.00      0.00      0.25      0.50      0.00      0.00     81.30
