request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693220706996,1692248442857,1692248443508,1693220707876,880,651,229
2,1693220707876,1692248443657,1692248444095,1693220708454,578,438,140
3,1693220708454,1692248444186,1692248444523,1693220708885,431,337,94
4,1693220708885,1692248444610,1692248444876,1693220709214,329,266,63
5,1693220709214,1692248444961,1692248445282,1693220709654,440,321,119
6,1693220709654,1692248445386,1692248445736,1693220710128,474,350,124
7,1693220710128,1692248445883,1692248446228,1693220710588,460,345,115
8,1693220710588,1692248446313,1692248446645,1693220710991,403,332,71
9,1693220710991,1692248446750,1692248446972,1693220711350,359,222,137
10,1693220711350,1692248447107,1692248447330,1693220711712,362,223,139
11,1693220711712,1692248447440,1692248447843,1693220712199,487,403,84
12,1693220712199,1692248447923,1692248448325,1693220712706,507,402,105
13,1693220712706,1692248448481,1692248448716,1693220713101,395,235,160
14,1693220713101,1692248448864,1692248449158,1693220713534,433,294,139
15,1693220713534,1692248449261,1692248449637,1693220714020,486,376,110
16,1693220714020,1692248449770,1692248450106,1693220714472,452,336,116
17,1693220714472,1692248450206,1692248450522,1693220714886,414,316,98
18,1693220714886,1692248450623,1692248451006,1693220715369,483,383,100
19,1693220715369,1692248451098,1692248451466,1693220715819,450,368,82
20,1693220715819,1692248451568,1692248451837,1693220716211,392,269,123
21,1693220716211,1692248451953,1692248452222,1693220716586,375,269,106
22,1693220716586,1692248452327,1692248452603,1693220716945,359,276,83
23,1693220716945,1692248452700,1692248452954,1693220717342,397,254,143
24,1693220717342,1692248453071,1692248453420,1693220717772,430,349,81
25,1693220717772,1692248453524,1692248453746,1693220718120,348,222,126
26,1693220718120,1692248453847,1692248454157,1693220718585,465,310,155
27,1693220718585,1692248454321,1692248454531,1693220718895,310,210,100
28,1693220718895,1692248454631,1692248454893,1693220719261,366,262,104
29,1693220719261,1692248455000,1692248455261,1693220719647,386,261,125
30,1693220719647,1692248455386,1692248455718,1693220720092,445,332,113
31,1693220720092,1692248455817,1692248456067,1693220720434,342,250,92
32,1693220720434,1692248456165,1692248456513,1693220720870,436,348,88
33,1693220720870,1692248456591,1692248457019,1693220721366,496,428,68
34,1693220721366,1692248457109,1692248457451,1693220721824,458,342,116
35,1693220721824,1692248457560,1692248457887,1693220722254,430,327,103
36,1693220722254,1692248457976,1692248458278,1693220722615,361,302,59
37,1693220722615,1692248458375,1692248458594,1693220722986,371,219,152
38,1693220722986,1692248458712,1692248459077,1693220723445,459,365,94
39,1693220723445,1692248459188,1692248459504,1693220723867,422,316,106
40,1693220723867,1692248459607,1692248459977,1693220724347,480,370,110
41,1693220724347,1692248460107,1692248460321,1693220724749,402,214,188
42,1693220724749,1692248460475,1692248460786,1693220725184,435,311,124
43,1693220725184,1692248460926,1692248461249,1693220725622,438,323,115
44,1693220725622,1692248461353,1692248461685,1693220726061,439,332,107
45,1693220726061,1692248461787,1692248462107,1693220726478,417,320,97
46,1693220726478,1692248462218,1692248462554,1693220726914,436,336,100
47,1693220726914,1692248462667,1692248462881,1693220727281,367,214,153
48,1693220727281,1692248463018,1692248463326,1693220727707,426,308,118
49,1693220727707,1692248463458,1692248463768,1693220728141,434,310,124
50,1693220728141,1692248463886,1692248464217,1693220728586,445,331,114
51,1693220728586,1692248464309,1692248464756,1693220729111,525,447,78
52,1693220729111,1692248464840,1692248465107,1693220729459,348,267,81
53,1693220729459,1692248465184,1692248465577,1693220729942,483,393,90
54,1693220729942,1692248465689,1692248465923,1693220730319,377,234,143
55,1693220730319,1692248466068,1692248466327,1693220730780,461,259,202
56,1693220730781,1692248466505,1692248466884,1693220731236,455,379,76
57,1693220731236,1692248466970,1692248467273,1693220731689,453,303,150
58,1693220731689,1692248467416,1692248467798,1693220732143,454,382,72
59,1693220732143,1692248467899,1692248468174,1693220732552,409,275,134
60,1693220732552,1692248468288,1692248468623,1693220732986,434,335,99
61,1693220732986,1692248468752,1692248468986,1693220733403,417,234,183
