request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693219408445,1692247144230,1692247144644,1693219409022,577,414,163
2,1693219409022,1692247144775,1692247145143,1693219409537,515,368,147
3,1693219409537,1692247145301,1692247145668,1693219410050,513,367,146
4,1693219410050,1692247145776,1692247146030,1693219410431,381,254,127
5,1693219410432,1692247146162,1692247146530,1693219410909,477,368,109
6,1693219410909,1692247146647,1692247146974,1693219411347,438,327,111
7,1693219411347,1692247147084,1692247147397,1693219411785,438,313,125
8,1693219411785,1692247147517,1692247147734,1693219412119,334,217,117
9,1693219412119,1692247147850,1692247148221,1693219412608,489,371,118
10,1693219412608,1692247148346,1692247148710,1693219413088,480,364,116
11,1693219413088,1692247148805,1692247149034,1693219413433,345,229,116
12,1693219413433,1692247149169,1692247149524,1693219413898,465,355,110
13,1693219413898,1692247149620,1692247149974,1693219414426,528,354,174
14,1693219414426,1692247150157,1692247150527,1693219414941,515,370,145
15,1693219414941,1692247150655,1692247151051,1693219415408,467,396,71
16,1693219415408,1692247151128,1692247151461,1693219415837,429,333,96
17,1693219415837,1692247151561,1692247151923,1693219416392,555,362,193
18,1693219416392,1692247152136,1692247152504,1693219416904,512,368,144
19,1693219416904,1692247152632,1692247152982,1693219417406,502,350,152
20,1693219417406,1692247153134,1692247153433,1693219417825,419,299,120
21,1693219417825,1692247153560,1692247153798,1693219418192,367,238,129
22,1693219418192,1692247153934,1692247154149,1693219418550,358,215,143
23,1693219418550,1692247154275,1692247154531,1693219418924,374,256,118
24,1693219418924,1692247154648,1692247154962,1693219419351,427,314,113
25,1693219419351,1692247155074,1692247155421,1693219419802,451,347,104
26,1693219419802,1692247155526,1692247155758,1693219420232,430,232,198
27,1693219420232,1692247155968,1692247156258,1693219420652,420,290,130
28,1693219420652,1692247156377,1692247156787,1693219421164,512,410,102
29,1693219421164,1692247156897,1692247157164,1693219421546,382,267,115
30,1693219421546,1692247157277,1692247157622,1693219422012,466,345,121
31,1693219422012,1692247157746,1692247158030,1693219422390,378,284,94
32,1693219422390,1692247158116,1692247158426,1693219422847,457,310,147
33,1693219422847,1692247158563,1692247158888,1693219423244,397,325,72
34,1693219423244,1692247158973,1692247159324,1693219423703,459,351,108
35,1693219423703,1692247159437,1692247159700,1693219424092,389,263,126
36,1693219424092,1692247159824,1692247160176,1693219424559,467,352,115
37,1693219424559,1692247160290,1692247160528,1693219424987,428,238,190
38,1693219424987,1692247160713,1692247160975,1693219425327,340,262,78
39,1693219425327,1692247161049,1692247161383,1693219425804,477,334,143
