Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

09:49:55 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
09:49:56 PM     all     17.62      0.00     14.89      0.00      0.00      0.50      0.50      0.00      0.00     66.50
09:49:57 PM     all     18.86      0.00      1.49      0.00      0.00      0.25      0.25      0.00      0.00     79.16
09:49:58 PM     all     20.25      0.00      1.25      0.00      0.00      0.25      0.25      0.00      0.00     78.00
09:49:59 PM     all     19.95      0.00      0.50      0.25      0.00      0.50      0.25      0.00      0.00     78.55
09:50:00 PM     all     17.46      0.00      2.00      0.00      0.00      0.25      0.50      0.00      0.00     79.80
09:50:01 PM     all     19.30      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     79.70
09:50:02 PM     all     18.32      0.00      0.99      0.00      0.00      0.50      0.50      0.00      0.00     79.70
09:50:03 PM     all     17.79      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     81.20
09:50:04 PM     all     19.10      0.00      0.75      0.00      0.00      0.25      0.25      0.00      0.00     79.65
09:50:05 PM     all     21.09      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     77.92
09:50:06 PM     all     18.75      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     80.00
09:50:07 PM     all     17.71      0.00      0.50      0.00      0.00      0.25      0.50      0.00      0.00     81.05
09:50:08 PM     all     17.25      0.00      0.75      0.00      0.00      0.25      0.50      0.00      0.00     81.25
09:50:09 PM     all     17.96      0.00      0.25      0.25      0.00      0.25      0.25      0.00      0.00     81.05
09:50:10 PM     all     18.55      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     80.45
09:50:11 PM     all     20.55      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     78.45
09:50:12 PM     all     19.60      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     79.40
09:50:13 PM     all     20.05      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     79.20
09:50:14 PM     all     17.71      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     80.80
