Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

10:11:37 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
10:11:38 PM     all     16.79      0.00     14.79      0.00      0.00      0.25      0.50      0.00      0.00     67.67
10:11:39 PM     all     18.75      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     80.00
10:11:40 PM     all     17.34      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     81.66
10:11:41 PM     all     19.00      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     79.50
10:11:42 PM     all     20.05      0.00      0.50      0.25      0.00      0.25      0.25      0.00      0.00     78.70
10:11:43 PM     all     19.30      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     79.70
10:11:44 PM     all     18.89      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     80.35
10:11:45 PM     all     17.75      0.00      0.75      0.00      0.00      0.25      0.25      0.00      0.00     81.00
10:11:46 PM     all     18.20      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     80.30
10:11:47 PM     all     19.10      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     79.90
10:11:48 PM     all     19.60      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     79.40
10:11:49 PM     all     16.54      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     81.95
10:11:50 PM     all     17.09      0.00      0.75      0.00      0.00      0.25      0.25      0.00      0.00     81.66
10:11:51 PM     all     16.75      0.00      0.75      0.00      0.00      0.50      0.50      0.00      0.00     81.50
10:11:52 PM     all     18.25      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     80.75
10:11:53 PM     all     16.04      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     82.96
10:11:54 PM     all     20.80      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     78.45
10:11:55 PM     all     16.04      0.00      0.25      0.00      0.00      0.50      0.50      0.00      0.00     82.71
10:11:56 PM     all     19.85      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     79.40
10:11:57 PM     all     20.00      0.00      0.25      0.25      0.00      0.25      0.50      0.00      0.00     78.75
10:11:58 PM     all     14.82      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     84.17
10:11:59 PM     all     20.85      0.00      0.00      0.00      0.00      0.25      0.25      0.00      0.00     78.64
10:12:00 PM     all     21.61      0.00      1.26      0.00      0.00      0.25      0.25      0.00      0.00     76.63
10:12:01 PM     all     19.30      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     79.95
10:12:02 PM     all     17.34      0.00      0.25      0.00      0.00      0.50      0.50      0.00      0.00     81.41
10:12:03 PM     all     18.64      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     80.60
10:12:04 PM     all     18.43      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     80.81
10:12:05 PM     all     17.71      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     80.80
10:12:06 PM     all     18.59      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     80.40
10:12:07 PM     all     13.57      0.00     46.23      0.00      0.00      0.50      0.50      0.00      0.00     39.20
10:12:08 PM     all     14.00      0.00     84.25      0.00      0.00      0.75      0.75      0.00      0.00      0.25
10:12:09 PM     all     16.75      0.00     81.50      0.00      0.00      0.75      0.75      0.00      0.00      0.25
10:12:10 PM     all     15.25      0.00     83.25      0.00      0.00      0.75      0.75      0.00      0.00      0.00
10:12:11 PM     all     18.25      0.00     80.25      0.00      0.00      0.50      0.75      0.00      0.00      0.25
10:12:12 PM     all     18.95      0.00     79.55      0.50      0.00      0.50      0.50      0.00      0.00      0.00
10:12:13 PM     all     13.25      0.00     85.25      0.00      0.00      0.75      0.75      0.00      0.00      0.00
10:12:14 PM     all     16.50      0.00     82.25      0.00      0.00      0.75      0.50      0.00      0.00      0.00
10:12:15 PM     all     17.75      0.00     81.00      0.00      0.00      0.50      0.50      0.00      0.00      0.25
10:12:16 PM     all     14.21      0.00     84.29      0.00      0.00      0.75      0.75      0.00      0.00      0.00
10:12:17 PM     all     18.59      0.00     79.90      0.25      0.00      0.50      0.75      0.00      0.00      0.00
10:12:18 PM     all     19.55      0.00     79.20      0.00      0.00      0.75      0.50      0.00      0.00      0.00
10:12:19 PM     all     17.96      0.00     80.55      0.00      0.00      0.50      0.75      0.00      0.00      0.25
10:12:20 PM     all     18.00      0.00     80.25      0.00      0.00      0.75      0.75      0.00      0.00      0.25
10:12:21 PM     all     20.30      0.00     78.95      0.00      0.00      0.50      0.25      0.00      0.00      0.00
10:12:22 PM     all     18.16      0.00     79.60      0.50      0.00      0.75      0.75      0.00      0.00      0.25
10:12:23 PM     all     17.04      0.00     81.70      0.00      0.00      0.50      0.75      0.00      0.00      0.00
10:12:24 PM     all     17.00      0.00     81.25      0.00      0.00      0.75      0.75      0.00      0.00      0.25
10:12:25 PM     all     16.50      0.00     82.25      0.00      0.00      0.75      0.50      0.00      0.00      0.00
10:12:26 PM     all     18.50      0.00     80.25      0.00      0.00      0.50      0.75      0.00      0.00      0.00
10:12:27 PM     all     17.34      0.00     81.16      0.25      0.00      0.75      0.50      0.00      0.00      0.00
10:12:28 PM     all     14.75      0.00     84.00      0.00      0.00      0.50      0.75      0.00      0.00      0.00
10:12:29 PM     all     16.46      0.00     81.55      0.00      0.00      0.75      1.00      0.00      0.00      0.25
10:12:30 PM     all     15.50      0.00     83.00      0.00      0.00      0.75      0.75      0.00      0.00      0.00
10:12:31 PM     all     16.04      0.00     82.71      0.00      0.00      0.50      0.75      0.00      0.00      0.00
10:12:32 PM     all     17.50      0.00     80.75      0.50      0.00      0.75      0.50      0.00      0.00      0.00
10:12:33 PM     all     18.50      0.00     80.50      0.00      0.00      0.50      0.50      0.00      0.00      0.00
10:12:34 PM     all     15.96      0.00     82.29      0.00      0.00      0.75      0.75      0.00      0.00      0.25
10:12:35 PM     all     16.25      0.00     82.50      0.00      0.00      0.50      0.75      0.00      0.00      0.00
10:12:36 PM     all     18.50      0.00     80.25      0.00      0.00      0.75      0.50      0.00      0.00      0.00
10:12:37 PM     all     15.79      0.00     44.61      0.25      0.00      0.50      0.50      0.00      0.00     38.35
10:12:38 PM     all     19.35      0.00      0.50      0.00      0.00      0.25      0.50      0.00      0.00     79.40
10:12:39 PM     all     18.89      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     80.35
10:12:40 PM     all     16.75      0.00      0.50      0.00      0.00      0.50      0.50      0.00      0.00     81.75
