request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693221361439,1692249097227,1692249097731,1693221362197,758,504,254
2,1693221362197,1692249097957,1692249098477,1693221362844,647,520,127
3,1693221362844,1692249098601,1692249098919,1693221363277,433,318,115
4,1693221363277,1692249099037,1692249099347,1693221363777,500,310,190
5,1693221363777,1692249099514,1692249099944,1693221364297,520,430,90
6,1693221364297,1692249100090,1692249100295,1693221364689,392,205,187
7,1693221364689,1692249100435,1692249100760,1693221365122,433,325,108
8,1693221365122,1692249100833,1692249101121,1693221365452,330,288,42
9,1693221365452,1692249101178,1692249101453,1693221365779,327,275,52
10,1693221365779,1692249101535,1692249101876,1693221366242,463,341,122
11,1693221366242,1692249101988,1692249102386,1693221366745,503,398,105
12,1693221366745,1692249102476,1692249102814,1693221367156,411,338,73
13,1693221367156,1692249102916,1692249103200,1693221367571,415,284,131
14,1693221367571,1692249103329,1692249103698,1693221368067,496,369,127
15,1693221368067,1692249103810,1692249104167,1693221368524,457,357,100
16,1693221368524,1692249104296,1692249104527,1693221368906,382,231,151
17,1693221368906,1692249104652,1692249105012,1693221369373,467,360,107
18,1693221369373,1692249105119,1692249105508,1693221369937,564,389,175
19,1693221369937,1692249105690,1692249105971,1693221370343,406,281,125
20,1693221370343,1692249106072,1692249106442,1693221370789,446,370,76
21,1693221370789,1692249106552,1692249106902,1693221371275,486,350,136
22,1693221371276,1692249107011,1692249107401,1693221371760,484,390,94
23,1693221371760,1692249107495,1692249107850,1693221372211,451,355,96
24,1693221372211,1692249107962,1692249108279,1693221372651,440,317,123
25,1693221372651,1692249108395,1692249108738,1693221373094,443,343,100
26,1693221373094,1692249108854,1692249109066,1693221373454,360,212,148
27,1693221373455,1692249109207,1692249109507,1693221373876,421,300,121
28,1693221373876,1692249109623,1692249109898,1693221374269,393,275,118
29,1693221374269,1692249110029,1692249110291,1693221374667,398,262,136
30,1693221374667,1692249110445,1692249110730,1693221375095,428,285,143
