Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

08:53:53 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
08:53:54 PM     all      1.50      0.00     56.50      0.00      0.00      0.50      4.50      0.00      0.00     37.00
08:53:55 PM     all      1.25      0.00     45.61      0.00      0.00      0.50      3.76      0.00      0.00     48.87
08:53:56 PM     all      0.75      0.00     45.86      0.00      0.00      0.50      4.01      0.00      0.00     48.87
08:53:57 PM     all      2.02      0.00     41.31      0.00      0.00      0.25      5.79      0.00      0.00     50.63
08:53:58 PM     all      0.51      0.00     39.39      0.00      0.00      0.26      6.39      0.00      0.00     53.45
08:53:59 PM     all      1.51      0.00     39.70      0.00      0.00      0.25      4.27      0.00      0.00     54.27
08:54:00 PM     all      2.74      0.00     40.90      0.00      0.00      0.50      4.24      0.00      0.00     51.62
08:54:01 PM     all      1.25      0.00     39.35      0.00      0.00      0.50      4.26      0.00      0.00     54.64
08:54:02 PM     all      2.01      0.00     39.10      0.00      0.00      0.25      4.26      0.00      0.00     54.39
08:54:03 PM     all      0.50      0.00     32.66      0.25      0.00      0.50      2.76      0.00      0.00     63.32
08:54:04 PM     all      2.02      0.00     30.48      0.00      0.00      0.25      3.53      0.00      0.00     63.73
08:54:05 PM     all      1.02      0.00     39.59      0.00      0.00      0.25      4.57      0.00      0.00     54.57
08:54:06 PM     all      0.50      0.00     40.60      0.00      0.00      0.25      4.26      0.00      0.00     54.39
08:54:07 PM     all      0.25      0.00     40.30      0.00      0.00      0.50      4.28      0.00      0.00     54.66
08:54:08 PM     all      1.51      0.00     39.70      0.00      0.00      0.25      4.27      0.00      0.00     54.27
08:54:09 PM     all      1.27      0.00     38.73      0.00      0.00      0.51      4.30      0.00      0.00     55.19
08:54:10 PM     all      1.26      0.00     38.89      0.00      0.00      0.25      4.29      0.00      0.00     55.30
08:54:11 PM     all      0.25      0.00     40.20      0.00      0.00      0.50      4.27      0.00      0.00     54.77
08:54:12 PM     all      1.26      0.00     39.20      0.00      0.00      0.25      4.27      0.00      0.00     55.03
08:54:13 PM     all      1.01      0.00     39.14      0.00      0.00      0.51      4.29      0.00      0.00     55.05
08:54:14 PM     all      6.73      0.00     30.92      0.00      0.00      0.50      2.00      0.00      0.00     59.85
08:54:15 PM     all     47.72      0.00     32.99      0.00      0.00      0.51      3.05      0.00      0.00     15.74
08:54:16 PM     all     45.61      0.00     42.36      0.00      0.00      0.50      4.51      0.00      0.00      7.02
08:54:17 PM     all     40.50      0.00     41.25      0.00      0.00      0.75      4.50      0.00      0.00     13.00
08:54:18 PM     all     44.72      0.00     41.96      0.25      0.00      0.50      5.03      0.00      0.00      7.54
08:54:19 PM     all     50.89      0.00     39.19      0.00      0.00      0.76      4.33      0.00      0.00      4.83
08:54:20 PM     all     48.48      0.00     40.91      0.00      0.00      0.51      4.29      0.00      0.00      5.81
08:54:21 PM     all     47.74      0.00     41.21      0.00      0.00      0.75      4.27      0.00      0.00      6.03
08:54:22 PM     all     49.38      0.00     39.21      0.00      0.00      0.50      3.47      0.00      0.00      7.44
08:54:23 PM     all     40.66      0.00     40.91      0.00      0.00      0.76      4.55      0.00      0.00     13.13
08:54:24 PM     all     40.00      0.00     42.75      0.00      0.00      0.50      5.00      0.00      0.00     11.75
08:54:25 PM     all     58.08      0.00     27.02      0.00      0.00      0.51      2.02      0.00      0.00     12.37
08:54:26 PM     all     49.24      0.00     34.34      0.00      0.00      0.76      3.03      0.00      0.00     12.63
08:54:27 PM     all     47.63      0.00     40.90      0.00      0.00      0.50      4.49      0.00      0.00      6.48
