request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693216687545,1692244433056,1692244443775,1693216708229,20684,10719,9965
2,1693216708229,1692244443892,1692244454595,1693216718939,10710,10703,7
3,1693216719105,1692244454768,1692244465663,1693216730009,10904,10895,9
4,1693216730009,1692244465674,1692244476484,1693216740894,10885,10810,75
5,1693216740894,1692244476558,1692244487291,1693216751753,10859,10733,126
6,1693216751763,1692244487427,1692244498133,1693216762482,10719,10706,13
7,1693216762482,1692244498166,1692244508874,1693216773351,10869,10708,161
8,1693216773351,1692244509015,1692244519720,1693216784097,10746,10705,41
9,1693216784272,1692244519936,1692244530733,1693216795096,10824,10797,27
10,1693216795096,1692244530761,1692244541536,1693216805889,10793,10775,18
11,1693216805889,1692244541561,1692244552342,1693216816687,10798,10781,17
12,1693216816699,1692244552363,1692244563071,1693216827414,10715,10708,7
13,1693216827414,1692244563079,1692244573783,1693216838126,10712,10704,8
14,1693216838126,1692244573790,1692244584499,1693216848925,10799,10709,90
15,1693216849090,1692244584756,1692244595638,1693216860007,10917,10882,35
16,1693216860007,1692244595673,1692244606462,1693216870806,10799,10789,10
17,1693216870806,1692244606474,1692244617263,1693216881606,10800,10789,11
18,1693216881612,1692244617277,1692244627978,1693216892320,10708,10701,7
19,1693216892320,1692244627985,1692244638692,1693216903094,10774,10707,67
20,1693216903094,1692244638759,1692244649464,1693216913806,10712,10705,7
21,1693216913969,1692244649635,1692244660458,1693216924800,10831,10823,8
22,1693216924800,1692244660467,1692244671340,1693216935691,10891,10873,18
23,1693216935691,1692244671358,1692244682141,1693216946518,10827,10783,44
24,1693216946556,1692244682222,1692244692928,1693216957269,10713,10706,7
25,1693216957269,1692244692936,1692244703645,1693216968030,10761,10709,52
26,1693216968030,1692244703710,1692244714416,1693216978757,10727,10706,21
27,1693216978924,1692244714591,1692244725444,1693216989786,10862,10853,9
28,1693216989786,1692244725453,1692244736300,1693217000683,10897,10847,50
29,1693217000683,1692244736370,1692244747160,1693217011531,10848,10790,58
30,1693217011539,1692244747205,1692244757911,1693217022252,10713,10706,7
31,1693217022252,1692244757918,1692244768624,1693217032965,10713,10706,7
32,1693217032965,1692244768632,1692244779338,1693217043681,10716,10706,10
33,1693217043846,1692244779515,1692244790398,1693217054844,10998,10883,115
34,1693217054844,1692244790516,1692244801370,1693217065742,10898,10854,44
35,1693217065742,1692244801410,1692244812168,1693217076508,10766,10758,8
36,1693217076515,1692244812182,1692244822887,1693217087228,10713,10705,8
37,1693217087228,1692244822899,1692244833610,1693217098058,10830,10711,119
38,1693217098058,1692244833725,1692244844429,1693217108809,10751,10704,47
39,1693217108975,1692244844643,1692244855463,1693217119803,10828,10820,8
40,1693217119803,1692244855471,1692244866241,1693217130581,10778,10770,8
41,1693217130581,1692244866251,1692244877034,1693217141374,10793,10783,10
42,1693217141381,1692244877048,1692244887753,1693217152092,10711,10705,6
43,1693217152092,1692244887760,1692244898467,1693217162876,10784,10707,77
44,1693217162876,1692244898544,1692244909248,1693217173587,10711,10704,7
45,1693217173751,1692244909420,1692244920344,1693217184684,10933,10924,9
46,1693217184684,1692244920353,1692244931210,1693217195550,10866,10857,9
47,1693217195550,1692244931219,1692244941973,1693217206313,10763,10754,9
48,1693217206319,1692244941987,1692244952691,1693217217030,10711,10704,7
49,1693217217030,1692244952698,1692244963403,1693217227742,10712,10705,7
50,1693217227742,1692244963413,1692244974117,1693217238587,10845,10704,141
51,1693217238753,1692244974423,1692244985282,1693217249709,10956,10859,97
52,1693217249709,1692244985378,1692244996254,1693217260594,10885,10876,9
53,1693217260594,1692244996265,1692245007063,1693217271401,10807,10798,9
54,1693217271408,1692245007077,1692245017798,1693217282173,10765,10721,44
55,1693217282173,1692245017854,1692245028573,1693217292911,10738,10719,19
56,1693217292911,1692245028580,1692245039299,1693217303671,10760,10719,41
57,1693217303859,1692245039528,1692245050378,1693217314716,10857,10850,7
58,1693217314716,1692245050386,1692245061262,1693217325685,10969,10876,93
59,1693217325685,1692245061357,1692245072185,1693217336525,10840,10828,12
60,1693217336533,1692245072202,1692245082920,1693217347294,10761,10718,43
61,1693217347294,1692245082964,1692245093684,1693217358021,10727,10720,7
62,1693217358021,1692245093690,1692245104412,1693217368795,10774,10722,52
