request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693211740182,1692239475863,1692239486703,1693211751130,10948,10840,108
2,1693211751130,1692239486740,1692239497444,1693211761866,10736,10704,32
3,1693211761866,1692239497477,1692239508186,1693211772654,10788,10709,79
4,1693211772818,1692239508429,1692239519396,1693211783815,10997,10967,30
5,1693211783815,1692239519426,1692239530147,1693211794542,10727,10721,6
6,1693211794542,1692239530153,1692239540855,1693211805251,10709,10702,7
7,1693211805258,1692239540869,1692239551571,1693211815967,10709,10702,7
8,1693211815967,1692239551578,1692239562277,1693211826672,10705,10699,6
9,1693211826673,1692239562284,1692239572984,1693211837379,10706,10700,6
10,1693211837542,1692239573154,1692239584080,1693211848476,10934,10926,8
11,1693211848476,1692239584092,1692239594802,1693211859198,10722,10710,12
12,1693211859198,1692239594810,1692239605510,1693211869905,10707,10700,7
13,1693211869912,1692239605525,1692239616221,1693211880744,10832,10696,136
14,1693211880744,1692239616356,1692239627055,1693211891465,10721,10699,22
15,1693211891465,1692239627077,1692239637778,1693211902173,10708,10701,7
16,1693211902336,1692239637949,1692239648927,1693211913322,10986,10978,8
17,1693211913322,1692239648936,1692239659653,1693211924100,10778,10717,61
18,1693211924100,1692239659712,1692239670409,1693211934816,10716,10697,19
19,1693211934822,1692239670434,1692239681135,1693211945603,10781,10701,80
20,1693211945603,1692239681216,1692239691913,1693211956312,10709,10697,12
21,1693211956312,1692239691925,1692239702620,1693211967015,10703,10695,8
22,1693211967179,1692239702791,1692239713789,1693211978183,11004,10998,6
23,1693211978183,1692239713796,1692239724494,1693211988888,10705,10698,7
24,1693211988888,1692239724501,1692239735203,1693211999672,10784,10702,82
25,1693211999679,1692239735291,1692239745990,1693212010384,10705,10699,6
26,1693212010384,1692239746002,1692239756706,1693212021173,10789,10704,85
27,1693212021173,1692239756786,1692239767490,1693212031885,10712,10704,8
28,1693212032052,1692239767666,1692239778507,1693212042901,10849,10841,8
29,1693212042901,1692239778514,1692239789232,1693212053625,10724,10718,6
30,1693212053625,1692239789247,1692239799946,1693212064382,10757,10699,58
31,1693212064390,1692239800006,1692239810705,1693212075134,10744,10699,45
32,1693212075134,1692239810747,1692239821449,1693212085843,10709,10702,7
33,1693212085843,1692239821457,1692239832160,1693212096638,10795,10703,92
34,1693212096806,1692239832420,1692239843584,1693212108116,11310,11164,146
35,1693212108116,1692239843731,1692239854430,1693212118827,10711,10699,12
36,1693212118827,1692239854442,1692239865142,1693212129535,10708,10700,8
37,1693212129542,1692239865156,1692239875853,1693212140245,10703,10697,6
38,1693212140245,1692239875860,1692239886557,1693212150949,10704,10697,7
39,1693212150949,1692239886564,1692239897261,1693212161761,10812,10697,115
40,1693212161929,1692239897544,1692239908706,1693212173098,11169,11162,7
41,1693212173098,1692239908714,1692239919431,1693212183883,10785,10717,68
42,1693212183883,1692239919499,1692239930198,1693212194590,10707,10699,8
43,1693212194596,1692239930211,1692239940910,1693212205303,10707,10699,8
44,1693212205303,1692239940918,1692239951618,1693212216036,10733,10700,33
45,1693212216036,1692239951653,1692239962355,1693212226747,10711,10702,9
46,1693212226910,1692239962525,1692239973423,1693212237846,10936,10898,38
47,1693212237846,1692239973498,1692239984203,1693212248595,10749,10705,44
48,1693212248595,1692239984210,1692239994910,1693212259301,10706,10700,6
49,1693212259308,1692239994924,1692240005621,1693212270012,10704,10697,7
50,1693212270012,1692240005628,1692240016331,1693212280722,10710,10703,7
51,1693212280722,1692240016338,1692240027040,1693212291431,10709,10702,7
52,1693212291593,1692240027210,1692240038172,1693212302647,11054,10962,92
53,1693212302647,1692240038267,1692240048967,1693212313358,10711,10700,11
54,1693212313358,1692240048974,1692240059675,1693212324065,10707,10701,6
55,1693212324072,1692240059688,1692240070390,1693212334781,10709,10702,7
56,1693212334781,1692240070400,1692240081099,1693212345490,10709,10699,10
57,1693212345490,1692240081108,1692240091806,1693212356196,10706,10698,8
58,1693212356359,1692240091977,1692240103008,1693212367414,11055,11031,24
59,1693212367415,1692240103032,1692240113749,1693212378223,10808,10717,91
60,1693212378223,1692240113841,1692240124538,1693212388928,10705,10697,8
61,1693212388934,1692240124551,1692240135249,1693212399737,10803,10698,105
62,1693212399737,1692240135357,1692240146053,1693212410478,10741,10696,45
63,1693212410478,1692240146101,1692240156797,1693212421186,10708,10696,12
