Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

07:54:20 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:54:21 PM     all      0.76      0.00     54.55      0.00      0.00      0.51      4.04      0.00      0.00     40.15
07:54:22 PM     all      0.25      0.00     39.75      0.00      0.00      0.50      4.25      0.00      0.00     55.25
07:54:23 PM     all      1.25      0.00     39.25      0.00      0.00      0.50      4.25      0.00      0.00     54.75
07:54:24 PM     all      0.50      0.00     46.23      0.00      0.00      0.25      4.02      0.00      0.00     48.99
07:54:25 PM     all      0.75      0.00     39.45      0.00      0.00      0.50      4.77      0.00      0.00     54.52
07:54:26 PM     all      1.01      0.00     39.29      0.00      0.00      0.25      4.03      0.00      0.00     55.42
07:54:27 PM     all      0.50      0.00     39.29      0.00      0.00      0.50      4.28      0.00      0.00     55.42
07:54:28 PM     all      1.26      0.00     38.54      0.00      0.00      0.25      4.28      0.00      0.00     55.67
07:54:29 PM     all      0.50      0.00     40.05      0.00      0.00      0.50      4.23      0.00      0.00     54.73
07:54:30 PM     all      1.27      0.00     31.47      0.00      0.00      0.25      2.79      0.00      0.00     64.21
07:54:31 PM     all      1.50      0.00     36.25      0.00      0.00      0.50      3.25      0.00      0.00     58.50
07:54:32 PM     all      1.26      0.00     45.34      0.00      0.00      0.25      3.78      0.00      0.00     49.37
07:54:33 PM     all      0.76      0.00     40.91      0.00      0.00      0.51      4.29      0.00      0.00     53.54
07:54:34 PM     all      0.76      0.00     38.89      0.00      0.00      0.25      4.29      0.00      0.00     55.81
07:54:35 PM     all      0.76      0.00     38.54      0.25      0.00      0.50      4.28      0.00      0.00     55.67
07:54:36 PM     all      0.76      0.00     38.58      0.00      0.00      0.25      4.31      0.00      0.00     56.09
07:54:37 PM     all      1.01      0.00     39.20      0.00      0.00      0.50      4.27      0.00      0.00     55.03
07:54:38 PM     all      0.75      0.00     39.35      0.00      0.00      0.25      4.26      0.00      0.00     55.39
07:54:39 PM     all      1.00      0.00     39.25      0.00      0.00      0.50      4.25      0.00      0.00     55.00
07:54:40 PM     all      0.76      0.00     39.29      0.00      0.00      0.25      4.28      0.00      0.00     55.42
07:54:41 PM     all      1.00      0.00     27.68      0.00      0.00      0.50      1.75      0.00      0.00     69.08
07:54:42 PM     all      1.26      0.00     42.57      0.00      0.00      0.25      4.53      0.00      0.00     51.39
07:54:43 PM     all      1.26      0.00     45.48      0.00      0.00      0.50      3.77      0.00      0.00     48.99
07:54:44 PM     all      0.75      0.00     46.00      0.00      0.00      0.50      4.00      0.00      0.00     48.75
07:54:45 PM     all      0.76      0.00     40.05      0.25      0.00      0.50      4.79      0.00      0.00     53.65
07:54:46 PM     all      1.26      0.00     39.70      0.00      0.00      0.25      4.27      0.00      0.00     54.52
07:54:47 PM     all      1.26      0.00     39.70      0.00      0.00      0.50      4.27      0.00      0.00     54.27
07:54:48 PM     all      1.01      0.00     39.65      0.00      0.00      0.25      4.29      0.00      0.00     54.80
07:54:49 PM     all      0.75      0.00     39.85      0.00      0.00      0.50      4.26      0.00      0.00     54.64
07:54:50 PM     all      0.76      0.00     40.30      0.00      0.00      0.25      4.28      0.00      0.00     54.41
07:54:51 PM     all      1.51      0.00     40.81      0.00      0.00      0.50      4.03      0.00      0.00     53.15
07:54:52 PM     all     41.00      0.00     19.75      0.00      0.00      0.50      0.50      0.00      0.00     38.25
07:54:53 PM     all     76.06      0.00     20.20      0.00      0.00      0.25      3.49      0.00      0.00      0.00
07:54:54 PM     all     64.41      0.00     30.08      0.00      0.00      0.25      4.26      0.00      0.00      1.00
07:54:55 PM     all     75.25      0.00     20.25      0.00      0.00      0.50      4.00      0.00      0.00      0.00
07:54:56 PM     all     68.09      0.00     27.39      0.00      0.00      0.25      3.52      0.00      0.00      0.75
07:54:57 PM     all     76.94      0.00     19.55      0.00      0.00      0.50      3.01      0.00      0.00      0.00
07:54:58 PM     all     71.00      0.00     24.75      0.00      0.00      0.50      3.50      0.00      0.00      0.25
07:54:59 PM     all     74.69      0.00     21.05      0.00      0.00      0.50      3.76      0.00      0.00      0.00
07:55:00 PM     all     67.91      0.00     26.12      0.00      0.00      0.50      3.73      0.00      0.00      1.74
07:55:01 PM     all     74.75      0.00     21.00      0.00      0.00      0.25      4.00      0.00      0.00      0.00
07:55:02 PM     all     71.50      0.00     23.75      0.00      0.00      0.25      4.00      0.00      0.00      0.50
07:55:03 PM     all     82.00      0.00     16.25      0.00      0.00      0.75      0.75      0.00      0.00      0.25
07:55:04 PM     all     65.66      0.00     28.28      0.00      0.00      0.25      3.03      0.00      0.00      2.78
07:55:05 PM     all     72.64      0.00     23.13      0.00      0.00      0.50      3.73      0.00      0.00      0.00
07:55:06 PM     all     65.42      0.00     26.87      0.00      0.00      0.50      3.98      0.00      0.00      3.23
07:55:07 PM     all     73.43      0.00     22.31      0.00      0.00      0.25      4.01      0.00      0.00      0.00
07:55:08 PM     all     69.33      0.00     25.44      0.00      0.00      0.50      3.74      0.00      0.00      1.00
07:55:09 PM     all     75.31      0.00     20.95      0.00      0.00      0.50      3.24      0.00      0.00      0.00
07:55:10 PM     all     68.67      0.00     26.57      0.00      0.00      0.50      3.76      0.00      0.00      0.50
07:55:11 PM     all     69.17      0.00     25.81      0.00      0.00      0.50      3.76      0.00      0.00      0.75
07:55:12 PM     all     74.25      0.00     21.75      0.00      0.00      0.25      3.75      0.00      0.00      0.00
07:55:13 PM     all     73.75      0.00     21.75      0.00      0.00      0.50      3.75      0.00      0.00      0.25
07:55:14 PM     all     74.75      0.00     17.50      0.00      0.00      0.50      1.00      0.00      0.00      6.25
07:55:15 PM     all     74.50      0.00     21.25      0.00      0.00      0.50      3.00      0.00      0.00      0.75
07:55:16 PM     all     71.86      0.00     23.87      0.00      0.00      0.25      3.77      0.00      0.00      0.25
07:55:17 PM     all     75.25      0.00     20.50      0.00      0.00      0.75      3.50      0.00      0.00      0.00
07:55:18 PM     all     67.58      0.00     25.19      0.00      0.00      0.25      3.74      0.00      0.00      3.24
07:55:19 PM     all     75.44      0.00     20.05      0.00      0.00      0.50      4.01      0.00      0.00      0.00
07:55:20 PM     all     69.92      0.00     24.56      0.00      0.00      0.25      4.51      0.00      0.00      0.75
07:55:21 PM     all     74.69      0.00     21.30      0.00      0.00      0.25      3.76      0.00      0.00      0.00
07:55:22 PM     all     47.12      0.00     30.58      0.00      0.00      0.25      4.76      0.00      0.00     17.29
07:55:23 PM     all      0.74      0.00     45.41      0.00      0.00      0.50      3.72      0.00      0.00     49.63
07:55:24 PM     all      1.50      0.00     45.39      0.00      0.00      0.50      3.99      0.00      0.00     48.63
07:55:25 PM     all      1.75      0.00     25.75      0.00      0.00      0.50      1.75      0.00      0.00     70.25
07:55:26 PM     all      0.75      0.00     45.25      0.00      0.00      0.25      4.50      0.00      0.00     49.25
07:55:27 PM     all      0.49      0.00     45.68      0.00      0.00      0.49      4.44      0.00      0.00     48.89
07:55:28 PM     all      1.25      0.00     40.10      0.00      0.00      0.00      6.27      0.00      0.00     52.38
07:55:29 PM     all      1.25      0.00     40.10      0.00      0.00      0.25      6.02      0.00      0.00     52.38
07:55:30 PM     all      0.75      0.00     45.50      0.25      0.00      0.50      4.25      0.00      0.00     48.75
07:55:31 PM     all      1.00      0.00     46.13      0.00      0.00      0.50      3.99      0.00      0.00     48.38
07:55:32 PM     all      0.75      0.00     46.63      0.00      0.00      0.50      3.74      0.00      0.00     48.38
07:55:33 PM     all      1.00      0.00     46.52      0.00      0.00      0.50      3.98      0.00      0.00     48.01
07:55:34 PM     all      0.75      0.00     46.77      0.00      0.00      0.50      3.98      0.00      0.00     48.01
07:55:35 PM     all      0.75      0.00     42.79      0.00      0.00      0.50      3.48      0.00      0.00     52.49
07:55:36 PM     all      1.99      0.00     31.02      0.00      0.00      0.25      2.48      0.00      0.00     64.27
07:55:37 PM     all      1.24      0.00     46.40      0.00      0.00      0.50      3.72      0.00      0.00     48.14
07:55:38 PM     all      0.99      0.00     46.80      0.00      0.00      0.49      3.94      0.00      0.00     47.78
07:55:39 PM     all      0.99      0.00     47.16      0.00      0.00      0.49      3.70      0.00      0.00     47.65
07:55:40 PM     all      0.74      0.00     47.16      0.25      0.00      0.49      3.70      0.00      0.00     47.65
07:55:41 PM     all      0.99      0.00     46.80      0.00      0.00      0.49      3.94      0.00      0.00     47.78
07:55:42 PM     all      0.99      0.00     47.16      0.00      0.00      0.49      3.70      0.00      0.00     47.65
07:55:43 PM     all      0.74      0.00     47.29      0.00      0.00      0.49      3.69      0.00      0.00     47.78
07:55:44 PM     all      0.99      0.00     46.91      0.00      0.00      0.25      3.95      0.00      0.00     47.90
07:55:45 PM     all      0.99      0.00     46.78      0.00      0.00      0.74      3.71      0.00      0.00     47.77
07:55:46 PM     all      1.74      0.00     36.07      0.00      0.00      0.50      2.49      0.00      0.00     59.20
07:55:47 PM     all      1.50      0.00     36.75      0.00      0.00      0.25      3.50      0.00      0.00     58.00
07:55:48 PM     all      0.49      0.00     47.29      0.00      0.00      0.49      3.94      0.00      0.00     47.78
07:55:49 PM     all      1.24      0.00     46.65      0.00      0.00      0.50      3.72      0.00      0.00     47.89
07:55:50 PM     all      0.75      0.00     46.52      0.25      0.00      0.50      3.98      0.00      0.00     48.01
07:55:51 PM     all      0.75      0.00     46.88      0.00      0.00      0.50      3.74      0.00      0.00     48.13
07:55:52 PM     all      1.24      0.00     46.27      0.00      0.00      0.50      3.73      0.00      0.00     48.26
07:55:53 PM     all      0.75      0.00     46.50      0.00      0.00      0.50      3.75      0.00      0.00     48.50
07:55:54 PM     all      0.99      0.00     46.53      0.00      0.00      0.50      3.96      0.00      0.00     48.02
07:55:55 PM     all      0.75      0.00     47.01      0.00      0.00      0.50      3.73      0.00      0.00     48.01
07:55:56 PM     all      1.49      0.00     46.15      0.00      0.00      0.50      3.72      0.00      0.00     48.14
07:55:57 PM     all     18.30      0.00     29.07      0.00      0.00      0.50      1.50      0.00      0.00     50.63
07:55:58 PM     all     82.25      0.00     15.25      0.00      0.00      0.25      2.25      0.00      0.00      0.00
07:55:59 PM     all     71.50      0.00     23.75      0.00      0.00      0.50      3.75      0.00      0.00      0.50
