Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

08:29:34 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
08:29:35 PM     all      1.50      0.00     59.35      0.00      0.00      0.50      3.74      0.00      0.00     34.91
08:29:36 PM     all      0.50      0.00     46.88      0.00      0.00      0.50      3.74      0.00      0.00     48.38
08:29:37 PM     all      1.00      0.00     46.63      0.00      0.00      0.50      3.74      0.00      0.00     48.13
08:29:38 PM     all      0.99      0.00     46.67      0.00      0.00      0.49      3.95      0.00      0.00     47.90
08:29:39 PM     all      1.25      0.00     43.36      0.25      0.00      0.25      4.76      0.00      0.00     50.13
08:29:40 PM     all      1.99      0.00     40.69      0.00      0.00      0.50      3.97      0.00      0.00     52.85
08:29:41 PM     all      2.48      0.00     38.21      0.00      0.00      0.25      4.22      0.00      0.00     54.84
08:29:42 PM     all      1.50      0.00     38.65      0.00      0.00      0.50      4.24      0.00      0.00     55.11
08:29:43 PM     all      1.98      0.00     38.86      0.00      0.00      0.50      4.21      0.00      0.00     54.46
08:29:44 PM     all      2.74      0.00     32.84      0.00      0.00      0.25      2.74      0.00      0.00     61.44
08:29:45 PM     all      2.25      0.00     34.50      0.00      0.00      0.25      3.25      0.00      0.00     59.75
08:29:46 PM     all      2.23      0.00     40.84      0.00      0.00      0.50      4.21      0.00      0.00     52.23
08:29:47 PM     all      1.49      0.00     38.96      0.00      0.00      0.50      4.22      0.00      0.00     54.84
08:29:48 PM     all      1.25      0.00     39.00      0.00      0.00      0.25      4.25      0.00      0.00     55.25
08:29:49 PM     all      1.25      0.00     38.75      0.25      0.00      0.50      4.25      0.00      0.00     55.00
08:29:50 PM     all      1.01      0.00     38.54      0.00      0.00      0.25      4.28      0.00      0.00     55.92
08:29:51 PM     all      1.50      0.00     39.00      0.00      0.00      0.50      4.25      0.00      0.00     54.75
08:29:52 PM     all      0.75      0.00     39.20      0.00      0.00      0.25      4.27      0.00      0.00     55.53
08:29:53 PM     all      1.25      0.00     38.75      0.00      0.00      0.50      4.25      0.00      0.00     55.25
08:29:54 PM     all      0.75      0.00     39.85      0.00      0.00      0.25      4.01      0.00      0.00     55.14
08:29:55 PM     all      1.25      0.00     28.18      0.00      0.00      0.50      2.00      0.00      0.00     68.08
08:29:56 PM     all      1.25      0.00     37.25      0.00      0.00      0.25      5.50      0.00      0.00     55.75
08:29:57 PM     all      1.00      0.00     40.65      0.00      0.00      0.00      5.99      0.00      0.00     52.37
08:29:58 PM     all      1.01      0.00     45.98      0.00      0.00      0.50      4.02      0.00      0.00     48.49
08:29:59 PM     all      1.74      0.00     46.02      0.00      0.00      0.50      3.73      0.00      0.00     48.01
08:30:00 PM     all      1.50      0.00     45.61      0.00      0.00      0.50      4.01      0.00      0.00     48.37
08:30:01 PM     all      3.25      0.00     46.50      0.00      0.00      0.50      4.00      0.00      0.00     45.75
08:30:02 PM     all      1.75      0.00     45.36      0.00      0.00      0.50      4.01      0.00      0.00     48.37
08:30:03 PM     all      1.50      0.00     45.50      0.00      0.00      0.50      4.00      0.00      0.00     48.50
08:30:04 PM     all      2.23      0.00     45.16      0.25      0.00      0.50      3.97      0.00      0.00     47.89
08:30:05 PM     all      2.01      0.00     45.36      0.00      0.00      0.50      3.76      0.00      0.00     48.37
08:30:06 PM     all      1.25      0.00     53.13      0.00      0.00      0.50      0.75      0.00      0.00     44.36
08:30:07 PM     all      0.74      0.00     95.04      1.49      0.00      0.50      0.25      0.00      0.00      1.99
08:30:08 PM     all      1.24      0.00     92.79      2.49      0.00      0.50      1.00      0.00      0.00      1.99
08:30:09 PM     all      0.25      0.00     97.24      0.75      0.00      0.25      0.75      0.00      0.00      0.75
08:30:10 PM     all      1.00      0.00     95.74      1.00      0.00      0.50      0.75      0.00      0.00      1.00
08:30:11 PM     all      0.50      0.00     95.76      1.25      0.00      0.50      1.00      0.00      0.00      1.00
08:30:12 PM     all      0.25      0.00     96.25      1.25      0.00      0.50      0.75      0.00      0.00      1.00
08:30:13 PM     all      0.50      0.00     97.00      0.75      0.00      0.25      0.75      0.00      0.00      0.75
08:30:14 PM     all      0.25      0.00     95.31      1.23      0.00      0.49      0.99      0.00      0.00      1.73
