request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693215237539,1692242973256,1692242983976,1693215248345,10806,10720,86
2,1693215248345,1692242984011,1692242994717,1693215259095,10750,10706,44
3,1693215259095,1692242994742,1692243005448,1693215269843,10748,10706,42
4,1693215270008,1692243005655,1692243018632,1693215283001,12993,12977,16
5,1693215283001,1692243018677,1692243032216,1693215296578,13577,13539,38
6,1693215296578,1692243032227,1692243044060,1693215308419,11841,11833,8
7,1693215308425,1692243044072,1692243054775,1693215319135,10710,10703,7
8,1693215319135,1692243054784,1692243065491,1693215329955,10820,10707,113
9,1693215329955,1692243065603,1692243076311,1693215340705,10750,10708,42
10,1693215340871,1692243076519,1692243088823,1693215353194,12323,12304,19
11,1693215353194,1692243088858,1692243102882,1693215367240,14046,14024,22
12,1693215367240,1692243102892,1692243115472,1693215379925,12685,12580,105
13,1693215379932,1692243115581,1692243126288,1693215390682,10750,10707,43
14,1693215390682,1692243126331,1692243137041,1693215401428,10746,10710,36
15,1693215401428,1692243137077,1692243147785,1693215412143,10715,10708,7
16,1693215412307,1692243147956,1692243161161,1693215425519,13212,13205,7
17,1693215425519,1692243161167,1692243174256,1693215438614,13095,13089,6
18,1693215438614,1692243174263,1692243185790,1693215450148,11534,11527,7
19,1693215450154,1692243185803,1692243196510,1693215460868,10714,10707,7
20,1693215460868,1692243196517,1692243207225,1693215471583,10715,10708,7
21,1693215471583,1692243207233,1692243217941,1693215482299,10716,10708,8
22,1693215482463,1692243218113,1692243230499,1693215494856,12393,12386,7
23,1693215494856,1692243230506,1692243242799,1693215507157,12301,12293,8
24,1693215507157,1692243242813,1692243254997,1693215519359,12202,12184,18
25,1693215519365,1692243255015,1692243265721,1693215530081,10716,10706,10
26,1693215530081,1692243265731,1692243276437,1693215540809,10728,10706,22
27,1693215540809,1692243276459,1692243287164,1693215551542,10733,10705,28
28,1693215551708,1692243287358,1692243299950,1693215564308,12600,12592,8
29,1693215564308,1692243299969,1692243313586,1693215577962,13654,13617,37
30,1693215577962,1692243313614,1692243326112,1693215590469,12507,12498,9
31,1693215590476,1692243326126,1692243336832,1693215601188,10712,10706,6
32,1693215601188,1692243336839,1692243347544,1693215611900,10712,10705,7
33,1693215611900,1692243347551,1692243358256,1693215622612,10712,10705,7
34,1693215622775,1692243358427,1692243371776,1693215636226,13451,13349,102
35,1693215636226,1692243371877,1692243384804,1693215649160,12934,12927,7
36,1693215649160,1692243384811,1692243396784,1693215661140,11980,11973,7
37,1693215661147,1692243396798,1692243407505,1693215671963,10816,10707,109
38,1693215671963,1692243407615,1692243418321,1693215682677,10714,10706,8
39,1693215682677,1692243418328,1692243429037,1693215693393,10716,10709,7
40,1693215693558,1692243429210,1692243442256,1693215706675,13117,13046,71
41,1693215706676,1692243442327,1692243454970,1693215719326,12650,12643,7
42,1693215719326,1692243454978,1692243467024,1693215731454,12128,12046,82
43,1693215731464,1692243467117,1692243477825,1693215742180,10716,10708,8
44,1693215742180,1692243477832,1692243488536,1693215752956,10776,10704,72
45,1693215752956,1692243488610,1692243499316,1693215763708,10752,10706,46
46,1693215763872,1692243499525,1692243513447,1693215777845,13973,13922,51
47,1693215777845,1692243513499,1692243526926,1693215791280,13435,13427,8
48,1693215791280,1692243526942,1692243539153,1693215803508,12228,12211,17
49,1693215803515,1692243539168,1692243549878,1693215814312,10797,10710,87
50,1693215814312,1692243549969,1692243560672,1693215825025,10713,10703,10
51,1693215825026,1692243560679,1692243571383,1693215835799,10773,10704,69
52,1693215835963,1692243571617,1692243584309,1693215848702,12739,12692,47
53,1693215848702,1692243584361,1692243598068,1693215862434,13732,13707,25
54,1693215862434,1692243598103,1692243610225,1693215874599,12165,12122,43
55,1693215874606,1692243610259,1692243620965,1693215885318,10712,10706,6
56,1693215885318,1692243620972,1692243631675,1693215896111,10793,10703,90
57,1693215896112,1692243631766,1692243642468,1693215906821,10709,10702,7
58,1693215906986,1692243642640,1692243656706,1693215921101,14115,14066,49
59,1693215921101,1692243656761,1692243671048,1693215935401,14300,14287,13
60,1693215935401,1692243671065,1692243683445,1693215947823,12422,12380,42
61,1693215947830,1692243683491,1692243694197,1693215958549,10719,10706,13
62,1693215958549,1692243694204,1692243704907,1693215969259,10710,10703,7
63,1693215969259,1692243704914,1692243715616,1693215979985,10726,10702,24
