request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693213819375,1692241555156,1692241565872,1693213830247,10872,10716,156
2,1693213830247,1692241565880,1692241576583,1693213840959,10712,10703,9
3,1693213840959,1692241576592,1692241587290,1693213851687,10728,10698,30
4,1693213851863,1692241587496,1692241598942,1693213863320,11457,11446,11
5,1693213863320,1692241598972,1692241610695,1693213875089,11769,11723,46
6,1693213875089,1692241610747,1692241621755,1693213886142,11053,11008,45
7,1693213886148,1692241621781,1692241632486,1693213896861,10713,10705,8
8,1693213896861,1692241632494,1692241643195,1693213907575,10714,10701,13
9,1693213907575,1692241643209,1692241653912,1693213918286,10711,10703,8
10,1693213918510,1692241654161,1692241665234,1693213929608,11098,11073,25
11,1693213929608,1692241665242,1692241676519,1693213940944,11336,11277,59
12,1693213940944,1692241676587,1692241687607,1693213951983,11039,11020,19
13,1693213951988,1692241687622,1692241698328,1693213962702,10714,10706,8
14,1693213962702,1692241698341,1692241709042,1693213973416,10714,10701,13
15,1693213973416,1692241709050,1692241719751,1693213984142,10726,10701,25
16,1693213984308,1692241719943,1692241731422,1693213995809,11501,11479,22
17,1693213995809,1692241731444,1692241742990,1693214007363,11554,11546,8
18,1693214007363,1692241743031,1692241754329,1693214018702,11339,11298,41
19,1693214018712,1692241754349,1692241765052,1693214029425,10713,10703,10
20,1693214029425,1692241765059,1692241775760,1693214040154,10729,10701,28
21,1693214040154,1692241775789,1692241786490,1693214050866,10712,10701,11
22,1693214051029,1692241786664,1692241798018,1693214062443,11414,11354,60
23,1693214062443,1692241798079,1692241809731,1693214074147,11704,11652,52
24,1693214074147,1692241809783,1692241821090,1693214085514,11367,11307,60
25,1693214085549,1692241821183,1692241831888,1693214096261,10712,10705,7
26,1693214096261,1692241831896,1692241842600,1693214106972,10711,10704,7
27,1693214106972,1692241842608,1692241853307,1693214117679,10707,10699,8
28,1693214117844,1692241853480,1692241864900,1693214129273,11429,11420,9
29,1693214129273,1692241864910,1692241876299,1693214140818,11545,11389,156
30,1693214140818,1692241876578,1692241887825,1693214152196,11378,11247,131
31,1693214152203,1692241887842,1692241898543,1693214162915,10712,10701,11
32,1693214162915,1692241898562,1692241909263,1693214173637,10722,10701,21
33,1693214173637,1692241909314,1692241920015,1693214184386,10749,10701,48
34,1693214184551,1692241920188,1692241931336,1693214195709,11158,11148,10
35,1693214195709,1692241931347,1692241942748,1693214207121,11412,11401,11
36,1693214207121,1692241942758,1692241953935,1693214218306,11185,11177,8
37,1693214218312,1692241953948,1692241964647,1693214229018,10706,10699,7
38,1693214229018,1692241964655,1692241975356,1693214239727,10709,10701,8
39,1693214239727,1692241975363,1692241986063,1693214250439,10712,10700,12
40,1693214250618,1692241986255,1692241997553,1693214261925,11307,11298,9
41,1693214261925,1692241997565,1692242009377,1693214273749,11824,11812,12
42,1693214273749,1692242009388,1692242020631,1693214285002,11253,11243,10
43,1693214285008,1692242020645,1692242031346,1693214295716,10708,10701,7
44,1693214295716,1692242031353,1692242042055,1693214306478,10762,10702,60
45,1693214306478,1692242042115,1692242052816,1693214317191,10713,10701,12
46,1693214317354,1692242052998,1692242064425,1693214328796,11442,11427,15
47,1693214328796,1692242064436,1692242076170,1693214340542,11746,11734,12
48,1693214340542,1692242076181,1692242087571,1693214351940,11398,11390,8
49,1693214351949,1692242087600,1692242098301,1693214362673,10724,10701,23
50,1693214362673,1692242098311,1692242109013,1693214373382,10709,10702,7
51,1693214373382,1692242109020,1692242119722,1693214384106,10724,10702,22
52,1693214384270,1692242119908,1692242131029,1693214395463,11193,11121,72
53,1693214395463,1692242131106,1692242142888,1693214407270,11807,11782,25
54,1693214407271,1692242142922,1692242154387,1693214418756,11485,11465,20
55,1693214418762,1692242154401,1692242165103,1693214429512,10750,10702,48
56,1693214429512,1692242165151,1692242175851,1693214440219,10707,10700,7
57,1693214440219,1692242175858,1692242186560,1693214450928,10709,10702,7
58,1693214451096,1692242186747,1692242198178,1693214462552,11456,11431,25
59,1693214462552,1692242198194,1692242209842,1693214474213,11661,11648,13
60,1693214474213,1692242209856,1692242221152,1693214485520,11307,11296,11
61,1693214485526,1692242221198,1692242231900,1693214496269,10743,10702,41
62,1693214496269,1692242231907,1692242242609,1693214506982,10713,10702,11
63,1693214506982,1692242242622,1692242253321,1693214517689,10707,10699,8
