Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

08:17:44 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
08:17:45 PM     all      1.76      0.00     53.90      0.00      0.00      0.50      4.28      0.00      0.00     39.55
08:17:46 PM     all      1.73      0.00     39.36      0.00      0.00      0.50      4.21      0.00      0.00     54.21
08:17:47 PM     all      0.50      0.00     39.80      0.00      0.00      0.25      4.28      0.00      0.00     55.16
08:17:48 PM     all      0.75      0.00     39.50      0.00      0.00      0.50      4.25      0.00      0.00     55.00
08:17:49 PM     all      0.75      0.00     46.12      0.25      0.00      0.25      3.76      0.00      0.00     48.87
08:17:50 PM     all      0.75      0.00     41.00      0.00      0.00      0.75      4.25      0.00      0.00     53.25
08:17:51 PM     all      1.01      0.00     39.65      0.00      0.00      0.25      4.29      0.00      0.00     54.80
08:17:52 PM     all      0.25      0.00     40.30      0.00      0.00      0.50      4.23      0.00      0.00     54.73
08:17:53 PM     all      1.01      0.00     39.70      0.00      0.00      0.25      4.02      0.00      0.00     55.03
08:17:54 PM     all      1.25      0.00     32.08      0.00      0.00      0.50      3.01      0.00      0.00     63.16
08:17:55 PM     all      1.76      0.00     34.26      0.00      0.00      0.25      2.52      0.00      0.00     61.21
08:17:56 PM     all      0.75      0.00     38.85      0.00      0.00      0.50      4.26      0.00      0.00     55.64
08:17:57 PM     all      0.76      0.00     38.64      0.00      0.00      0.25      4.29      0.00      0.00     56.06
08:17:58 PM     all      0.75      0.00     39.55      0.00      0.00      0.50      4.23      0.00      0.00     54.98
08:17:59 PM     all      1.01      0.00     38.94      0.25      0.00      0.25      4.27      0.00      0.00     55.28
08:18:00 PM     all      2.74      0.00     39.40      0.00      0.00      0.50      4.24      0.00      0.00     53.12
08:18:01 PM     all      1.26      0.00     38.69      0.00      0.00      0.25      4.27      0.00      0.00     55.53
08:18:02 PM     all      0.76      0.00     38.64      0.00      0.00      0.51      4.29      0.00      0.00     55.81
08:18:03 PM     all      1.26      0.00     38.38      0.00      0.00      0.25      4.29      0.00      0.00     55.81
08:18:04 PM     all      1.00      0.00     41.35      0.00      0.00      0.50      4.01      0.00      0.00     53.13
08:18:05 PM     all      1.01      0.00     28.14      0.00      0.00      0.25      2.01      0.00      0.00     68.59
08:18:06 PM     all      0.76      0.00     36.46      0.00      0.00      0.51      4.05      0.00      0.00     58.23
08:18:07 PM     all      0.51      0.00     38.99      0.00      0.00      0.25      4.30      0.00      0.00     55.95
08:18:08 PM     all      1.26      0.00     38.69      0.00      0.00      0.50      4.02      0.00      0.00     55.53
08:18:09 PM     all      1.51      0.00     38.04      0.25      0.00      0.25      4.28      0.00      0.00     55.67
08:18:10 PM     all      1.01      0.00     38.54      0.00      0.00      0.50      4.28      0.00      0.00     55.67
08:18:11 PM     all      1.01      0.00     38.48      0.00      0.00      0.25      4.30      0.00      0.00     55.95
08:18:12 PM     all      0.50      0.00     39.10      0.00      0.00      0.50      4.26      0.00      0.00     55.64
08:18:13 PM     all      0.51      0.00     39.39      0.00      0.00      0.25      4.29      0.00      0.00     55.56
08:18:14 PM     all      0.76      0.00     39.29      0.00      0.00      0.50      4.28      0.00      0.00     55.16
08:18:15 PM     all      1.25      0.00     39.00      0.00      0.00      0.25      4.25      0.00      0.00     55.25
08:18:16 PM     all     30.46      0.00     24.87      0.00      0.00      0.51      0.76      0.00      0.00     43.40
08:18:17 PM     all     67.16      0.00     29.35      0.00      0.00      0.75      2.74      0.00      0.00      0.00
08:18:18 PM     all     65.66      0.00     30.58      0.00      0.00      0.50      3.26      0.00      0.00      0.00
08:18:19 PM     all     66.50      0.00     29.25      0.00      0.00      0.75      3.50      0.00      0.00      0.00
08:18:20 PM     all     76.25      0.00     20.00      0.00      0.00      0.75      3.00      0.00      0.00      0.00
08:18:21 PM     all     73.07      0.00     22.44      0.00      0.00      0.50      3.99      0.00      0.00      0.00
08:18:22 PM     all     62.41      0.00     33.08      0.00      0.00      0.75      3.76      0.00      0.00      0.00
08:18:23 PM     all     70.00      0.00     26.25      0.00      0.00      0.50      3.25      0.00      0.00      0.00
08:18:24 PM     all     75.75      0.00     20.25      0.00      0.00      0.75      3.25      0.00      0.00      0.00
08:18:25 PM     all     76.44      0.00     19.55      0.00      0.00      0.75      3.26      0.00      0.00      0.00
08:18:26 PM     all     75.87      0.00     20.15      0.00      0.00      0.75      3.23      0.00      0.00      0.00
08:18:27 PM     all     82.34      0.00     15.42      0.00      0.00      0.75      1.49      0.00      0.00      0.00
08:18:28 PM     all     85.21      0.00     13.78      0.00      0.00      0.75      0.25      0.00      0.00      0.00
08:18:29 PM     all     76.69      0.00     19.05      0.00      0.00      0.75      3.51      0.00      0.00      0.00
08:18:30 PM     all     74.75      0.00     21.25      0.00      0.00      0.75      3.25      0.00      0.00      0.00
08:18:31 PM     all     75.31      0.00     20.20      0.00      0.00      0.75      3.74      0.00      0.00      0.00
08:18:32 PM     all     75.25      0.00     20.75      0.00      0.00      0.75      3.25      0.00      0.00      0.00
08:18:33 PM     all     75.44      0.00     20.80      0.00      0.00      0.50      3.26      0.00      0.00      0.00
08:18:34 PM     all     74.81      0.00     21.20      0.00      0.00      1.00      2.99      0.00      0.00      0.00
08:18:35 PM     all     73.68      0.00     22.56      0.00      0.00      0.50      3.26      0.00      0.00      0.00
08:18:36 PM     all     74.25      0.00     21.75      0.00      0.00      0.75      3.25      0.00      0.00      0.00
08:18:37 PM     all     74.75      0.00     21.75      0.00      0.00      0.75      2.75      0.00      0.00      0.00
08:18:38 PM     all     76.00      0.00     20.00      0.00      0.00      0.75      3.25      0.00      0.00      0.00
08:18:39 PM     all     85.75      0.00     13.25      0.00      0.00      0.75      0.25      0.00      0.00      0.00
08:18:40 PM     all     81.00      0.00     16.00      0.00      0.00      0.75      2.25      0.00      0.00      0.00
08:18:41 PM     all     74.75      0.00     20.75      0.00      0.00      0.75      3.75      0.00      0.00      0.00
08:18:42 PM     all     74.81      0.00     20.45      0.00      0.00      0.75      3.99      0.00      0.00      0.00
08:18:43 PM     all     75.69      0.00     20.05      0.00      0.00      0.50      3.76      0.00      0.00      0.00
08:18:44 PM     all     76.50      0.00     19.25      0.00      0.00      0.75      3.50      0.00      0.00      0.00
08:18:45 PM     all     75.31      0.00     20.20      0.00      0.00      0.75      3.74      0.00      0.00      0.00
08:18:46 PM     all     45.61      0.00     29.57      0.00      0.00      0.50      4.01      0.00      0.00     20.30
08:18:47 PM     all      0.76      0.00     39.55      0.00      0.00      0.50      4.28      0.00      0.00     54.91
08:18:48 PM     all      0.75      0.00     39.95      0.00      0.00      0.25      4.27      0.00      0.00     54.77
08:18:49 PM     all      0.51      0.00     39.75      0.00      0.00      0.51      4.30      0.00      0.00     54.94
08:18:50 PM     all      1.01      0.00     30.81      0.00      0.00      0.25      2.27      0.00      0.00     65.66
08:18:51 PM     all      1.52      0.00     37.12      0.00      0.00      0.51      4.29      0.00      0.00     56.57
08:18:52 PM     all      1.01      0.00     44.08      0.00      0.00      0.50      4.03      0.00      0.00     50.38
08:18:53 PM     all      0.51      0.00     39.75      0.00      0.00      0.25      4.30      0.00      0.00     55.19
08:18:54 PM     all      0.75      0.00     39.70      0.25      0.00      0.50      4.27      0.00      0.00     54.52
08:18:55 PM     all      1.26      0.00     39.39      0.00      0.00      0.25      4.04      0.00      0.00     55.05
08:18:56 PM     all      1.00      0.00     39.50      0.00      0.00      0.50      4.25      0.00      0.00     54.75
08:18:57 PM     all      1.77      0.00     38.89      0.00      0.00      0.25      4.29      0.00      0.00     54.80
08:18:58 PM     all      1.00      0.00     39.90      0.00      0.00      0.50      4.24      0.00      0.00     54.36
08:18:59 PM     all      0.75      0.00     40.60      0.00      0.00      0.25      4.26      0.00      0.00     54.14
08:19:00 PM     all      2.76      0.00     40.10      0.00      0.00      0.50      4.26      0.00      0.00     52.38
08:19:01 PM     all      1.78      0.00     24.94      0.00      0.00      0.25      1.78      0.00      0.00     71.25
08:19:02 PM     all      0.77      0.00     42.35      0.00      0.00      0.26      5.36      0.00      0.00     51.28
08:19:03 PM     all      1.27      0.00     39.34      0.00      0.00      0.25      6.09      0.00      0.00     53.05
08:19:04 PM     all      2.01      0.00     44.36      0.00      0.00      0.50      4.26      0.00      0.00     48.87
08:19:05 PM     all      0.76      0.00     45.84      0.00      0.00      0.50      4.03      0.00      0.00     48.87
08:19:06 PM     all      1.25      0.00     45.61      0.00      0.00      0.50      4.01      0.00      0.00     48.62
08:19:07 PM     all      0.75      0.00     46.23      0.00      0.00      0.50      3.77      0.00      0.00     48.74
08:19:08 PM     all      0.50      0.00     46.35      0.00      0.00      0.50      4.03      0.00      0.00     48.61
08:19:09 PM     all      0.51      0.00     46.46      0.00      0.00      0.25      3.79      0.00      0.00     48.99
08:19:10 PM     all      0.76      0.00     45.09      0.00      0.00      0.50      4.28      0.00      0.00     49.37
08:19:11 PM     all      1.01      0.00     36.78      0.00      0.00      0.25      5.54      0.00      0.00     56.42
08:19:12 PM     all      2.26      0.00     26.38      0.00      0.00      0.25      2.01      0.00      0.00     69.10
08:19:13 PM     all      0.76      0.00     45.84      0.00      0.00      0.50      3.78      0.00      0.00     49.12
08:19:14 PM     all      1.25      0.00     40.60      0.25      0.00      0.25      6.02      0.00      0.00     51.63
08:19:15 PM     all      1.01      0.00     45.84      0.00      0.00      0.50      3.78      0.00      0.00     48.87
08:19:16 PM     all      1.51      0.00     44.72      0.00      0.00      0.50      4.02      0.00      0.00     49.25
08:19:17 PM     all      1.01      0.00     39.70      0.00      0.00      0.25      4.27      0.00      0.00     54.77
08:19:18 PM     all      1.01      0.00     39.29      0.00      0.00      0.50      4.28      0.00      0.00     54.91
08:19:19 PM     all      0.51      0.00     40.15      0.00      0.00      0.25      4.29      0.00      0.00     54.80
08:19:20 PM     all      0.51      0.00     44.19      0.00      0.00      0.51      3.79      0.00      0.00     51.01
08:19:21 PM     all      0.50      0.00     40.20      0.00      0.00      0.25      4.27      0.00      0.00     54.77
08:19:22 PM     all      1.26      0.00     33.25      0.00      0.00      0.50      3.02      0.00      0.00     61.96
08:19:23 PM     all     51.00      0.00     36.50      0.00      0.00      0.75      0.25      0.00      0.00     11.50
08:19:24 PM     all     67.33      0.00     28.43      0.00      0.00      0.50      3.74      0.00      0.00      0.00
08:19:25 PM     all     65.50      0.00     30.25      0.00      0.00      0.75      3.50      0.00      0.00      0.00
08:19:26 PM     all     63.34      0.00     32.42      0.00      0.00      0.50      3.74      0.00      0.00      0.00
08:19:27 PM     all     57.00      0.00     38.50      0.00      0.00      0.75      3.75      0.00      0.00      0.00
08:19:28 PM     all     52.01      0.00     44.47      0.00      0.00      0.50      3.02      0.00      0.00      0.00
08:19:29 PM     all     71.07      0.00     24.69      0.00      0.00      0.75      3.49      0.00      0.00      0.00
08:19:30 PM     all     73.25      0.00     22.75      0.00      0.00      0.75      3.25      0.00      0.00      0.00
08:19:31 PM     all     73.50      0.00     22.25      0.00      0.00      0.75      3.50      0.00      0.00      0.00
08:19:32 PM     all     73.18      0.00     22.56      0.00      0.00      0.50      3.76      0.00      0.00      0.00
08:19:33 PM     all     74.88      0.00     20.40      0.00      0.00      0.75      3.98      0.00      0.00      0.00
08:19:34 PM     all     87.72      0.00     11.28      0.00      0.00      0.75      0.25      0.00      0.00      0.00
08:19:35 PM     all     84.00      0.00     14.00      0.00      0.00      1.00      1.00      0.00      0.00      0.00
08:19:36 PM     all     74.94      0.00     20.55      0.00      0.00      0.50      4.01      0.00      0.00      0.00
08:19:37 PM     all     74.31      0.00     21.20      0.00      0.00      0.75      3.74      0.00      0.00      0.00
08:19:38 PM     all     74.75      0.00     20.50      0.00      0.00      0.75      4.00      0.00      0.00      0.00
08:19:39 PM     all     74.75      0.00     20.75      0.00      0.00      0.75      3.75      0.00      0.00      0.00
08:19:40 PM     all     76.69      0.00     19.55      0.00      0.00      0.50      3.26      0.00      0.00      0.00
08:19:41 PM     all     74.75      0.00     20.50      0.00      0.00      0.75      4.00      0.00      0.00      0.00
08:19:42 PM     all     76.50      0.00     19.50      0.00      0.00      0.75      3.25      0.00      0.00      0.00
08:19:43 PM     all     75.06      0.00     20.70      0.00      0.00      0.75      3.49      0.00      0.00      0.00
08:19:44 PM     all     76.19      0.00     19.80      0.00      0.00      0.75      3.26      0.00      0.00      0.00
08:19:45 PM     all     78.61      0.00     17.91      0.00      0.00      0.75      2.74      0.00      0.00      0.00
08:19:46 PM     all     87.00      0.00     12.00      0.00      0.00      0.75      0.25      0.00      0.00      0.00
08:19:47 PM     all     80.80      0.00     15.96      0.00      0.00      0.75      2.49      0.00      0.00      0.00
08:19:48 PM     all     74.44      0.00     21.05      0.00      0.00      0.75      3.76      0.00      0.00      0.00
08:19:49 PM     all     74.56      0.00     20.95      0.00      0.00      0.75      3.74      0.00      0.00      0.00
