Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

08:42:06 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
08:42:07 PM     all      1.24      0.00     56.47      0.00      0.00      0.50      3.98      0.00      0.00     37.81
08:42:08 PM     all      0.50      0.00     41.09      0.00      0.00      0.25      4.21      0.00      0.00     53.96
08:42:09 PM     all      1.74      0.00     39.30      0.00      0.00      0.50      4.23      0.00      0.00     54.23
08:42:10 PM     all      1.00      0.00     40.55      0.00      0.00      0.25      4.23      0.00      0.00     53.98
08:42:11 PM     all      1.49      0.00     40.10      0.25      0.00      0.50      4.21      0.00      0.00     53.47
08:42:12 PM     all      1.00      0.00     40.15      0.00      0.00      0.25      4.24      0.00      0.00     54.36
08:42:13 PM     all      1.00      0.00     40.40      0.00      0.00      0.50      4.24      0.00      0.00     53.87
08:42:14 PM     all      1.00      0.00     40.10      0.00      0.00      0.25      4.01      0.00      0.00     54.64
08:42:15 PM     all      0.99      0.00     40.20      0.00      0.00      0.50      4.22      0.00      0.00     54.09
08:42:16 PM     all      1.50      0.00     32.50      0.00      0.00      0.25      3.00      0.00      0.00     62.75
08:42:17 PM     all      2.01      0.00     32.83      0.00      0.00      0.25      4.01      0.00      0.00     60.90
08:42:18 PM     all      1.27      0.00     39.34      0.00      0.00      0.25      6.09      0.00      0.00     53.05
08:42:19 PM     all      1.00      0.00     39.85      0.00      0.00      0.25      5.51      0.00      0.00     53.38
08:42:20 PM     all      0.75      0.00     39.75      0.00      0.00      0.50      4.25      0.00      0.00     54.75
08:42:21 PM     all      0.50      0.00     40.40      0.25      0.00      0.25      4.24      0.00      0.00     54.36
08:42:22 PM     all      1.25      0.00     39.15      0.00      0.00      0.50      4.24      0.00      0.00     54.86
08:42:23 PM     all      1.25      0.00     39.10      0.00      0.00      0.25      4.26      0.00      0.00     55.14
08:42:24 PM     all      1.25      0.00     39.10      0.00      0.00      0.50      4.26      0.00      0.00     54.89
08:42:25 PM     all      1.26      0.00     39.20      0.00      0.00      0.25      4.27      0.00      0.00     55.03
08:42:26 PM     all      1.24      0.00     40.20      0.00      0.00      0.50      4.22      0.00      0.00     53.85
08:42:27 PM     all      1.76      0.00     26.38      0.00      0.00      0.25      1.76      0.00      0.00     69.85
08:42:28 PM     all      1.01      0.00     36.52      0.00      0.00      0.25      5.04      0.00      0.00     57.18
08:42:29 PM     all      0.50      0.00     40.70      0.00      0.00      0.25      5.53      0.00      0.00     53.02
08:42:30 PM     all      1.75      0.00     39.60      0.00      0.00      0.25      4.26      0.00      0.00     54.14
08:42:31 PM     all      1.26      0.00     39.65      0.76      0.00      0.51      4.04      0.00      0.00     53.79
08:42:32 PM     all      1.75      0.00     39.35      0.00      0.00      0.25      4.26      0.00      0.00     54.39
08:42:33 PM     all      1.50      0.00     42.00      0.00      0.00      0.50      4.25      0.00      0.00     51.75
08:42:34 PM     all      1.00      0.00     45.61      0.00      0.00      0.50      3.76      0.00      0.00     49.12
08:42:35 PM     all      1.25      0.00     44.11      0.00      0.00      0.50      3.76      0.00      0.00     50.38
08:42:36 PM     all      1.25      0.00     40.00      0.25      0.00      0.25      4.25      0.00      0.00     54.00
08:42:37 PM     all      1.24      0.00     40.45      0.00      0.00      0.50      4.22      0.00      0.00     53.60
08:42:38 PM     all      1.50      0.00     47.37      0.00      0.00      0.50      1.00      0.00      0.00     49.62
08:42:39 PM     all      3.25      0.00     92.50      0.00      0.00      0.50      3.75      0.00      0.00      0.00
08:42:40 PM     all      3.25      0.00     92.75      0.00      0.00      0.25      3.75      0.00      0.00      0.00
08:42:41 PM     all      3.01      0.00     92.73      0.00      0.00      0.75      3.51      0.00      0.00      0.00
08:42:42 PM     all      2.25      0.00     93.00      0.00      0.00      0.50      4.00      0.00      0.00      0.25
08:42:43 PM     all      3.01      0.00     92.73      0.00      0.00      0.50      3.76      0.00      0.00      0.00
08:42:44 PM     all      2.49      0.00     93.02      0.25      0.00      0.50      3.49      0.00      0.00      0.25
08:42:45 PM     all      3.25      0.00     91.75      0.00      0.00      0.50      4.50      0.00      0.00      0.00
08:42:46 PM     all      3.01      0.00     92.48      0.00      0.00      0.50      4.01      0.00      0.00      0.00
08:42:47 PM     all      2.99      0.00     92.52      0.00      0.00      0.75      3.49      0.00      0.00      0.25
08:42:48 PM     all      2.01      0.00     93.48      0.00      0.00      0.50      4.01      0.00      0.00      0.00
08:42:49 PM     all      2.51      0.00     95.74      0.00      0.00      0.75      1.00      0.00      0.00      0.00
08:42:50 PM     all      2.49      0.00     93.77      0.00      0.00      0.50      2.99      0.00      0.00      0.25
08:42:51 PM     all      3.23      0.00     91.54      0.50      0.00      0.75      3.98      0.00      0.00      0.00
08:42:52 PM     all      2.76      0.00     92.73      0.00      0.00      0.50      4.01      0.00      0.00      0.00
08:42:53 PM     all      2.99      0.00     92.27      0.00      0.00      0.75      3.99      0.00      0.00      0.00
08:42:54 PM     all      3.25      0.00     92.25      0.00      0.00      0.50      4.00      0.00      0.00      0.00
08:42:55 PM     all      3.26      0.00     91.98      0.00      0.00      0.50      4.26      0.00      0.00      0.00
08:42:56 PM     all      3.01      0.00     92.48      0.25      0.00      0.25      4.01      0.00      0.00      0.00
08:42:57 PM     all      2.99      0.00     92.52      0.00      0.00      0.75      3.49      0.00      0.00      0.25
08:42:58 PM     all      3.24      0.00     92.27      0.00      0.00      0.50      3.99      0.00      0.00      0.00
08:42:59 PM     all      2.01      0.00     93.48      0.00      0.00      0.75      3.76      0.00      0.00      0.00
08:43:00 PM     all      4.77      0.00     92.71      0.00      0.00      0.50      1.76      0.00      0.00      0.25
