request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693215990357,1692243726015,1692243736749,1693216001112,10755,10734,21
2,1693216001112,1692243736769,1692243747472,1693216011924,10812,10703,109
3,1693216011924,1692243747580,1692243758285,1693216022675,10751,10705,46
4,1693216022841,1692243758497,1692243769488,1693216033940,11099,10991,108
5,1693216033940,1692243769600,1692243780489,1693216044998,11058,10889,169
6,1693216044998,1692243780654,1692243791589,1693216055941,10943,10935,8
7,1693216055947,1692243791605,1692243802312,1693216066666,10719,10707,12
8,1693216066666,1692243802325,1692243813034,1693216077385,10719,10709,10
9,1693216077385,1692243813042,1692243823748,1693216088113,10728,10706,22
10,1693216088278,1692243823935,1692243834904,1693216099263,10985,10969,16
11,1693216099263,1692243834935,1692243845952,1693216110304,11041,11017,24
12,1693216110304,1692243845962,1692243856846,1693216121200,10896,10884,12
13,1693216121226,1692243856882,1692243867589,1693216131952,10726,10707,19
14,1693216131952,1692243867620,1692243878327,1693216142699,10747,10707,40
15,1693216142699,1692243878376,1692243889083,1693216153462,10763,10707,56
16,1693216153627,1692243889284,1692243900379,1693216164735,11108,11095,13
17,1693216164735,1692243900392,1692243911426,1693216175777,11042,11034,8
18,1693216175777,1692243911434,1692243922492,1693216186841,11064,11058,6
19,1693216186848,1692243922505,1692243933211,1693216197570,10722,10706,16
20,1693216197570,1692243933238,1692243943948,1693216208298,10728,10710,18
21,1693216208298,1692243943956,1692243954661,1693216219011,10713,10705,8
22,1693216219175,1692243954833,1692243965961,1693216230338,11163,11128,35
23,1693216230338,1692243965996,1692243977062,1693216241422,11084,11066,18
24,1693216241422,1692243977080,1692243987948,1693216252298,10876,10868,8
25,1693216252308,1692243987968,1692243998671,1693216263020,10712,10703,9
26,1693216263020,1692243998679,1692244009385,1693216273755,10735,10706,29
27,1693216273755,1692244009419,1692244020129,1693216284478,10723,10710,13
28,1693216284644,1692244020302,1692244031174,1693216295523,10879,10872,7
29,1693216295523,1692244031181,1692244042154,1693216306519,10996,10973,23
30,1693216306519,1692244042179,1692244053141,1693216317489,10970,10962,8
31,1693216317496,1692244053155,1692244063861,1693216328209,10713,10706,7
32,1693216328209,1692244063868,1692244074574,1693216338980,10771,10706,65
33,1693216338980,1692244074639,1692244085344,1693216349692,10712,10705,7
34,1693216349856,1692244085515,1692244096525,1693216360893,11037,11010,27
35,1693216360893,1692244096552,1692244107753,1693216372113,11220,11201,19
36,1693216372113,1692244107773,1692244118658,1693216383104,10991,10885,106
37,1693216383112,1692244118774,1692244129479,1693216393865,10753,10705,48
38,1693216393865,1692244129524,1692244140230,1693216404578,10713,10706,7
39,1693216404578,1692244140238,1692244150945,1693216415301,10723,10707,16
40,1693216415565,1692244151225,1692244162057,1693216426426,10861,10832,29
41,1693216426426,1692244162086,1692244173316,1693216437663,11237,11230,7
42,1693216437663,1692244173323,1692244184324,1693216448671,11008,11001,7
43,1693216448678,1692244184338,1692244195047,1693216459394,10716,10709,7
44,1693216459394,1692244195064,1692244205774,1693216470120,10726,10710,16
45,1693216470120,1692244205781,1692244216487,1693216480834,10714,10706,8
46,1693216481005,1692244216672,1692244227740,1693216492109,11104,11068,36
47,1693216492109,1692244227779,1692244238886,1693216503328,11219,11107,112
48,1693216503328,1692244238988,1692244249929,1693216514275,10947,10941,6
49,1693216514281,1692244249943,1692244260649,1693216524995,10714,10706,8
50,1693216524995,1692244260656,1692244271359,1693216535705,10710,10703,7
51,1693216535706,1692244271367,1692244282071,1693216546417,10711,10704,7
52,1693216546583,1692244282244,1692244293240,1693216557586,11003,10996,7
53,1693216557586,1692244293271,1692244304409,1693216568755,11169,11138,31
54,1693216568755,1692244304420,1692244315367,1693216579822,11067,10947,120
55,1693216579829,1692244315490,1692244326198,1693216590574,10745,10708,37
56,1693216590574,1692244326236,1692244336940,1693216601290,10716,10704,12
57,1693216601290,1692244336960,1692244347670,1693216612077,10787,10710,77
58,1693216612243,1692244347909,1692244358792,1693216623137,10894,10883,11
59,1693216623137,1692244358799,1692244369826,1693216634196,11059,11027,32
60,1693216634196,1692244369859,1692244380798,1693216645143,10947,10939,8
61,1693216645153,1692244380824,1692244391530,1693216655874,10721,10706,15
62,1693216655874,1692244391537,1692244402238,1693216666582,10708,10701,7
63,1693216666583,1692244402245,1692244412946,1693216677305,10722,10701,21
