Linux 4.9.253-tegra (nano-desktop) 	08/17/2023 	_aarch64_	(4 CPU)

02:53:40 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
02:53:41 AM     all      1.52      0.00     31.82      0.00      0.00      0.51      0.51      0.00      0.00     65.66
02:53:42 AM     all      1.75      0.00     19.50      0.00      0.00      0.50      0.50      0.00      0.00     77.75
02:53:43 AM     all      1.49      0.00     20.40      0.50      0.00      0.50      0.50      0.00      0.00     76.62
02:53:44 AM     all      2.00      0.00     20.00      0.00      0.00      0.25      0.50      0.00      0.00     77.25
02:53:45 AM     all      1.01      0.00     17.97      0.00      0.00      0.51      0.25      0.00      0.00     80.25
02:53:46 AM     all      1.50      0.00     19.20      0.00      0.00      0.50      0.50      0.00      0.00     78.30
02:53:47 AM     all      1.26      0.00     17.59      0.00      0.00      0.50      0.50      0.00      0.00     80.15
02:53:48 AM     all      1.51      0.00     18.84      0.00      0.00      0.50      0.50      0.00      0.00     78.64
02:53:49 AM     all      1.25      0.00     19.75      0.00      0.00      0.50      0.50      0.00      0.00     78.00
02:53:50 AM     all      1.01      0.00     18.73      0.00      0.00      0.25      0.25      0.00      0.00     79.75
02:53:51 AM     all      1.51      0.00     20.10      0.00      0.00      0.50      0.50      0.00      0.00     77.39
02:53:52 AM     all      1.25      0.00     21.00      0.00      0.00      0.50      0.50      0.00      0.00     76.75
02:53:53 AM     all      1.75      0.00     20.25      0.00      0.00      0.50      0.50      0.00      0.00     77.00
02:53:54 AM     all      1.26      0.00     18.89      0.25      0.00      0.25      0.50      0.00      0.00     78.84
02:53:55 AM     all      1.75      0.00     19.80      0.00      0.00      0.50      0.50      0.00      0.00     77.44
02:53:56 AM     all      1.50      0.00     20.75      0.00      0.00      0.50      0.25      0.00      0.00     77.00
02:53:57 AM     all      1.50      0.00     17.04      0.00      0.00      0.50      0.50      0.00      0.00     80.45
02:53:58 AM     all      1.50      0.00     20.75      0.00      0.00      0.25      0.50      0.00      0.00     77.00
02:53:59 AM     all      1.99      0.00     20.15      0.00      0.00      0.50      0.50      0.00      0.00     76.87
02:54:00 AM     all      1.50      0.00     18.55      0.00      0.00      0.50      0.25      0.00      0.00     79.20
02:54:01 AM     all      2.01      0.00     19.30      0.00      0.00      0.50      0.50      0.00      0.00     77.69
02:54:02 AM     all      1.75      0.00     19.75      0.00      0.00      0.50      0.50      0.00      0.00     77.50
02:54:03 AM     all      1.75      0.00     19.80      0.00      0.00      0.50      0.50      0.00      0.00     77.44
02:54:04 AM     all      1.50      0.00     18.50      0.25      0.00      0.25      0.50      0.00      0.00     79.00
02:54:05 AM     all      1.01      0.00     19.40      0.00      0.00      0.50      0.25      0.00      0.00     78.84
02:54:06 AM     all      1.24      0.00     19.90      0.00      0.00      0.50      0.50      0.00      0.00     77.86
02:54:07 AM     all      1.26      0.00     18.34      0.00      0.00      0.50      0.50      0.00      0.00     79.40
02:54:08 AM     all      1.50      0.00     19.95      0.00      0.00      0.25      0.50      0.00      0.00     77.81
02:54:09 AM     all      0.76      0.00     18.69      0.00      0.00      0.51      0.25      0.00      0.00     79.80
02:54:10 AM     all     30.08      0.00     22.06      0.00      0.00      0.50      0.75      0.00      0.00     46.62
02:54:11 AM     all     64.16      0.00     20.55      0.00      0.00      1.00      0.50      0.00      0.00     13.78
