request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693238283108,1692266019125,1692266019296,1693238283432,324,171,153
2,1693238283432,1692266019362,1692266019531,1693238283658,226,169,57
3,1693238283658,1692266019585,1692266019754,1693238283880,222,169,53
4,1693238283880,1692266019793,1692266019964,1693238284090,210,171,39
5,1693238284090,1692266020100,1692266020269,1693238284395,305,169,136
6,1693238284395,1692266020322,1692266020495,1693238284621,226,173,53
7,1693238284621,1692266020542,1692266020706,1693238284831,210,164,46
8,1693238284831,1692266020748,1692266020910,1693238285034,203,162,41
9,1693238285034,1692266020954,1692266021118,1693238285243,209,164,45
10,1693238285243,1692266021171,1692266021334,1693238285458,215,163,52
11,1693238285458,1692266021382,1692266021545,1693238285669,211,163,48
12,1693238285669,1692266021591,1692266021754,1693238285878,209,163,46
13,1693238285878,1692266021803,1692266021966,1693238286090,212,163,49
14,1693238286090,1692266022015,1692266022178,1693238286302,212,163,49
15,1693238286302,1692266022243,1692266022408,1693238286532,230,165,65
16,1693238286533,1692266022459,1692266022623,1693238286748,215,164,51
17,1693238286748,1692266022662,1692266022825,1693238286949,201,163,38
18,1693238286949,1692266022880,1692266023043,1693238287167,218,163,55
19,1693238287168,1692266023087,1692266023250,1693238287374,206,163,43
20,1693238287374,1692266023316,1692266023481,1693238287605,231,165,66
21,1693238287605,1692266023515,1692266023677,1693238287802,197,162,35
22,1693238287802,1692266023729,1692266023891,1693238288015,213,162,51
23,1693238288015,1692266023919,1692266024081,1693238288205,190,162,28
24,1693238288205,1692266024162,1692266024327,1693238288452,247,165,82
25,1693238288452,1692266024382,1692266024545,1693238288669,217,163,54
26,1693238288669,1692266024603,1692266024767,1693238288891,222,164,58
27,1693238288891,1692266024851,1692266025016,1693238289141,250,165,85
28,1693238289141,1692266025099,1692266025264,1693238289388,247,165,82
29,1693238289388,1692266025317,1692266025479,1693238289607,219,162,57
30,1693238289607,1692266025549,1692266025712,1693238289836,229,163,66
31,1693238289836,1692266025761,1692266025925,1693238290049,213,164,49
32,1693238290049,1692266025965,1692266026127,1693238290251,202,162,40
33,1693238290251,1692266026202,1692266026369,1693238290493,242,167,75
34,1693238290493,1692266026460,1692266026624,1693238290748,255,164,91
35,1693238290749,1692266026685,1692266026847,1693238290971,222,162,60
36,1693238290971,1692266026931,1692266027094,1693238291218,247,163,84
37,1693238291218,1692266027140,1692266027303,1693238291427,209,163,46
38,1693238291427,1692266027364,1692266027527,1693238291651,224,163,61
39,1693238291651,1692266027575,1692266027738,1693238291862,211,163,48
40,1693238291862,1692266027801,1692266027965,1693238292089,227,164,63
41,1693238292089,1692266028018,1692266028183,1693238292308,219,165,54
42,1693238292308,1692266028230,1692266028396,1693238292520,212,166,46
43,1693238292520,1692266028437,1692266028599,1693238292723,203,162,41
44,1693238292723,1692266028685,1692266028848,1693238292972,249,163,86
45,1693238292972,1692266028916,1692266029079,1693238293204,232,163,69
46,1693238293204,1692266029134,1692266029298,1693238293422,218,164,54
47,1693238293422,1692266029352,1692266029514,1693238293661,239,162,77
48,1693238293661,1692266029591,1692266029753,1693238293878,217,162,55
49,1693238293878,1692266029808,1692266029970,1693238294096,218,162,56
50,1693238294096,1692266030013,1692266030177,1693238294301,205,164,41
51,1693238294301,1692266030215,1692266030377,1693238294500,199,162,37
52,1693238294500,1692266030412,1692266030575,1693238294699,199,163,36
53,1693238294699,1692266030618,1692266030781,1693238294905,206,163,43
54,1693238294905,1692266030843,1692266031006,1693238295131,226,163,63
55,1693238295131,1692266031052,1692266031215,1693238295339,208,163,45
56,1693238295340,1692266031249,1692266031410,1693238295534,194,161,33
57,1693238295534,1692266031453,1692266031615,1693238295739,205,162,43
58,1693238295739,1692266031675,1692266031840,1693238295966,227,165,62
59,1693238295966,1692266031881,1692266032044,1693238296169,203,163,40
60,1693238296169,1692266032097,1692266032260,1693238296385,216,163,53
61,1693238296385,1692266032327,1692266032492,1693238296616,231,165,66
62,1693238296616,1692266032529,1692266032691,1693238296816,200,162,38
63,1693238296816,1692266032730,1692266032893,1693238297017,201,163,38
64,1693238297017,1692266032909,1692266033072,1693238297196,179,163,16
65,1693238297196,1692266033152,1692266033316,1693238297440,244,164,80
66,1693238297440,1692266033368,1692266033532,1693238297656,216,164,52
67,1693238297656,1692266033592,1692266033754,1693238297879,223,162,61
68,1693238297879,1692266033780,1692266033941,1693238298066,187,161,26
69,1693238298066,1692266033996,1692266034161,1693238298285,219,165,54
70,1693238298285,1692266034214,1692266034381,1693238298505,220,167,53
71,1693238298505,1692266034418,1692266034580,1693238298704,199,162,37
72,1693238298704,1692266034627,1692266034789,1693238298913,209,162,47
73,1693238298913,1692266034834,1692266034997,1693238299121,208,163,45
74,1693238299121,1692266035080,1692266035244,1693238299368,247,164,83
75,1693238299368,1692266035293,1692266035456,1693238299580,212,163,49
76,1693238299580,1692266035470,1692266035632,1693238299756,176,162,14
77,1693238299756,1692266035670,1692266035832,1693238299956,200,162,38
78,1693238299956,1692266035886,1692266036049,1693238300266,310,163,147
79,1693238300266,1692266036193,1692266036355,1693238300479,213,162,51
80,1693238300480,1692266036399,1692266036561,1693238300692,212,162,50
81,1693238300692,1692266036633,1692266036795,1693238300919,227,162,65
82,1693238300920,1692266036847,1692266037010,1693238301137,217,163,54
83,1693238301137,1692266037071,1692266037234,1693238301358,221,163,58
84,1693238301358,1692266037283,1692266037445,1693238301570,212,162,50
85,1693238301570,1692266037511,1692266037673,1693238301797,227,162,65
86,1693238301797,1692266037716,1692266037878,1693238302002,205,162,43
87,1693238302002,1692266037891,1692266038052,1693238302178,176,161,15
88,1693238302178,1692266038102,1692266038264,1693238302390,212,162,50
89,1693238302390,1692266038314,1692266038477,1693238302601,211,163,48
90,1693238302601,1692266038519,1692266038681,1693238302805,204,162,42
91,1693238302805,1692266038721,1692266038885,1693238303009,204,164,40
92,1693238303009,1692266038938,1692266039101,1693238303225,216,163,53
93,1693238303225,1692266039152,1692266039315,1693238303439,214,163,51
94,1693238303439,1692266039389,1692266039552,1693238303678,239,163,76
95,1693238303678,1692266039632,1692266039795,1693238303919,241,163,78
96,1693238303919,1692266039865,1692266040027,1693238304151,232,162,70
97,1693238304151,1692266040086,1692266040250,1693238304374,223,164,59
98,1693238304374,1692266040322,1692266040485,1693238304610,236,163,73
99,1693238304610,1692266040536,1692266040699,1693238304823,213,163,50
100,1693238304823,1692266040745,1692266040909,1693238305035,212,164,48
101,1693238305035,1692266040968,1692266041132,1693238305257,222,164,58
102,1693238305257,1692266041187,1692266041350,1693238305474,217,163,54
103,1693238305474,1692266041383,1692266041544,1693238305668,194,161,33
104,1693238305668,1692266041586,1692266041748,1693238305872,204,162,42
105,1693238305872,1692266041793,1692266041956,1693238306080,208,163,45
106,1693238306080,1692266042005,1692266042169,1693238306293,213,164,49
107,1693238306293,1692266042220,1692266042383,1693238306506,213,163,50
108,1693238306506,1692266042436,1692266042600,1693238306725,219,164,55
109,1693238306725,1692266042631,1692266042793,1693238306920,195,162,33
110,1693238306920,1692266042835,1692266042997,1693238307121,201,162,39
111,1693238307121,1692266043067,1692266043230,1693238307354,233,163,70
112,1693238307354,1692266043273,1692266043437,1693238307569,215,164,51
113,1693238307569,1692266043528,1692266043691,1693238307817,248,163,85
114,1693238307817,1692266043757,1692266043920,1693238308045,228,163,65
115,1693238308046,1692266043971,1692266044134,1693238308258,212,163,49
116,1693238308258,1692266044194,1692266044358,1693238308482,224,164,60
117,1693238308482,1692266044416,1692266044578,1693238308702,220,162,58
118,1693238308702,1692266044604,1692266044767,1693238308891,189,163,26
119,1693238308891,1692266044802,1692266044963,1693238309087,196,161,35
120,1693238309087,1692266045036,1692266045199,1693238309324,237,163,74
121,1693238309324,1692266045269,1692266045431,1693238309557,233,162,71
122,1693238309557,1692266045485,1692266045648,1693238309771,214,163,51
123,1693238309771,1692266045705,1692266045869,1693238309993,222,164,58
124,1693238309994,1692266045929,1692266046092,1693238310216,222,163,59
125,1693238310216,1692266046178,1692266046342,1693238310468,252,164,88
126,1693238310468,1692266046393,1692266046560,1693238310685,217,167,50
127,1693238310685,1692266046619,1692266046781,1693238310905,220,162,58
128,1693238310905,1692266046856,1692266047020,1693238311144,239,164,75
129,1693238311144,1692266047061,1692266047225,1693238311349,205,164,41
130,1693238311349,1692266047271,1692266047433,1693238311557,208,162,46
131,1693238311557,1692266047488,1692266047653,1693238311781,224,165,59
132,1693238311781,1692266047719,1692266047881,1693238312007,226,162,64
133,1693238312007,1692266047934,1692266048097,1693238312221,214,163,51
134,1693238312221,1692266048171,1692266048336,1693238312462,241,165,76
135,1693238312462,1692266048394,1692266048558,1693238312683,221,164,57
136,1693238312683,1692266048625,1692266048788,1693238312914,231,163,68
137,1693238312914,1692266048868,1692266049033,1693238313157,243,165,78
138,1693238313320,1692266049221,1692266049421,1693238313548,228,200,28
139,1693238313548,1692266049479,1692266049668,1693238313792,244,189,55
140,1693238313793,1692266049702,1692266049888,1693238314014,221,186,35
141,1693238314014,1692266049942,1692266050132,1693238314257,243,190,53
142,1693238314257,1692266050181,1692266050400,1693238314525,268,219,49
143,1693238314525,1692266050441,1692266050698,1693238314823,298,257,41
144,1693238314823,1692266050766,1692266050994,1693238315193,370,228,142
145,1693238315193,1692266051102,1692266051307,1693238315433,240,205,35
146,1693238315433,1692266051342,1692266051527,1693238315651,218,185,33
147,1693238315652,1692266051564,1692266051745,1693238315870,218,181,37
148,1693238315870,1692266051776,1692266051980,1693238316220,350,204,146
149,1693238316220,1692266052125,1692266052392,1693238316521,301,267,34
150,1693238316521,1692266052432,1692266052669,1693238316793,272,237,35
151,1693238316793,1692266052700,1692266052911,1693238317149,356,211,145
152,1693238317149,1692266053053,1692266053326,1693238317510,361,273,88
153,1693238317510,1692266053418,1692266053618,1693238317743,233,200,33
154,1693238317743,1692266053648,1692266053841,1693238317965,222,193,29
155,1693238317965,1692266053896,1692266054109,1693238318233,268,213,55
156,1693238318233,1692266054164,1692266054365,1693238318490,257,201,56
157,1693238318490,1692266054396,1692266054591,1693238318716,226,195,31
158,1693238318716,1692266054661,1692266054882,1693238319006,290,221,69
159,1693238319006,1692266054922,1692266055119,1693238319243,237,197,40
160,1693238319243,1692266055168,1692266055359,1693238319494,251,191,60
161,1693238319495,1692266055415,1692266055603,1693238319727,232,188,44
162,1693238319727,1692266055648,1692266055850,1693238319974,247,202,45
163,1693238319974,1692266055886,1692266056080,1693238320206,232,194,38
164,1693238320206,1692266056108,1692266056298,1693238320422,216,190,26
165,1693238320422,1692266056342,1692266056555,1693238320679,257,213,44
166,1693238320679,1692266056596,1692266056794,1693238320919,240,198,42
167,1693238320919,1692266056847,1692266057058,1693238321234,315,211,104
168,1693238321234,1692266057180,1692266057372,1693238321496,262,192,70
169,1693238321497,1692266057392,1692266057573,1693238321698,201,181,20
170,1693238321698,1692266057616,1692266057807,1693238321932,234,191,43
171,1693238321932,1692266057842,1692266058062,1693238322188,256,220,36
172,1693238322188,1692266058109,1692266058362,1693238322487,299,253,46
173,1693238322487,1692266058409,1692266058620,1693238322745,258,211,47
174,1693238322745,1692266058663,1692266058852,1693238322976,231,189,42
175,1693238322976,1692266058894,1692266059087,1693238323211,235,193,42
176,1693238323211,1692266059127,1692266059316,1693238323440,229,189,40
177,1693238323441,1692266059351,1692266059529,1693238323653,212,178,34
178,1693238323653,1692266059583,1692266059764,1693238323888,235,181,54
179,1693238323888,1692266059806,1692266059991,1693238324116,228,185,43
180,1693238324116,1692266060038,1692266060248,1693238324372,256,210,46
181,1693238324372,1692266060315,1692266060521,1693238324645,273,206,67
182,1693238324646,1692266060553,1692266060738,1693238324863,217,185,32
183,1693238324863,1692266060778,1692266060973,1693238325097,234,195,39
184,1693238325098,1692266061025,1692266061232,1693238325432,334,207,127
185,1693238325432,1692266061345,1692266061547,1693238325741,309,202,107
186,1693238325741,1692266061654,1692266061856,1693238325981,240,202,38
187,1693238325981,1692266061901,1692266062077,1693238326201,220,176,44
188,1693238326201,1692266062108,1692266062288,1693238326412,211,180,31
189,1693238326412,1692266062346,1692266062531,1693238326657,245,185,60
190,1693238326657,1692266062577,1692266062785,1693238326909,252,208,44
191,1693238326909,1692266062832,1692266063032,1693238327156,247,200,47
192,1693238327156,1692266063072,1692266063263,1693238327387,231,191,40
193,1693238327387,1692266063318,1692266063506,1693238327630,243,188,55
194,1693238327630,1692266063544,1692266063736,1693238327860,230,192,38
195,1693238327860,1692266063778,1692266063960,1693238328085,225,182,43
196,1693238328085,1692266064011,1692266064191,1693238328315,230,180,50
