Linux 4.9.253-tegra (nano-desktop) 	08/17/2023 	_aarch64_	(4 CPU)

01:47:53 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:47:54 AM     all      1.52      0.00     35.86      0.00      0.00      0.51      0.51      0.00      0.00     61.62
01:47:55 AM     all      0.51      0.00     22.47      0.00      0.00      0.51      0.51      0.00      0.00     76.01
01:47:56 AM     all      1.00      0.00     16.29      0.00      0.00      0.25      0.50      0.00      0.00     81.95
01:47:57 AM     all      1.01      0.00     23.23      0.00      0.00      0.51      0.25      0.00      0.00     75.00
01:47:58 AM     all      1.01      0.00     22.17      0.00      0.00      0.50      0.50      0.00      0.00     75.82
01:47:59 AM     all      1.51      0.00     21.11      0.25      0.00      0.50      0.50      0.00      0.00     76.13
01:48:00 AM     all      2.27      0.00     23.68      0.00      0.00      0.50      0.50      0.00      0.00     73.05
01:48:01 AM     all      1.00      0.00     20.05      0.00      0.00      0.50      0.50      0.00      0.00     77.94
01:48:02 AM     all      1.27      0.00     23.29      0.00      0.00      0.25      0.25      0.00      0.00     74.94
01:48:03 AM     all      1.26      0.00     21.11      0.00      0.00      0.50      0.50      0.00      0.00     76.63
01:48:04 AM     all      1.50      0.00     23.06      0.00      0.00      0.50      0.50      0.00      0.00     74.44
01:48:05 AM     all      1.01      0.00     22.42      0.00      0.00      0.50      0.50      0.00      0.00     75.57
01:48:06 AM     all      1.25      0.00     24.25      0.00      0.00      0.25      0.50      0.00      0.00     73.75
01:48:07 AM     all      2.26      0.00     20.55      0.00      0.00      0.50      0.50      0.00      0.00     76.19
01:48:08 AM     all      1.01      0.00     22.36      0.00      0.00      0.50      0.25      0.00      0.00     75.88
01:48:09 AM     all      1.52      0.00     22.22      0.00      0.00      0.51      0.51      0.00      0.00     75.25
01:48:10 AM     all      1.25      0.00     22.19      0.00      0.00      0.50      0.50      0.00      0.00     75.56
01:48:11 AM     all      1.50      0.00     23.06      0.00      0.00      0.50      0.50      0.00      0.00     74.44
01:48:12 AM     all      1.01      0.00     22.42      0.00      0.00      0.25      0.50      0.00      0.00     75.82
01:48:13 AM     all      1.27      0.00     22.28      0.00      0.00      0.51      0.25      0.00      0.00     75.70
01:48:14 AM     all      1.26      0.00     22.86      0.00      0.00      0.50      0.50      0.00      0.00     74.87
01:48:15 AM     all      1.01      0.00     23.17      0.00      0.00      0.50      0.50      0.00      0.00     74.81
01:48:16 AM     all      2.00      0.00     20.45      0.00      0.00      0.25      0.50      0.00      0.00     76.81
01:48:17 AM     all      1.00      0.00     23.75      0.00      0.00      0.50      0.50      0.00      0.00     74.25
01:48:18 AM     all      2.25      0.00     20.25      0.00      0.00      0.50      0.50      0.00      0.00     76.50
