request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693234336860,1692262072798,1692262072985,1693234337244,384,187,197
2,1693234337244,1692262073148,1692262073334,1693234337548,304,186,118
3,1693234337548,1692262073494,1692262073676,1693234337843,295,182,113
4,1693234337843,1692262073708,1692262073892,1693234338061,218,184,34
5,1693234338061,1692262073933,1692262074104,1693234338271,210,171,39
6,1693234338271,1692262074151,1692262074323,1693234338488,217,172,45
7,1693234338488,1692262074361,1692262074531,1693234338695,207,170,37
8,1693234338696,1692262074571,1692262074742,1693234338907,211,171,40
9,1693234338907,1692262074810,1692262074984,1693234339149,242,174,68
10,1693234339149,1692262075043,1692262075213,1693234339378,229,170,59
11,1693234339378,1692262075266,1692262075438,1693234339603,225,172,53
12,1693234339603,1692262075477,1692262075650,1693234339815,212,173,39
13,1693234339815,1692262075685,1692262075855,1693234340123,308,170,138
14,1693234340123,1692262076085,1692262076257,1693234340421,298,172,126
15,1693234340422,1692262076380,1692262076552,1693234340717,295,172,123
16,1693234340717,1692262076592,1692262076763,1693234340928,211,171,40
17,1693234340929,1692262076791,1692262076961,1693234341125,196,170,26
18,1693234341126,1692262076991,1692262077163,1693234341328,202,172,30
19,1693234341328,1692262077214,1692262077388,1693234341553,225,174,51
20,1693234341553,1692262077433,1692262077603,1693234341768,215,170,45
21,1693234341768,1692262077646,1692262077819,1693234341985,217,173,44
22,1693234341985,1692262077865,1692262078037,1693234342202,217,172,45
23,1693234342202,1692262078103,1692262078274,1693234342439,237,171,66
24,1693234342439,1692262078319,1692262078490,1693234342656,217,171,46
25,1693234342656,1692262078546,1692262078717,1693234342881,225,171,54
26,1693234342882,1692262078764,1692262078937,1693234343102,220,173,47
27,1693234343102,1692262078988,1692262079160,1693234343325,223,172,51
28,1693234343325,1692262079204,1692262079377,1693234343542,217,173,44
29,1693234343542,1692262079414,1692262079587,1693234343752,210,173,37
30,1693234343752,1692262079616,1692262079787,1693234343951,199,171,28
31,1693234343951,1692262079815,1692262079986,1693234344150,199,171,28
32,1693234344150,1692262080026,1692262080199,1693234344364,214,173,41
33,1693234344364,1692262080243,1692262080414,1693234344579,215,171,44
34,1693234344579,1692262080502,1692262080676,1693234344841,262,174,88
35,1693234344841,1692262080738,1692262080910,1693234345075,234,172,62
36,1693234345075,1692262080955,1692262081130,1693234345295,220,175,45
37,1693234345295,1692262081193,1692262081366,1693234345534,239,173,66
38,1693234345534,1692262081408,1692262081581,1693234345746,212,173,39
39,1693234345746,1692262081619,1692262081791,1693234345956,210,172,38
40,1693234345956,1692262081847,1692262082021,1693234346186,230,174,56
41,1693234346186,1692262082047,1692262082217,1693234346382,196,170,26
42,1693234346382,1692262082245,1692262082416,1693234346581,199,171,28
43,1693234346581,1692262082466,1692262082638,1693234346803,222,172,50
44,1693234346803,1692262082671,1692262082840,1693234347005,202,169,33
45,1693234347005,1692262082871,1692262083042,1693234347207,202,171,31
46,1693234347207,1692262083097,1692262083270,1693234347435,228,173,55
47,1693234347435,1692262083347,1692262083519,1693234347685,250,172,78
48,1693234347685,1692262083569,1692262083741,1693234347906,221,172,49
49,1693234347906,1692262083773,1692262083944,1693234348109,203,171,32
50,1693234348109,1692262083976,1692262084146,1693234348311,202,170,32
51,1693234348311,1692262084168,1692262084338,1693234348503,192,170,22
52,1693234348503,1692262084369,1692262084538,1693234348703,200,169,31
53,1693234348703,1692262084594,1692262084765,1693234348930,227,171,56
54,1693234348930,1692262084806,1692262084977,1693234349144,214,171,43
55,1693234349144,1692262085019,1692262085191,1693234349356,212,172,40
56,1693234349356,1692262085216,1692262085386,1693234349551,195,170,25
57,1693234349551,1692262085429,1692262085602,1693234349767,216,173,43
58,1693234349767,1692262085634,1692262085804,1693234349969,202,170,32
59,1693234349969,1692262085847,1692262086020,1693234350185,216,173,43
60,1693234350185,1692262086068,1692262086240,1693234350405,220,172,48
61,1693234350405,1692262086263,1692262086433,1693234350597,192,170,22
62,1693234350597,1692262086496,1692262086668,1693234350833,236,172,64
63,1693234350833,1692262086700,1692262086869,1693234351035,202,169,33
64,1693234351035,1692262086929,1692262087103,1693234351269,234,174,60
65,1693234351269,1692262087143,1692262087314,1693234351479,210,171,39
66,1693234351479,1692262087355,1692262087527,1693234351692,213,172,41
67,1693234351692,1692262087557,1692262087728,1693234351922,230,171,59
68,1693234351922,1692262087806,1692262087978,1693234352168,246,172,74
69,1693234352168,1692262088043,1692262088216,1693234352381,213,173,40
70,1693234352381,1692262088256,1692262088426,1693234352591,210,170,40
71,1693234352591,1692262088468,1692262088640,1693234352805,214,172,42
72,1693234352805,1692262088684,1692262088855,1693234353022,217,171,46
73,1693234353022,1692262088886,1692262089055,1693234353220,198,169,29
74,1693234353220,1692262089104,1692262089276,1693234353441,221,172,49
75,1693234353441,1692262089312,1692262089481,1693234353646,205,169,36
76,1693234353646,1692262089516,1692262089686,1693234353851,205,170,35
77,1693234353851,1692262089755,1692262089929,1693234354095,244,174,70
78,1693234354095,1692262089962,1692262090132,1693234354296,201,170,31
79,1693234354296,1692262090175,1692262090349,1693234354514,218,174,44
80,1693234354514,1692262090391,1692262090562,1693234354727,213,171,42
81,1693234354727,1692262090613,1692262090785,1693234354950,223,172,51
82,1693234354950,1692262090833,1692262091003,1693234355168,218,170,48
83,1693234355168,1692262091028,1692262091197,1693234355363,195,169,26
84,1693234355364,1692262091242,1692262091414,1693234355579,215,172,43
85,1693234355579,1692262091452,1692262091622,1693234355787,208,170,38
86,1693234355787,1692262091663,1692262091838,1693234356002,215,175,40
87,1693234356002,1692262091891,1692262092062,1693234356227,225,171,54
88,1693234356227,1692262092108,1692262092280,1693234356445,218,172,46
89,1693234356445,1692262092323,1692262092496,1693234356661,216,173,43
90,1693234356661,1692262092543,1692262092714,1693234356879,218,171,47
91,1693234356879,1692262092754,1692262092926,1693234357091,212,172,40
92,1693234357091,1692262092955,1692262093125,1693234357289,198,170,28
93,1693234357289,1692262093169,1692262093339,1693234357504,215,170,45
94,1693234357504,1692262093366,1692262093537,1693234357702,198,171,27
95,1693234357702,1692262093578,1692262093749,1693234357915,213,171,42
96,1693234357915,1692262093800,1692262093972,1693234358137,222,172,50
97,1693234358137,1692262094006,1692262094177,1693234358342,205,171,34
98,1693234358342,1692262094211,1692262094384,1693234358549,207,173,34
99,1693234358549,1692262094417,1692262094590,1693234358755,206,173,33
100,1693234358755,1692262094620,1692262094790,1693234358955,200,170,30
101,1693234358955,1692262094841,1692262095013,1693234359178,223,172,51
102,1693234359178,1692262095059,1692262095230,1693234359395,217,171,46
103,1693234359395,1692262095280,1692262095451,1693234359617,222,171,51
104,1693234359617,1692262095510,1692262095682,1693234359847,230,172,58
105,1693234359847,1692262095746,1692262095918,1693234360083,236,172,64
106,1693234360083,1692262095967,1692262096140,1693234360304,221,173,48
107,1693234360305,1692262096177,1692262096348,1693234360513,208,171,37
108,1693234360513,1692262096412,1692262096584,1693234360749,236,172,64
109,1693234360749,1692262096622,1692262096793,1693234360958,209,171,38
110,1693234360958,1692262096848,1692262097019,1693234361184,226,171,55
111,1693234361184,1692262097071,1692262097243,1693234361408,224,172,52
112,1693234361409,1692262097282,1692262097455,1693234361619,210,173,37
113,1693234361619,1692262097504,1692262097677,1693234361841,222,173,49
114,1693234361842,1692262097732,1692262097904,1693234362069,227,172,55
115,1693234362069,1692262097937,1692262098106,1693234362274,205,169,36
116,1693234362274,1692262098161,1692262098334,1693234362499,225,173,52
117,1693234362499,1692262098403,1692262098575,1693234362740,241,172,69
118,1693234362740,1692262098629,1692262098803,1693234362968,228,174,54
119,1693234362968,1692262098856,1692262099030,1693234363195,227,174,53
120,1693234363195,1692262099084,1692262099258,1693234363425,230,174,56
121,1693234363425,1692262099287,1692262099458,1693234363622,197,171,26
122,1693234363622,1692262099510,1692262099683,1693234363847,225,173,52
123,1693234363847,1692262099719,1692262099889,1693234364053,206,170,36
124,1693234364053,1692262099963,1692262100137,1693234364302,249,174,75
125,1693234364302,1692262100179,1692262100351,1693234364515,213,172,41
126,1693234364515,1692262100394,1692262100566,1693234364731,216,172,44
127,1693234364731,1692262100612,1692262100785,1693234364950,219,173,46
128,1693234364950,1692262100840,1692262101013,1693234365178,228,173,55
129,1693234365178,1692262101048,1692262101219,1693234365383,205,171,34
130,1693234365383,1692262101271,1692262101444,1693234365609,226,173,53
131,1693234365609,1692262101489,1692262101661,1693234365826,217,172,45
132,1693234365826,1692262101697,1692262101871,1693234366035,209,174,35
133,1693234366035,1692262101936,1692262102108,1693234366273,238,172,66
134,1693234366273,1692262102160,1692262102332,1693234366497,224,172,52
135,1693234366497,1692262102383,1692262102553,1693234366718,221,170,51
136,1693234366718,1692262102600,1692262102773,1693234366938,220,173,47
137,1693234367109,1692262103000,1692262103276,1693234367552,443,276,167
138,1693234367552,1692262103429,1692262103748,1693234367912,360,319,41
139,1693234367912,1692262103779,1692262104108,1693234368273,361,329,32
140,1693234368273,1692262104149,1692262104475,1693234368640,367,326,41
141,1693234368640,1692262104535,1692262104841,1693234369006,366,306,60
142,1693234369006,1692262104891,1692262105061,1693234369226,220,170,50
143,1693234369226,1692262105104,1692262105277,1693234369442,216,173,43
144,1693234369442,1692262105299,1692262105468,1693234369633,191,169,22
145,1693234369633,1692262105502,1692262105674,1693234369839,206,172,34
146,1693234369839,1692262105714,1692262105885,1693234370050,211,171,40
147,1693234370050,1692262105913,1692262106086,1693234370255,205,173,32
148,1693234370255,1692262106132,1692262106454,1693234370620,365,322,43
149,1693234370620,1692262106508,1692262106791,1693234370956,336,283,53
150,1693234370957,1692262106828,1692262107164,1693234371329,372,336,36
151,1693234371329,1692262107205,1692262107489,1693234371654,325,284,41
152,1693234371654,1692262107549,1692262107762,1693234371927,273,213,60
153,1693234371927,1692262107813,1692262107997,1693234372162,235,184,51
154,1693234372162,1692262108056,1692262108228,1693234372393,231,172,59
155,1693234372393,1692262108268,1692262108440,1693234372605,212,172,40
156,1693234372605,1692262108469,1692262108640,1693234372805,200,171,29
157,1693234372805,1692262108683,1692262108859,1693234373023,218,176,42
158,1693234373023,1692262108889,1692262109065,1693234373230,207,176,31
159,1693234373230,1692262109096,1692262109277,1693234373442,212,181,31
160,1693234373442,1692262109309,1692262109643,1693234373807,365,334,31
161,1693234373808,1692262109691,1692262109968,1693234374132,324,277,47
162,1693234374132,1692262110002,1692262110221,1693234374386,254,219,35
