Linux 4.9.253-tegra (nano-desktop) 	08/17/2023 	_aarch64_	(4 CPU)

02:32:03 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
02:32:04 AM     all      1.26      0.00     30.40      0.00      0.00      0.50      0.50      0.00      0.00     67.34
02:32:05 AM     all      1.00      0.00     15.50      0.00      0.00      0.50      0.25      0.00      0.00     82.75
02:32:06 AM     all      1.26      0.00     16.58      0.00      0.00      0.25      0.50      0.00      0.00     81.41
02:32:07 AM     all      1.00      0.00     16.50      1.50      0.00      0.50      0.50      0.00      0.00     80.00
02:32:08 AM     all      1.76      0.00     15.08      0.00      0.00      0.25      0.25      0.00      0.00     82.66
02:32:09 AM     all      1.00      0.00     16.96      0.00      0.00      0.50      0.50      0.00      0.00     81.05
02:32:10 AM     all      1.25      0.00     19.55      0.00      0.00      0.50      0.25      0.00      0.00     78.45
02:32:11 AM     all      1.50      0.00     16.00      0.00      0.00      0.25      0.50      0.00      0.00     81.75
02:32:12 AM     all      1.76      0.00     15.33      0.00      0.00      0.50      0.50      0.00      0.00     81.91
02:32:13 AM     all      0.76      0.00     15.40      0.00      0.00      0.25      0.25      0.00      0.00     83.33
02:32:14 AM     all      1.75      0.00     15.96      0.00      0.00      0.50      0.50      0.00      0.00     81.30
02:32:15 AM     all      0.51      0.00     16.41      0.00      0.00      0.25      0.25      0.00      0.00     82.58
02:32:16 AM     all      1.26      0.00     15.08      0.00      0.00      0.50      0.50      0.00      0.00     82.66
02:32:17 AM     all      0.76      0.00     15.37      0.25      0.00      0.25      0.25      0.00      0.00     83.12
02:32:18 AM     all      0.75      0.00     17.09      0.00      0.00      0.50      0.50      0.00      0.00     81.16
02:32:19 AM     all      1.25      0.00     12.53      0.00      0.00      0.25      0.25      0.00      0.00     85.71
02:32:20 AM     all      1.24      0.00     17.66      0.00      0.00      0.50      0.50      0.00      0.00     80.10
02:32:21 AM     all      0.75      0.00     17.29      0.00      0.00      0.25      0.25      0.00      0.00     81.45
02:32:22 AM     all      1.26      0.00     16.62      0.00      0.00      0.50      0.50      0.00      0.00     81.11
02:32:23 AM     all      1.00      0.00     15.04      0.00      0.00      0.50      0.25      0.00      0.00     83.21
02:32:24 AM     all      1.25      0.00     18.75      0.00      0.00      0.25      0.50      0.00      0.00     79.25
02:32:25 AM     all      1.50      0.00     17.54      0.00      0.00      0.50      0.50      0.00      0.00     79.95
02:32:26 AM     all      0.75      0.00     16.58      0.00      0.00      0.50      0.25      0.00      0.00     81.91
02:32:27 AM     all      1.50      0.00     16.54      0.00      0.00      0.25      0.50      0.00      0.00     81.20
02:32:28 AM     all      1.50      0.00     16.54      0.25      0.00      0.50      0.25      0.00      0.00     80.95
02:32:29 AM     all      0.50      0.00     19.90      0.00      0.00      0.25      0.50      0.00      0.00     78.84
02:32:30 AM     all      1.00      0.00     15.04      0.00      0.00      0.50      0.25      0.00      0.00     83.21
02:32:31 AM     all      1.26      0.00     16.33      0.00      0.00      0.25      0.25      0.00      0.00     81.91
02:32:32 AM     all      1.00      0.00     16.29      0.00      0.00      0.50      0.50      0.00      0.00     81.70
02:32:33 AM     all      1.25      0.00     27.07      1.00      0.00      0.25      0.25      0.00      0.00     70.18
02:32:34 AM     all      0.50      0.00     96.03      1.24      0.00      0.50      0.25      0.00      0.00      1.49
02:32:35 AM     all      0.50      0.00     93.78      2.74      0.00      0.50      0.25      0.00      0.00      2.24
02:32:36 AM     all      0.25      0.00     94.97      1.76      0.00      0.50      0.25      0.00      0.00      2.26
02:32:37 AM     all      0.25      0.00     97.26      1.25      0.00      0.25      0.00      0.00      0.00      1.00
02:32:38 AM     all      1.25      0.00     92.48      2.51      0.00      0.75      0.25      0.00      0.00      2.76
02:32:39 AM     all      0.25      0.00     95.98      1.76      0.00      0.25      0.25      0.00      0.00      1.51
02:32:40 AM     all      1.25      0.00     93.02      2.49      0.00      0.50      0.25      0.00      0.00      2.49
02:32:41 AM     all      0.50      0.00     95.01      1.50      0.00      0.50      0.00      0.00      0.00      2.49
02:32:42 AM     all      0.50      0.00     93.27      1.75      0.00      0.50      0.25      0.00      0.00      3.74
02:32:43 AM     all      0.50      0.00     94.76      2.00      0.00      0.25      0.25      0.00      0.00      2.24
02:32:44 AM     all      0.74      0.00     92.80      3.23      0.00      0.50      0.00      0.00      0.00      2.73
02:32:45 AM     all      0.50      0.00     94.29      2.48      0.00      0.50      0.25      0.00      0.00      1.99
02:32:46 AM     all      0.50      0.00     94.72      2.01      0.00      0.50      0.25      0.00      0.00      2.01
02:32:47 AM     all      0.74      0.00     94.81      1.73      0.00      0.49      0.25      0.00      0.00      1.98
02:32:48 AM     all      0.25      0.00     95.23      1.26      0.00      0.25      0.00      0.00      0.00      3.02
02:32:49 AM     all      0.75      0.00     94.25      2.25      0.00      0.50      0.25      0.00      0.00      2.00
02:32:50 AM     all      0.74      0.00     94.79      1.74      0.00      0.50      0.25      0.00      0.00      1.99
02:32:51 AM     all      0.25      0.00     93.94      2.27      0.00      0.25      0.00      0.00      0.00      3.28
02:32:52 AM     all      0.50      0.00     95.51      1.50      0.00      0.50      0.25      0.00      0.00      1.75
02:32:53 AM     all      0.99      0.00     93.80      1.74      0.00      0.50      0.25      0.00      0.00      2.73
02:32:54 AM     all      0.50      0.00     92.98      2.76      0.00      0.75      0.25      0.00      0.00      2.76
02:32:55 AM     all      0.75      0.00     94.51      2.00      0.00      0.50      0.25      0.00      0.00      2.00
02:32:56 AM     all      0.75      0.00     94.47      1.76      0.00      0.50      0.25      0.00      0.00      2.26
02:32:57 AM     all      1.00      0.00     92.54      2.49      0.00      0.50      0.25      0.00      0.00      3.23
02:32:58 AM     all      1.01      0.00     94.95      1.77      0.00      0.51      0.00      0.00      0.00      1.77
02:32:59 AM     all      1.01      0.00     92.71      2.76      0.00      0.50      0.25      0.00      0.00      2.76
02:33:00 AM     all      0.75      0.00     92.48      2.76      0.00      0.50      0.25      0.00      0.00      3.26
02:33:01 AM     all      0.25      0.00     95.30      2.23      0.00      0.25      0.25      0.00      0.00      1.73
