request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693236987121,1692264723020,1692264723191,1693236987331,210,171,39
2,1693236987331,1692264723257,1692264723426,1693236987565,234,169,65
3,1693236987565,1692264723488,1692264723656,1693236987796,231,168,63
4,1693236987796,1692264723694,1692264723864,1693236988170,374,170,204
5,1693236988170,1692264724052,1692264724222,1693236988362,192,170,22
6,1693236988362,1692264724263,1692264724426,1693236988564,202,163,39
7,1693236988564,1692264724480,1692264724643,1693236988789,225,163,62
8,1693236988789,1692264724688,1692264724851,1693236988989,200,163,37
9,1693236988989,1692264725140,1692264725304,1693236989444,455,164,291
10,1693236989444,1692264725356,1692264725519,1693236989657,213,163,50
11,1693236989657,1692264725582,1692264725747,1693236989885,228,165,63
12,1693236989885,1692264725799,1692264725963,1693236990267,382,164,218
13,1693236990267,1692264726167,1692264726331,1693236990469,202,164,38
14,1693236990469,1692264726362,1692264726524,1693236990665,196,162,34
15,1693236990665,1692264726592,1692264726757,1693236990895,230,165,65
16,1693236990895,1692264726811,1692264726974,1693236991317,422,163,259
17,1693236991317,1692264727227,1692264727390,1693236991528,211,163,48
18,1693236991528,1692264727419,1692264727581,1693236991720,192,162,30
19,1693236991720,1692264727615,1692264727777,1693236991932,212,162,50
20,1693236991932,1692264727844,1692264728007,1693236992365,433,163,270
21,1693236992365,1692264728271,1692264728433,1693236992571,206,162,44
22,1693236992571,1692264728476,1692264728641,1693236992779,208,165,43
23,1693236992779,1692264728676,1692264728837,1693236992975,196,161,35
24,1693236992975,1692264728868,1692264729031,1693236993174,199,163,36
25,1693236993174,1692264729298,1692264729462,1693236993599,425,164,261
26,1693236993600,1692264729502,1692264729663,1693236993803,203,161,42
27,1693236993804,1692264729685,1692264729846,1693236993984,180,161,19
28,1693236993984,1692264729899,1692264730061,1693236994199,215,162,53
29,1693236994199,1692264730097,1692264730259,1693236994463,264,162,102
30,1693236994463,1692264730395,1692264730558,1693236994696,233,163,70
31,1693236994697,1692264730583,1692264730745,1693236994883,186,162,24
32,1693236994884,1692264730810,1692264730974,1693236995112,228,164,64
33,1693236995112,1692264731017,1692264731179,1693236995511,399,162,237
34,1693236995511,1692264731422,1692264731585,1693236995723,212,163,49
35,1693236995723,1692264731622,1692264731784,1693236995922,199,162,37
36,1693236995922,1692264731816,1692264731977,1693236996115,193,161,32
37,1693236996115,1692264732022,1692264732187,1693236996325,210,165,45
38,1693236996325,1692264732451,1692264732620,1693236996758,433,169,264
39,1693236996758,1692264732663,1692264732826,1693236996964,206,163,43
40,1693236996964,1692264732889,1692264733051,1693236997189,225,162,63
41,1693236997189,1692264733086,1692264733248,1693236997386,197,162,35
42,1693236997386,1692264733504,1692264733667,1693236997804,418,163,255
43,1693236997805,1692264733719,1692264733881,1693236998019,214,162,52
