Linux 4.9.253-tegra (nano-desktop) 	08/17/2023 	_aarch64_	(4 CPU)

02:10:23 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
02:10:24 AM     all      2.51      0.00     34.84      0.00      0.00      1.00      0.75      0.00      0.00     60.90
02:10:25 AM     all      1.75      0.00     23.25      0.00      0.00      0.25      0.50      0.00      0.00     74.25
02:10:26 AM     all      2.23      0.00     20.35      0.00      0.00      0.50      0.50      0.00      0.00     76.43
02:10:27 AM     all      1.26      0.00     22.86      0.25      0.00      0.50      0.25      0.00      0.00     74.87
02:10:28 AM     all      1.75      0.00     22.31      0.00      0.00      0.50      0.50      0.00      0.00     74.94
02:10:29 AM     all      1.50      0.00     20.55      0.00      0.00      0.50      0.50      0.00      0.00     76.94
02:10:30 AM     all      1.51      0.00     22.61      0.00      0.00      0.50      0.50      0.00      0.00     74.87
02:10:31 AM     all      0.76      0.00     22.22      0.00      0.00      0.25      0.51      0.00      0.00     76.26
02:10:32 AM     all      1.52      0.00     20.45      0.25      0.00      0.51      0.51      0.00      0.00     76.77
02:10:33 AM     all      1.50      0.00     21.25      0.00      0.00      0.50      0.25      0.00      0.00     76.50
02:10:34 AM     all      1.25      0.00     23.31      0.00      0.00      0.50      0.50      0.00      0.00     74.44
02:10:35 AM     all      1.75      0.00     21.95      0.00      0.00      0.50      0.50      0.00      0.00     75.31
02:10:36 AM     all      1.26      0.00     22.22      0.00      0.00      0.25      0.51      0.00      0.00     75.76
02:10:37 AM     all      1.01      0.00     22.86      0.00      0.00      0.50      0.25      0.00      0.00     75.38
02:10:38 AM     all      1.00      0.00     23.25      0.25      0.00      0.50      0.50      0.00      0.00     74.50
02:10:39 AM     all      1.50      0.00     21.80      0.00      0.00      0.50      0.50      0.00      0.00     75.69
02:10:40 AM     all      1.51      0.00     20.60      0.00      0.00      0.50      0.50      0.00      0.00     76.88
02:10:41 AM     all      1.00      0.00     23.25      0.00      0.00      0.25      0.50      0.00      0.00     75.00
02:10:42 AM     all      1.26      0.00     23.68      0.00      0.00      0.50      0.25      0.00      0.00     74.31
02:10:43 AM     all      0.76      0.00     21.41      0.00      0.00      0.50      0.50      0.00      0.00     76.83
02:10:44 AM     all      2.01      0.00     21.80      0.00      0.00      0.50      0.50      0.00      0.00     75.19
02:10:45 AM     all      1.51      0.00     22.42      0.00      0.00      0.25      0.50      0.00      0.00     75.31
02:10:46 AM     all      1.51      0.00     20.60      0.00      0.00      0.50      0.50      0.00      0.00     76.88
