request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693236333925,1692264069874,1692264070062,1693236334308,383,188,195
2,1693236334308,1692264070238,1692264070420,1693236334567,259,182,77
3,1693236334567,1692264070461,1692264070645,1693236334793,226,184,42
4,1693236334793,1692264070804,1692264070987,1693236335134,341,183,158
5,1693236335134,1692264071012,1692264071197,1693236335343,209,185,24
6,1693236335343,1692264071241,1692264071416,1693236335561,218,175,43
7,1693236335561,1692264071450,1692264071620,1693236335765,204,170,34
8,1693236335765,1692264071674,1692264071846,1693236335991,226,172,54
9,1693236335991,1692264071887,1692264072060,1693236336205,214,173,41
10,1693236336205,1692264072114,1692264072287,1693236336432,227,173,54
11,1693236336432,1692264072336,1692264072509,1693236336654,222,173,49
12,1693236336654,1692264072574,1692264072745,1693236336890,236,171,65
13,1693236336890,1692264072793,1692264072965,1693236337110,220,172,48
14,1693236337110,1692264073040,1692264073214,1693236337358,248,174,74
15,1693236337358,1692264073275,1692264073450,1693236337595,237,175,62
16,1693236337595,1692264073487,1692264073658,1693236337803,208,171,37
17,1693236337803,1692264073713,1692264073884,1693236338029,226,171,55
18,1693236338029,1692264073918,1692264074087,1693236338232,203,169,34
19,1693236338232,1692264074144,1692264074315,1693236338460,228,171,57
20,1693236338460,1692264074356,1692264074526,1693236338671,211,170,41
21,1693236338671,1692264074562,1692264074733,1693236338877,206,171,35
22,1693236338877,1692264074760,1692264074929,1693236339074,197,169,28
23,1693236339074,1692264074956,1692264075126,1693236339271,197,170,27
24,1693236339271,1692264075160,1692264075329,1693236339474,203,169,34
25,1693236339474,1692264075387,1692264075562,1693236339708,234,175,59
26,1693236339709,1692264075599,1692264075770,1693236339915,206,171,35
27,1693236339915,1692264075823,1692264075996,1693236340141,226,173,53
28,1693236340141,1692264076040,1692264076211,1693236340356,215,171,44
29,1693236340356,1692264076239,1692264076409,1693236340554,198,170,28
30,1693236340554,1692264076454,1692264076625,1693236340769,215,171,44
31,1693236340770,1692264076660,1692264076833,1693236340978,208,173,35
32,1693236340978,1692264076867,1692264077035,1693236341180,202,168,34
33,1693236341180,1692264077069,1692264077241,1693236341386,206,172,34
34,1693236341386,1692264077294,1692264077466,1693236341611,225,172,53
35,1693236341611,1692264077514,1692264077687,1693236341832,221,173,48
36,1693236341832,1692264077731,1692264077904,1693236342048,216,173,43
37,1693236342048,1692264077959,1692264078131,1693236342278,230,172,58
38,1693236342278,1692264078218,1692264078389,1693236342534,256,171,85
39,1693236342534,1692264078420,1692264078590,1693236342735,201,170,31
40,1693236342735,1692264078626,1692264078795,1693236342940,205,169,36
41,1693236342940,1692264078851,1692264079024,1693236343169,229,173,56
42,1693236343169,1692264079084,1692264079256,1693236343401,232,172,60
43,1693236343401,1692264079314,1692264079487,1693236343632,231,173,58
44,1693236343632,1692264079531,1692264079704,1693236343849,217,173,44
45,1693236343849,1692264079737,1692264079910,1693236344055,206,173,33
46,1693236344055,1692264079952,1692264080124,1693236344268,213,172,41
47,1693236344268,1692264080180,1692264080351,1693236344496,228,171,57
48,1693236344496,1692264080386,1692264080556,1693236344701,205,170,35
49,1693236344701,1692264080611,1692264080787,1693236344931,230,176,54
50,1693236344931,1692264080834,1692264081006,1693236345151,220,172,48
51,1693236345151,1692264081048,1692264081219,1693236345364,213,171,42
52,1693236345364,1692264081283,1692264081455,1693236345600,236,172,64
53,1693236345600,1692264081500,1692264081672,1693236345817,217,172,45
54,1693236345817,1692264081730,1692264081905,1693236346049,232,175,57
55,1693236346050,1692264081975,1692264082148,1693236346293,243,173,70
56,1693236346293,1692264082177,1692264082347,1693236346492,199,170,29
57,1693236346492,1692264082390,1692264082561,1693236346706,214,171,43
58,1693236346706,1692264082605,1692264082776,1693236346921,215,171,44
59,1693236346921,1692264082826,1692264082998,1693236347143,222,172,50
60,1693236347143,1692264083049,1692264083221,1693236347366,223,172,51
61,1693236347366,1692264083267,1692264083439,1693236347584,218,172,46
62,1693236347584,1692264083462,1692264083629,1693236347774,190,167,23
63,1693236347774,1692264083687,1692264083859,1693236348004,230,172,58
64,1693236348004,1692264083890,1692264084060,1693236348205,201,170,31
65,1693236348205,1692264084107,1692264084280,1693236348427,222,173,49
66,1693236348427,1692264084313,1692264084483,1693236348627,200,170,30
67,1693236348627,1692264084536,1692264084706,1693236348851,224,170,54
68,1693236348851,1692264084761,1692264084932,1693236349077,226,171,55
69,1693236349077,1692264084975,1692264085146,1693236349297,220,171,49
70,1693236349297,1692264085238,1692264085408,1693236349558,261,170,91
71,1693236349558,1692264085589,1692264085762,1693236349918,360,173,187
72,1693236349918,1692264086069,1692264086241,1693236350385,467,172,295
73,1693236350385,1692264086293,1692264086466,1693236350611,226,173,53
74,1693236350611,1692264086528,1692264086702,1693236350846,235,174,61
75,1693236350846,1692264086758,1692264086932,1693236351076,230,174,56
76,1693236351076,1692264086972,1692264087142,1693236351290,214,170,44
77,1693236351290,1692264087200,1692264087375,1693236351519,229,175,54
78,1693236351519,1692264087409,1692264087578,1693236351723,204,169,35
79,1693236351723,1692264087608,1692264087780,1693236351924,201,172,29
80,1693236351924,1692264087809,1692264087978,1693236352122,198,169,29
81,1693236352122,1692264088018,1692264088187,1693236352332,210,169,41
82,1693236352332,1692264088220,1692264088390,1693236352535,203,170,33
83,1693236352535,1692264088431,1692264088602,1693236352746,211,171,40
84,1693236352746,1692264088631,1692264088802,1693236352946,200,171,29
85,1693236352946,1692264088835,1692264089008,1693236353152,206,173,33
86,1693236353152,1692264089055,1692264089228,1693236353372,220,173,47
87,1693236353372,1692264089262,1692264089432,1693236353576,204,170,34
88,1693236353576,1692264089464,1692264089633,1693236353777,201,169,32
89,1693236353777,1692264089676,1692264089848,1693236353992,215,172,43
90,1693236353992,1692264089882,1692264090051,1693236354195,203,169,34
91,1693236354195,1692264090088,1692264090259,1693236354404,209,171,38
92,1693236354404,1692264090293,1692264090461,1693236354605,201,168,33
93,1693236354605,1692264090491,1692264090661,1693236354805,200,170,30
94,1693236354805,1692264090690,1692264090861,1693236355005,200,171,29
95,1693236355005,1692264090878,1692264091050,1693236355194,189,172,17
96,1693236355194,1692264091115,1692264091288,1693236355432,238,173,65
97,1693236355432,1692264091350,1692264091521,1693236355665,233,171,62
98,1693236355665,1692264091581,1692264091753,1693236355897,232,172,60
99,1693236355897,1692264091812,1692264091984,1693236356129,232,172,60
100,1693236356129,1692264092021,1692264092192,1693236356336,207,171,36
101,1693236356337,1692264092224,1692264092394,1693236356539,202,170,32
102,1693236356539,1692264092426,1692264092595,1693236356740,201,169,32
103,1693236356740,1692264092628,1692264092800,1693236356944,204,172,32
104,1693236356944,1692264092833,1692264093007,1693236357151,207,174,33
105,1693236357152,1692264093072,1692264093246,1693236357393,241,174,67
106,1693236357393,1692264093315,1692264093489,1693236357633,240,174,66
107,1693236357633,1692264093521,1692264093689,1693236357836,203,168,35
108,1693236357836,1692264093752,1692264093926,1693236358070,234,174,60
109,1693236358070,1692264094000,1692264094173,1693236358317,247,173,74
110,1693236358318,1692264094254,1692264094427,1693236358572,254,173,81
111,1693236358572,1692264094459,1692264094629,1693236358773,201,170,31
112,1693236358773,1692264094663,1692264094833,1693236358978,205,170,35
113,1693236358978,1692264094882,1692264095057,1693236359201,223,175,48
114,1693236359202,1692264095098,1692264095270,1693236359415,213,172,41
115,1693236359415,1692264095306,1692264095478,1693236359623,208,172,36
116,1693236359623,1692264095527,1692264095699,1693236359844,221,172,49
117,1693236359844,1692264095752,1692264095924,1693236360068,224,172,52
118,1693236360068,1692264095973,1692264096146,1693236360291,223,173,50
119,1693236360291,1692264096198,1692264096370,1693236360517,226,172,54
120,1693236360517,1692264096409,1692264096581,1693236360725,208,172,36
121,1693236360725,1692264096612,1692264096782,1693236360928,203,170,33
122,1693236360928,1692264096832,1692264097005,1693236361150,222,173,49
