Linux 4.9.253-tegra (nano-desktop) 	08/17/2023 	_aarch64_	(4 CPU)

02:42:53 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
02:42:54 AM     all      1.52      0.00     29.29      0.00      0.00      0.51      0.76      0.00      0.00     67.93
02:42:55 AM     all      1.25      0.00     16.75      0.00      0.00      0.50      0.50      0.00      0.00     81.00
02:42:56 AM     all      1.00      0.00     12.78      0.00      0.00      0.25      0.25      0.00      0.00     85.71
02:42:57 AM     all      1.51      0.00     16.58      0.00      0.00      0.50      0.25      0.00      0.00     81.16
02:42:58 AM     all      1.01      0.00     15.83      0.00      0.00      0.25      0.50      0.00      0.00     82.41
02:42:59 AM     all      1.00      0.00     15.21      0.00      0.00      0.50      0.50      0.00      0.00     82.79
02:43:00 AM     all      2.51      0.00     16.08      0.00      0.00      0.25      0.25      0.00      0.00     80.90
02:43:01 AM     all      1.74      0.00     16.63      0.00      0.00      0.50      0.50      0.00      0.00     80.65
02:43:02 AM     all      0.51      0.00     14.90      0.25      0.00      0.25      0.25      0.00      0.00     83.84
02:43:03 AM     all      1.50      0.00     15.54      0.00      0.00      0.50      0.50      0.00      0.00     81.95
02:43:04 AM     all      1.50      0.00     15.25      0.00      0.00      0.25      0.50      0.00      0.00     82.50
02:43:05 AM     all      0.50      0.00     17.09      0.00      0.00      0.50      0.25      0.00      0.00     81.66
02:43:06 AM     all      1.00      0.00     17.04      0.00      0.00      0.25      0.50      0.00      0.00     81.20
02:43:07 AM     all      1.01      0.00     19.85      0.00      0.00      0.50      0.25      0.00      0.00     78.39
02:43:08 AM     all      1.51      0.00     13.82      0.00      0.00      0.50      0.50      0.00      0.00     83.67
02:43:09 AM     all      1.25      0.00     17.29      0.00      0.00      0.25      0.50      0.00      0.00     80.70
02:43:10 AM     all      0.50      0.00     16.12      0.00      0.00      0.50      0.25      0.00      0.00     82.62
02:43:11 AM     all      1.25      0.00     16.29      0.00      0.00      0.25      0.25      0.00      0.00     81.95
02:43:12 AM     all      2.00      0.00     14.71      0.25      0.00      0.50      0.50      0.00      0.00     82.04
02:43:13 AM     all      1.50      0.00     15.54      0.00      0.00      0.25      0.50      0.00      0.00     82.21
