request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693237636474,1692265372416,1692265372591,1693237636724,250,175,75
2,1693237636724,1692265372734,1692265372904,1693237637037,313,170,143
3,1693237637037,1692265372946,1692265373116,1693237637345,308,170,138
4,1693237637345,1692265373249,1692265373419,1693237637552,207,170,37
5,1693237637552,1692265373497,1692265373666,1693237637798,246,169,77
6,1693237637798,1692265373703,1692265373868,1693237638000,202,165,37
7,1693237638000,1692265373920,1692265374083,1693237638390,390,163,227
8,1693237638390,1692265374276,1692265374437,1693237638569,179,161,18
9,1693237638569,1692265374472,1692265374633,1693237638784,215,161,54
10,1693237638784,1692265374694,1692265374858,1693237638999,215,164,51
11,1693237638999,1692265374905,1692265375068,1693237639199,200,163,37
12,1693237639199,1692265375359,1692265375521,1693237639671,472,162,310
13,1693237639671,1692265375578,1692265375740,1693237639871,200,162,38
14,1693237639871,1692265375783,1692265375948,1693237640125,254,165,89
15,1693237640125,1692265376376,1692265376540,1693237640672,547,164,383
16,1693237640672,1692265376581,1692265376744,1693237640882,210,163,47
17,1693237640882,1692265376808,1692265376970,1693237641101,219,162,57
18,1693237641101,1692265377000,1692265377163,1693237641301,200,163,37
19,1693237641301,1692265377416,1692265377580,1693237641711,410,164,246
20,1693237641711,1692265377619,1692265377782,1693237641929,218,163,55
21,1693237641930,1692265377840,1692265378003,1693237642144,214,163,51
22,1693237642144,1692265378067,1692265378231,1693237642362,218,164,54
23,1693237642362,1692265378506,1692265378671,1693237642820,458,165,293
24,1693237642820,1692265378729,1692265378891,1693237643022,202,162,40
25,1693237643022,1692265378918,1692265379080,1693237643211,189,162,27
26,1693237643211,1692265379145,1692265379309,1693237643633,422,164,258
27,1693237643633,1692265379534,1692265379697,1693237643828,195,163,32
28,1693237643828,1692265379760,1692265379923,1693237644055,227,163,64
29,1693237644055,1692265379975,1692265380140,1693237644272,217,165,52
30,1693237644272,1692265380233,1692265380397,1693237644682,410,164,246
31,1693237644682,1692265380583,1692265380745,1693237644876,194,162,32
32,1693237644876,1692265380825,1692265380988,1693237645119,243,163,80
33,1693237645119,1692265381014,1692265381177,1693237645308,189,163,26
34,1693237645308,1692265381217,1692265381379,1693237645510,202,162,40
35,1693237645510,1692265381620,1692265381781,1693237645912,402,161,241
36,1693237645912,1692265381887,1692265382050,1693237646182,270,163,107
37,1693237646182,1692265382109,1692265382272,1693237646411,229,163,66
38,1693237646411,1692265382328,1692265382490,1693237646780,369,162,207
39,1693237646780,1692265382694,1692265382857,1693237646988,208,163,45
40,1693237646988,1692265382917,1692265383080,1693237647226,238,163,75
41,1693237647226,1692265383136,1692265383301,1693237647432,206,165,41
42,1693237647432,1692265383333,1692265383494,1693237647828,396,161,235
43,1693237647828,1692265383769,1692265383935,1693237648068,240,166,74
44,1693237648068,1692265383970,1692265384132,1693237648264,196,162,34
45,1693237648264,1692265384198,1692265384362,1693237648493,229,164,65
46,1693237648493,1692265384421,1692265384586,1693237648878,385,165,220
47,1693237648878,1692265384783,1692265384947,1693237649081,203,164,39
48,1693237649081,1692265385021,1692265385184,1693237649316,235,163,72
49,1693237649316,1692265385274,1692265385438,1693237649569,253,164,89
50,1693237649569,1692265385497,1692265385659,1693237649924,355,162,193
51,1693237649925,1692265385820,1692265385983,1693237650115,190,163,27
52,1693237650116,1692265386035,1692265386200,1693237650344,228,165,63
53,1693237650345,1692265386235,1692265386398,1693237650529,184,163,21
54,1693237650529,1692265386434,1692265386597,1693237650730,201,163,38
55,1693237650730,1692265386637,1692265386800,1693237650974,244,163,81
56,1693237650974,1692265386903,1692265387067,1693237651198,224,164,60
57,1693237651198,1692265387092,1692265387259,1693237651390,192,167,25
58,1693237651390,1692265387297,1692265387460,1693237651591,201,163,38
59,1693237651591,1692265387493,1692265387655,1693237651786,195,162,33
60,1693237651786,1692265387959,1692265388124,1693237652256,470,165,305
61,1693237652256,1692265388291,1692265388454,1693237652585,329,163,166
62,1693237652585,1692265388486,1692265388649,1693237652780,195,163,32
63,1693237652780,1692265388687,1692265388848,1693237653072,292,161,131
64,1693237653072,1692265388973,1692265389135,1693237653266,194,162,32
65,1693237653266,1692265389171,1692265389334,1693237653465,199,163,36
66,1693237653465,1692265389413,1692265389578,1693237653709,244,165,79
67,1693237653709,1692265389609,1692265389770,1693237654120,411,161,250
68,1693237654120,1692265390043,1692265390206,1693237654337,217,163,54
69,1693237654337,1692265390225,1692265390386,1693237654518,181,161,20
70,1693237654519,1692265390419,1692265390580,1693237654723,204,161,43
71,1693237654723,1692265390629,1692265390792,1693237654924,201,163,38
72,1693237654924,1692265391070,1692265391233,1693237655365,441,163,278
73,1693237655365,1692265391289,1692265391453,1693237655584,219,164,55
74,1693237655584,1692265391553,1692265391718,1693237655856,272,165,107
75,1693237655856,1692265391755,1692265391916,1693237656216,360,161,199
76,1693237656216,1692265392138,1692265392300,1693237656431,215,162,53
77,1693237656431,1692265392352,1692265392517,1693237656649,218,165,53
78,1693237656649,1692265392577,1692265392742,1693237656874,225,165,60
79,1693237656874,1692265392812,1692265392976,1693237657265,391,164,227
80,1693237657265,1692265393184,1692265393346,1693237657477,212,162,50
81,1693237657477,1692265393394,1692265393557,1693237657688,211,163,48
82,1693237657688,1692265393640,1692265393803,1693237657934,246,163,83
83,1693237657934,1692265393870,1692265394033,1693237658316,382,163,219
84,1693237658316,1692265394301,1692265394466,1693237658597,281,165,116
85,1693237658597,1692265394606,1692265394769,1693237658900,303,163,140
86,1693237658900,1692265394829,1692265394991,1693237659122,222,162,60
87,1693237659122,1692265395269,1692265395435,1693237659566,444,166,278
88,1693237659566,1692265395501,1692265395665,1693237659796,230,164,66
89,1693237659796,1692265395711,1692265395873,1693237660004,208,162,46
90,1693237660004,1692265395928,1692265396092,1693237660411,407,164,243
91,1693237660411,1692265396348,1692265396510,1693237660641,230,162,68
92,1693237660641,1692265396561,1692265396723,1693237660854,213,162,51
93,1693237660854,1692265396815,1692265396978,1693237661109,255,163,92
94,1693237661109,1692265397042,1692265397204,1693237661462,353,162,191
95,1693237661462,1692265397389,1692265397551,1693237661689,227,162,65
96,1693237661689,1692265397605,1692265397768,1693237661899,210,163,47
97,1693237661900,1692265397841,1692265398005,1693237662143,243,164,79
98,1693237662143,1692265398099,1692265398264,1693237662508,365,165,200
99,1693237662508,1692265398475,1692265398639,1693237662770,262,164,98
100,1693237662770,1692265398829,1692265398992,1693237663123,353,163,190
101,1693237663124,1692265399038,1692265399200,1693237663331,207,162,45
102,1693237663331,1692265399458,1692265399621,1693237663752,421,163,258
103,1693237663752,1692265399655,1692265399816,1693237663950,198,161,37
104,1693237663950,1692265399863,1692265400026,1693237664160,210,163,47
105,1693237664160,1692265400073,1692265400235,1693237664366,206,162,44
106,1693237664366,1692265400554,1692265400717,1693237664848,482,163,319
107,1693237664848,1692265400768,1692265400931,1693237665062,214,163,51
108,1693237665062,1692265400985,1692265401150,1693237665284,222,165,57
109,1693237665284,1692265401227,1692265401392,1693237665654,370,165,205
110,1693237665654,1692265401572,1692265401735,1693237665865,211,163,48
111,1693237665866,1692265401806,1692265401968,1693237666099,233,162,71
112,1693237666099,1692265402014,1692265402176,1693237666307,208,162,46
113,1693237666308,1692265402238,1692265402401,1693237666704,396,163,233
114,1693237666867,1692265402798,1692265403004,1693237667135,268,206,62
115,1693237667135,1692265403045,1692265403317,1693237667448,313,272,41
116,1693237667448,1692265403631,1692265403857,1693237667988,540,226,314
117,1693237667988,1692265403920,1692265404228,1693237668360,372,308,64
118,1693237668360,1692265404285,1692265404616,1693237668798,438,331,107
119,1693237668798,1692265404805,1692265405015,1693237669193,395,210,185
120,1693237669193,1692265405121,1692265405414,1693237669553,360,293,67
121,1693237669553,1692265405487,1692265405810,1693237669941,388,323,65
122,1693237669941,1692265405898,1692265406134,1693237670265,324,236,88
123,1693237670266,1692265406249,1692265406467,1693237670597,331,218,113
124,1693237670598,1692265406525,1692265406723,1693237670898,300,198,102
125,1693237670899,1692265406808,1692265407090,1693237671414,515,282,233
126,1693237671414,1692265407326,1692265407569,1693237671722,308,243,65
127,1693237671722,1692265407913,1692265408243,1693237672404,682,330,352
128,1693237672404,1692265408318,1692265408539,1693237672670,266,221,45
129,1693237672670,1692265408589,1692265408853,1693237672995,325,264,61
130,1693237672995,1692265409009,1692265409340,1693237673487,492,331,161
131,1693237673487,1692265409397,1692265409686,1693237673817,330,289,41
132,1693237673817,1692265409945,1692265410217,1693237674437,620,272,348
133,1693237674437,1692265410362,1692265410565,1693237674697,260,203,57
134,1693237674697,1692265410636,1692265410869,1693237675090,393,233,160
135,1693237675090,1692265411006,1692265411304,1693237675483,393,298,95
136,1693237675483,1692265411440,1692265411730,1693237675861,378,290,88
137,1693237675861,1692265411802,1692265412136,1693237676267,406,334,72
138,1693237676267,1692265412198,1692265412456,1693237676589,322,258,64
139,1693237676589,1692265412527,1692265412707,1693237676838,249,180,69
140,1693237676838,1692265412740,1692265412957,1693237677198,360,217,143
141,1693237677198,1692265413106,1692265413452,1693237677583,385,346,39
142,1693237677583,1692265413591,1692265413889,1693237678236,653,298,355
