Linux 4.9.253-tegra (nano-desktop) 	08/17/2023 	_aarch64_	(4 CPU)

01:25:37 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:25:38 AM     all     24.94      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00     74.31
01:25:39 AM     all     25.19      0.00      0.00      0.00      0.00      0.50      0.00      0.00      0.00     74.31
01:25:40 AM     all     24.94      0.00      0.00      0.00      0.00      0.50      0.25      0.00      0.00     74.31
01:25:41 AM     all     25.19      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.82
01:25:42 AM     all     25.06      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     73.93
01:25:43 AM     all     23.12      0.00      5.53      0.00      0.00      0.25      0.00      0.00      0.00     71.11
01:25:44 AM     all     21.30      0.00     10.53      0.00      0.00      0.75      0.25      0.00      0.00     67.17
01:25:45 AM     all     25.06      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     73.93
01:25:46 AM     all     25.31      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.68
01:25:47 AM     all     25.00      0.00      0.75      0.00      0.00      0.25      0.25      0.00      0.00     73.75
01:25:48 AM     all     25.06      0.00      0.50      0.25      0.00      0.50      0.00      0.00      0.00     73.68
01:25:49 AM     all     24.81      0.00      0.75      0.00      0.00      0.50      0.25      0.00      0.00     73.68
01:25:50 AM     all     24.62      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     74.37
01:25:51 AM     all     24.94      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     73.82
01:25:52 AM     all     25.13      0.00      0.50      0.00      0.00      0.25      0.00      0.00      0.00     74.12
01:25:53 AM     all     24.87      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     74.12
01:25:54 AM     all     25.06      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.93
01:25:55 AM     all     25.00      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     73.75
01:25:56 AM     all     25.13      0.00      0.25      0.00      0.00      0.25      0.00      0.00      0.00     74.37
01:25:57 AM     all     58.00      0.00      6.75      0.00      0.00      0.75      0.50      0.00      0.00     34.00
01:25:58 AM     all     76.94      0.00      1.00      0.00      0.00      0.75      0.25      0.00      0.00     21.05
01:25:59 AM     all     86.00      0.00      0.50      0.00      0.00      0.75      0.25      0.00      0.00     12.50
01:26:00 AM     all     81.70      0.00      1.75      0.00      0.00      0.75      0.25      0.00      0.00     15.54
01:26:01 AM     all     83.17      0.00      1.01      0.00      0.00      0.50      0.25      0.00      0.00     15.08
01:26:02 AM     all     85.00      0.00      0.75      0.00      0.00      0.75      0.25      0.00      0.00     13.25
01:26:03 AM     all     77.81      0.00      1.00      0.25      0.00      0.75      0.25      0.00      0.00     19.95
01:26:04 AM     all     90.00      0.00      1.00      0.00      0.00      0.75      0.25      0.00      0.00      8.00
01:26:05 AM     all     84.42      0.00      0.75      0.00      0.00      0.75      0.25      0.00      0.00     13.82
01:26:06 AM     all     85.00      0.00      1.50      0.00      0.00      1.00      0.25      0.00      0.00     12.25
01:26:07 AM     all     80.20      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     18.55
01:26:08 AM     all     68.94      0.00      0.51      0.00      0.00      0.76      0.25      0.00      0.00     29.55
01:26:09 AM     all     61.81      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     37.19
01:26:10 AM     all     77.89      0.00      0.50      0.00      0.00      0.75      0.25      0.00      0.00     20.60
01:26:11 AM     all     75.88      0.00      0.50      0.00      0.00      0.75      0.25      0.00      0.00     22.61
01:26:12 AM     all     85.21      0.00      0.50      0.00      0.00      0.75      0.25      0.00      0.00     13.28
01:26:13 AM     all     80.56      0.00      0.00      0.00      0.00      0.51      0.25      0.00      0.00     18.69
01:26:14 AM     all     78.70      0.00      0.75      0.00      0.00      0.75      0.25      0.00      0.00     19.55
