request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693232988918,1692260724925,1692260731297,1693232995522,6604,6372,232
2,1693232995523,1692260731399,1692260737787,1693233002083,6560,6388,172
3,1693233002083,1692260737942,1692260744414,1693233008593,6510,6472,38
4,1693233008594,1692260744506,1692260750799,1693233014978,6384,6293,91
5,1693233014979,1692260750830,1692260757097,1693233021276,6297,6267,30
6,1693233021449,1692260757311,1692260766780,1693233030959,9510,9469,41
7,1693233030960,1692260766816,1692260775926,1693233040119,9159,9110,49
8,1693233040120,1692260776720,1692260785372,1693233049593,9473,8652,821
9,1693233049593,1692260785457,1692260792339,1693233056583,6990,6882,108
10,1693233056623,1692260792524,1692260798794,1693233062973,6350,6270,80
11,1693233062975,1692260798923,1692260805193,1693233069383,6408,6270,138
12,1693233069384,1692260805243,1692260811514,1693233075692,6308,6271,37
13,1693233075693,1692260811567,1692260817861,1693233082051,6358,6294,64
14,1693233082053,1692260817905,1692260824185,1693233088363,6310,6280,30
15,1693233088562,1692260824417,1692260833746,1693233097924,9362,9329,33
16,1693233097925,1692260833793,1692260843026,1693233107210,9285,9233,52
17,1693233107211,1692260843072,1692260852315,1693233116566,9355,9243,112
18,1693233116566,1692260852429,1692260859371,1693233123550,6984,6942,42
19,1693233123558,1692260859410,1692260865685,1693233129863,6305,6275,30
20,1693233129863,1692260865747,1692260872018,1693233136195,6332,6271,61
21,1693233136196,1692260872054,1692260878327,1693233142504,6308,6273,35
22,1693233142505,1692260878385,1692260884669,1693233148846,6341,6284,57
23,1693233148847,1692260884705,1692260890973,1693233155150,6303,6268,35
24,1693233155431,1692260891295,1692260899821,1693233163998,8567,8526,41
25,1693233163999,1692260899858,1692260908409,1693233172795,8796,8551,245
26,1693233172796,1692260908652,1692260917590,1693233181766,8970,8938,32
27,1693233181767,1692260917628,1692260924977,1693233189154,7387,7349,38
28,1693233189162,1692260925013,1692260931282,1693233195459,6297,6269,28
29,1693233195459,1692260931323,1692260937598,1693233201775,6316,6275,41
30,1693233201776,1692260937633,1692260943906,1693233208082,6306,6273,33
31,1693233208083,1692260943941,1692260950209,1693233214386,6303,6268,35
32,1693233214386,1692260950248,1692260956522,1693233220699,6313,6274,39
33,1693233221030,1692260956896,1692260965355,1693233229585,8555,8459,96
34,1693233229587,1692260965469,1692260974081,1693233238262,8675,8612,63
35,1693233238263,1692260974123,1692260983313,1693233247490,9227,9190,37
36,1693233247490,1692260983357,1692260990515,1693233254695,7205,7158,47
37,1693233254702,1692260990554,1692260996829,1693233261004,6302,6275,27
38,1693233261005,1692260996861,1692261003139,1693233267396,6391,6278,113
39,1693233267397,1692261003247,1692261009534,1693233273712,6315,6287,28
40,1693233273712,1692261009579,1692261015847,1693233280023,6311,6268,43
41,1693233280024,1692261015881,1692261022148,1693233286432,6408,6267,141
42,1693233286604,1692261022471,1692261032120,1693233296370,9766,9649,117
43,1693233296370,1692261032227,1692261041276,1693233305451,9081,9049,32
44,1693233305452,1692261041314,1692261050072,1693233314247,8795,8758,37
45,1693233314248,1692261050107,1692261056971,1693233321148,6900,6864,36
46,1693233321158,1692261057013,1692261063280,1693233327455,6297,6267,30
47,1693233327456,1692261063316,1692261069586,1693233333761,6305,6270,35
48,1693233333762,1692261069623,1692261075903,1693233340078,6316,6280,36
49,1693233340079,1692261075950,1692261082216,1693233346391,6312,6266,46
50,1693233346392,1692261082250,1692261088521,1693233352695,6303,6271,32
51,1693233352865,1692261088730,1692261097678,1693233361853,8988,8948,40
52,1693233361854,1692261097722,1692261106674,1693233370849,8995,8952,43
53,1693233370850,1692261106713,1692261115160,1693233379335,8485,8447,38
54,1693233379336,1692261115208,1692261122313,1693233386488,7152,7105,47
55,1693233386496,1692261122350,1692261128616,1693233392790,6294,6266,28
56,1693233392791,1692261128651,1692261134917,1693233399091,6300,6266,34
57,1693233399092,1692261134957,1692261141229,1693233405403,6311,6272,39
58,1693233405404,1692261141276,1692261147552,1693233411726,6322,6276,46
59,1693233411727,1692261147585,1692261153868,1693233418087,6360,6283,77
60,1693233418257,1692261154113,1692261162891,1693233427065,8808,8778,30
61,1693233427066,1692261162951,1692261171724,1693233435919,8853,8773,80
62,1693233435920,1692261171791,1692261180496,1693233444675,8755,8705,50
63,1693233444676,1692261180539,1692261187766,1693233451940,7264,7227,37
64,1693233451949,1692261187802,1692261194070,1693233458244,6295,6268,27
65,1693233458245,1692261194113,1692261200386,1693233464560,6315,6273,42
66,1693233464561,1692261200416,1692261206686,1693233470860,6299,6270,29
67,1693233470861,1692261206716,1692261212989,1693233477163,6302,6273,29
68,1693233477163,1692261213028,1692261219296,1693233483552,6389,6268,121
69,1693233483723,1692261219587,1692261228653,1693233492826,9103,9066,37
70,1693233492827,1692261228695,1692261237600,1693233501775,8948,8905,43
71,1693233501776,1692261237638,1692261246490,1693233510664,8888,8852,36
72,1693233510665,1692261246574,1692261253802,1693233517975,7310,7228,82
73,1693233517983,1692261253854,1692261260122,1693233524296,6313,6268,45
74,1693233524297,1692261260162,1692261266430,1693233530603,6306,6268,38
75,1693233530604,1692261266462,1692261272755,1693233536928,6324,6293,31
76,1693233536929,1692261272789,1692261279059,1693233543252,6323,6270,53
77,1693233543253,1692261279112,1692261285386,1693233549562,6309,6274,35
78,1693233549733,1692261285641,1692261294542,1693233558715,8982,8901,81
79,1693233558716,1692261294589,1692261303862,1693233568034,9318,9273,45
80,1693233568035,1692261303904,1692261312784,1693233576957,8922,8880,42
81,1693233576958,1692261312819,1692261319872,1693233584044,7086,7053,33
82,1693233584052,1692261319909,1692261326186,1693233590359,6307,6277,30
83,1693233590359,1692261326219,1692261332488,1693233596660,6301,6269,32
84,1693233596661,1692261332518,1692261338785,1693233602957,6296,6267,29
85,1693233602958,1692261338825,1692261345090,1693233609263,6305,6265,40
86,1693233609263,1692261345121,1692261351395,1693233615567,6304,6274,30
87,1693233615735,1692261351608,1692261360465,1693233624682,8947,8857,90
88,1693233624683,1692261360553,1692261369663,1693233633835,9152,9110,42
89,1693233633836,1692261369704,1692261378981,1693233643153,9317,9277,40
90,1693233643154,1692261379019,1692261386086,1693233650286,7132,7067,65
91,1693233650298,1692261386161,1692261392415,1693233656587,6289,6254,35
92,1693233656589,1692261392460,1692261398717,1693233662888,6299,6257,42
93,1693233662889,1692261398752,1692261405019,1693233669191,6302,6267,35
94,1693233669193,1692261405053,1692261411317,1693233675549,6356,6264,92
95,1693233675550,1692261411408,1692261417687,1693233681897,6347,6279,68
