request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693228024581,1692255760655,1692255767802,1693228032182,7601,7147,454
2,1693228032185,1692255767997,1692255775113,1693228039521,7336,7116,220
3,1693228039524,1692255775640,1692255782635,1693228046866,7342,6995,347
4,1693228046867,1692255782669,1692255789693,1693228053923,7056,7024,32
5,1693228053925,1692255789726,1692255796762,1693228060992,7067,7036,31
6,1693228061169,1692255796994,1692255804471,1693228068883,7714,7477,237
7,1693228068883,1692255804708,1692255811875,1693228076220,7337,7167,170
8,1693228076221,1692255812052,1692255819132,1693228083560,7339,7080,259
9,1693228083561,1692255819364,1692255826426,1693228090656,7095,7062,33
10,1693228090656,1692255826677,1692255833634,1693228098247,7591,6957,634
11,1693228098255,1692255834067,1692255841095,1693228105324,7069,7028,41
12,1693228105325,1692255841371,1692255848323,1693228112553,7228,6952,276
13,1693228112554,1692255848358,1692255855318,1693228119604,7050,6960,90
14,1693228119605,1692255855440,1692255862465,1693228126708,7103,7025,78
15,1693228126711,1692255862523,1692255869491,1693228133893,7182,6968,214
16,1693228134074,1692255869909,1692255877296,1693228141525,7451,7387,64
17,1693228141526,1692255877437,1692255884656,1693228148964,7438,7219,219
18,1693228148964,1692255884800,1692255891812,1693228156041,7077,7012,65
19,1693228156042,1692255891855,1692255898961,1693228163250,7208,7106,102
20,1693228163251,1692255899056,1692255906023,1693228170252,7001,6967,34
21,1693228170262,1692255906086,1692255913048,1693228177277,7015,6962,53
22,1693228177278,1692255913089,1692255920063,1693228184292,7014,6974,40
23,1693228184293,1692255920098,1692255927089,1693228191318,7025,6991,34
24,1693228191319,1692255927352,1692255934381,1693228198609,7290,7029,261
25,1693228198610,1692255934420,1692255941412,1693228205640,7030,6992,38
26,1693228205816,1692255941618,1692255949086,1693228213333,7517,7468,49
27,1693228213334,1692255949144,1692255956201,1693228220429,7095,7057,38
28,1693228220430,1692255956242,1692255963340,1693228227672,7242,7098,144
29,1693228227673,1692255963515,1692255970605,1693228234833,7160,7090,70
30,1693228234834,1692255970639,1692255977670,1693228241898,7064,7031,33
31,1693228241906,1692255977715,1692255984683,1693228248911,7005,6968,37
32,1693228248912,1692255984734,1692255991784,1693228256013,7101,7050,51
33,1693228256014,1692255991821,1692255998785,1693228263013,6999,6964,35
34,1693228263015,1692255998832,1692256005783,1693228270205,7190,6951,239
35,1693228270207,1692256006016,1692256012981,1693228277210,7003,6965,38
36,1693228277545,1692256013357,1692256020887,1693228285114,7569,7530,39
37,1693228285115,1692256020926,1692256027979,1693228292222,7107,7053,54
38,1693228292223,1692256028027,1692256035037,1693228299270,7047,7010,37
39,1693228299271,1692256035071,1692256042123,1693228306351,7080,7052,28
40,1693228306351,1692256042154,1692256049116,1693228313344,6993,6962,31
41,1693228313352,1692256049158,1692256056194,1693228320532,7180,7036,144
42,1693228320533,1692256056338,1692256063299,1693228327526,6993,6961,32
43,1693228327527,1692256063330,1692256070336,1693228334564,7037,7006,31
44,1693228334564,1692256070368,1692256077339,1693228341566,7002,6971,31
45,1693228341567,1692256077386,1692256084430,1693228348711,7144,7044,100
46,1693228348891,1692256084698,1692256092614,1693228356861,7970,7916,54
47,1693228356863,1692256092668,1692256099729,1693228363956,7093,7061,32
48,1693228363956,1692256099760,1692256106793,1693228371019,7063,7033,30
49,1693228371020,1692256106826,1692256113887,1693228378114,7094,7061,33
50,1693228378115,1692256113919,1692256120876,1693228385102,6987,6957,30
51,1693228385109,1692256120911,1692256127942,1693228392227,7118,7031,87
52,1693228392231,1692256128032,1692256134989,1693228399216,6985,6957,28
53,1693228399219,1692256135020,1692256141986,1693228406212,6993,6966,27
54,1693228406214,1692256142016,1692256148967,1693228413253,7039,6951,88
55,1693228413254,1692256149057,1692256156020,1693228420246,6992,6963,29
56,1693228420424,1692256156225,1692256163554,1693228427963,7539,7329,210
57,1693228427964,1692256163766,1692256170860,1693228435086,7122,7094,28
58,1693228435088,1692256170891,1692256177899,1693228442126,7038,7008,30
59,1693228442126,1692256177933,1692256184995,1693228449221,7095,7062,33
60,1693228449221,1692256185039,1692256192012,1693228456238,7017,6973,44
61,1693228456246,1692256192052,1692256199018,1693228463244,6998,6966,32
62,1693228463246,1692256199054,1692256206080,1693228470306,7060,7026,34
63,1693228470307,1692256206115,1692256213068,1693228477294,6987,6953,34
64,1693228477295,1692256213103,1692256220053,1693228484281,6986,6950,36
65,1693228484282,1692256220084,1692256227052,1693228491277,6995,6968,27
66,1693228491456,1692256227261,1692256234781,1693228499007,7551,7520,31
67,1693228499009,1692256234812,1692256241875,1693228506198,7189,7063,126
68,1693228506199,1692256242001,1692256249015,1693228513239,7040,7014,26
69,1693228513240,1692256249046,1692256256104,1693228520413,7173,7058,115
70,1693228520415,1692256256233,1692256263190,1693228527419,7004,6957,47
71,1693228527426,1692256263248,1692256270209,1693228534459,7033,6961,72
72,1693228534460,1692256270267,1692256277215,1693228541440,6980,6948,32
73,1693228541441,1692256277246,1692256284210,1693228548435,6994,6964,30
74,1693228548435,1692256284238,1692256291245,1693228555470,7035,7007,28
75,1693228555471,1692256291274,1692256298235,1693228562467,6996,6961,35
76,1693228562644,1692256298446,1692256305946,1693228570170,7526,7500,26
77,1693228570171,1692256305980,1692256313186,1693228577411,7240,7206,34
78,1693228577412,1692256313217,1692256320278,1693228584502,7090,7061,29
79,1693228584503,1692256320309,1692256327391,1693228591697,7194,7082,112
80,1693228591698,1692256327500,1692256334459,1693228598683,6985,6959,26
81,1693228598692,1692256334508,1692256341472,1693228605727,7035,6964,71
82,1693228605727,1692256341543,1692256348501,1693228612725,6998,6958,40
83,1693228612726,1692256348539,1692256355509,1693228619734,7008,6970,38
84,1693228619734,1692256355543,1692256362497,1693228626721,6987,6954,33
85,1693228626722,1692256362529,1692256369500,1693228633724,7002,6971,31
86,1693228633905,1692256369711,1692256377120,1693228641344,7439,7409,30
87,1693228641345,1692256377155,1692256384344,1693228648633,7288,7189,99
88,1693228648634,1692256384443,1692256391447,1693228655671,7037,7004,33
89,1693228655672,1692256391484,1692256398547,1693228662771,7099,7063,36
90,1693228662772,1692256398577,1692256405536,1693228669760,6988,6959,29
91,1693228669767,1692256405572,1692256412536,1693228676759,6992,6964,28
92,1693228676760,1692256412574,1692256419526,1693228683858,7098,6952,146
93,1693228683861,1692256419674,1692256426629,1693228690865,7004,6955,49
94,1693228690866,1692256426673,1692256433613,1693228697888,7022,6940,82
95,1693228697889,1692256433696,1692256440653,1693228704877,6988,6957,31
96,1693228705054,1692256440862,1692256448320,1693228712608,7554,7458,96
97,1693228712608,1692256448423,1692256455530,1693228719756,7148,7107,41
98,1693228719756,1692256455569,1692256462596,1693228726820,7064,7027,37
99,1693228726820,1692256462630,1692256469707,1693228733930,7110,7077,33
100,1693228733930,1692256469735,1692256476780,1693228741103,7173,7045,128
101,1693228741113,1692256476918,1692256483874,1693228748097,6984,6956,28
102,1693228748098,1692256483902,1692256490845,1693228755121,7023,6943,80
103,1693228755121,1692256490931,1692256497884,1693228762107,6986,6953,33
104,1693228762108,1692256497920,1692256504871,1693228769094,6986,6951,35
105,1693228769095,1692256504905,1692256511851,1693228776074,6979,6946,33
