Linux 4.9.253-tegra (nano-desktop) 	08/17/2023 	_aarch64_	(4 CPU)

12:15:50 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
12:15:51 AM     all     25.13      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     73.62
12:15:52 AM     all     25.19      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00     74.06
12:15:53 AM     all     25.19      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.80
12:15:54 AM     all     25.19      0.00      0.00      0.00      0.00      0.50      0.25      0.00      0.00     74.06
12:15:55 AM     all     25.32      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00     74.18
12:15:56 AM     all     25.25      0.00      0.25      0.25      0.00      0.25      0.00      0.00      0.00     73.99
12:15:57 AM     all     23.31      0.00      5.51      0.00      0.00      0.50      0.25      0.00      0.00     70.43
12:15:58 AM     all     64.50      0.00     17.00      0.00      0.00      1.00      0.50      0.00      0.00     17.00
12:15:59 AM     all     98.74      0.00      0.75      0.00      0.00      0.50      0.00      0.00      0.00      0.00
12:16:00 AM     all     57.64      0.00      1.75      0.00      0.00      0.75      0.25      0.00      0.00     39.60
12:16:01 AM     all     66.33      0.00      0.75      0.00      0.00      0.50      0.00      0.00      0.00     32.41
12:16:02 AM     all     98.50      0.00      0.75      0.00      0.00      0.75      0.00      0.00      0.00      0.00
12:16:03 AM     all     59.19      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     39.80
12:16:04 AM     all     80.00      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     19.00
12:16:05 AM     all     91.71      0.00      0.50      0.00      0.00      0.75      0.00      0.00      0.00      7.04
12:16:06 AM     all     58.79      0.00      0.50      0.25      0.00      0.50      0.50      0.00      0.00     39.45
12:16:07 AM     all     98.50      0.00      0.75      0.00      0.00      0.75      0.00      0.00      0.00      0.00
12:16:08 AM     all     77.39      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     21.36
12:16:09 AM     all     67.84      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     30.90
12:16:10 AM     all     98.50      0.00      0.75      0.00      0.00      0.75      0.00      0.00      0.00      0.00
12:16:11 AM     all     65.66      0.00      0.75      0.00      0.00      0.50      0.25      0.00      0.00     32.83
12:16:12 AM     all     84.92      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     14.07
12:16:13 AM     all     90.75      0.00      0.75      0.00      0.00      0.75      0.25      0.00      0.00      7.50
12:16:14 AM     all     68.25      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     30.50
12:16:15 AM     all     97.24      0.00      1.00      0.00      0.00      0.50      0.00      0.00      0.00      1.25
12:16:16 AM     all     63.98      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     34.76
12:16:17 AM     all     96.76      0.00      0.75      0.00      0.00      0.75      0.25      0.00      0.00      1.50
12:16:18 AM     all     93.48      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00      5.76
12:16:19 AM     all     60.80      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     37.94
12:16:20 AM     all     97.25      0.00      0.75      0.00      0.00      0.50      0.00      0.00      0.00      1.50
12:16:21 AM     all     75.44      0.00      0.75      0.00      0.00      0.75      0.25      0.00      0.00     22.81
12:16:22 AM     all     82.66      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     16.33
12:16:23 AM     all     69.10      0.00      0.50      0.00      0.00      0.75      0.25      0.00      0.00     29.40
12:16:24 AM     all     95.00      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00      4.00
12:16:25 AM     all     84.54      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     14.21
12:16:26 AM     all     67.76      0.00      0.50      1.26      0.00      0.50      0.25      0.00      0.00     29.72
12:16:27 AM     all     98.75      0.00      0.50      0.00      0.00      0.75      0.00      0.00      0.00      0.00
12:16:28 AM     all     42.57      0.00      0.76      0.00      0.00      0.50      0.25      0.00      0.00     55.92
12:16:29 AM     all     25.32      0.00      0.76      0.00      0.00      0.51      0.00      0.00      0.00     73.42
