request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693231633980,1692259370068,1692259376454,1693231640647,6667,6386,281
2,1693231640648,1692259376547,1692259382922,1693231647116,6468,6375,93
3,1693231647116,1692259383026,1692259389393,1693231653702,6586,6367,219
4,1693231653703,1692259389573,1692259395871,1693231660066,6363,6298,65
5,1693231660067,1692259395908,1692259402179,1693231666372,6305,6271,34
6,1693231666539,1692259402387,1692259433514,1693231697707,31168,31127,41
7,1693231697713,1692259433555,1692259439828,1693231704021,6308,6273,35
8,1693231704021,1692259439862,1692259446131,1693231710370,6349,6269,80
9,1693231710371,1692259446216,1692259452482,1693231716674,6303,6266,37
10,1693231716675,1692259452524,1692259458792,1693231723007,6332,6268,64
11,1693231723007,1692259458847,1692259465126,1693231729318,6311,6279,32
12,1693231729487,1692259465334,1692259495582,1693231760017,30530,30248,282
13,1693231760026,1692259495863,1692259502139,1693231766374,6348,6276,72
14,1693231766374,1692259502213,1692259508477,1693231772669,6295,6264,31
15,1693231772669,1692259508514,1692259514806,1693231779003,6334,6292,42
16,1693231779003,1692259514847,1692259521126,1693231785386,6383,6279,104
17,1693231785387,1692259521230,1692259527501,1693231791693,6306,6271,35
18,1693231791863,1692259527718,1692259558773,1693231822964,31101,31055,46
19,1693231822975,1692259558822,1692259565096,1693231829316,6341,6274,67
20,1693231829317,1692259565161,1692259571434,1693231835625,6308,6273,35
21,1693231835625,1692259571465,1692259577736,1693231841955,6330,6271,59
22,1693231841956,1692259577793,1692259584054,1693231848260,6304,6261,43
23,1693231848261,1692259584101,1692259590371,1693231854580,6319,6270,49
24,1693231854751,1692259590599,1692259621917,1693231886145,31394,31318,76
25,1693231886154,1692259621995,1692259628265,1693231892475,6321,6270,51
26,1693231892477,1692259628327,1692259634598,1693231898789,6312,6271,41
27,1693231898790,1692259634630,1692259640900,1693231905188,6398,6270,128
28,1693231905190,1692259641031,1692259647301,1693231911540,6350,6270,80
29,1693231911541,1692259647385,1692259653653,1693231917842,6301,6268,33
30,1693231918012,1692259653868,1692259684251,1693231948502,30490,30383,107
31,1693231948522,1692259684382,1692259690651,1693231954840,6318,6269,49
32,1693231954841,1692259690698,1692259696962,1693231961152,6311,6264,47
33,1693231961152,1692259697000,1692259703277,1693231967466,6314,6277,37
34,1693231967467,1692259703311,1692259709597,1693231973786,6319,6286,33
35,1693231973787,1692259709637,1692259715919,1693231980109,6322,6282,40
36,1693231980277,1692259716115,1692259747097,1693232011380,31103,30982,121
37,1693232011395,1692259747239,1692259753515,1693232017714,6319,6276,43
38,1693232017714,1692259753563,1692259759850,1693232024039,6325,6287,38
39,1693232024040,1692259759881,1692259766144,1693232030412,6372,6263,109
40,1693232030412,1692259766263,1692259772532,1693232036721,6309,6269,40
41,1693232036721,1692259772563,1692259778833,1693232043024,6303,6270,33
42,1693232043194,1692259779061,1692259809617,1693232073841,30647,30556,91
43,1693232076865,1692259812717,1692259818983,1693232083172,6307,6266,41
44,1693232083173,1692259819019,1692259825297,1693232089509,6336,6278,58
45,1693232089509,1692259825368,1692259831640,1693232095829,6320,6272,48
46,1693232095831,1692259831686,1692259837956,1693232102251,6420,6270,150
47,1693232102251,1692259838094,1692259844365,1693232108553,6302,6271,31
48,1693232108742,1692259844606,1692259874241,1693232138429,29687,29635,52
49,1693232138429,1692259874283,1692259880828,1693232145047,6618,6545,73
50,1693232145054,1692259880900,1692259887178,1693232151365,6311,6278,33
51,1693232151366,1692259887207,1692259893476,1693232157664,6298,6269,29
52,1693232157665,1692259893511,1692259899780,1693232163968,6303,6269,34
53,1693232163969,1692259899813,1692259906082,1693232170270,6301,6269,32
54,1693232170271,1692259906115,1692259912376,1693232176564,6293,6261,32
55,1693232176734,1692259912595,1692259943286,1693232207511,30777,30691,86
56,1693232207518,1692259943376,1692259949653,1693232213840,6322,6277,45
57,1693232213844,1692259949692,1692259955966,1693232220153,6309,6274,35
58,1693232220154,1692259956000,1692259962267,1693232226455,6301,6267,34
59,1693232226457,1692259962303,1692259968580,1693232232767,6310,6277,33
60,1693232232768,1692259968618,1692259974905,1693232239110,6342,6287,55
61,1693232239280,1692259975130,1692260006060,1693232270343,31063,30930,133
62,1693232270351,1692260006197,1692260012463,1693232276649,6298,6266,32
63,1693232276650,1692260012492,1692260018766,1693232283039,6389,6274,115
64,1693232283041,1692260018892,1692260025170,1693232289388,6347,6278,69
65,1693232289389,1692260025239,1692260031503,1693232295689,6300,6264,36
66,1693232295690,1692260031535,1692260037794,1693232301980,6290,6259,31
