request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693230223400,1692257960365,1692257967017,1693230231414,8014,6652,1362
2,1693230231415,1692257967267,1692257973899,1693230238107,6692,6632,60
3,1693230238107,1692257973936,1692257980562,1693230244783,6676,6626,50
4,1693230244784,1692257980841,1692257987459,1693230251704,6920,6618,302
5,1693230251705,1692257987553,1692257994188,1693230258429,6724,6635,89
6,1693230258603,1692257994430,1692258009549,1693230273757,15154,15119,35
7,1693230273757,1692258009614,1692258024441,1693230288648,14891,14827,64
8,1693230288659,1692258024484,1692258031107,1693230295395,6736,6623,113
9,1693230295396,1692258031222,1692258037846,1693230302053,6657,6624,33
10,1693230302054,1692258037890,1692258044515,1693230308723,6669,6625,44
11,1693230308725,1692258044564,1692258051192,1693230315404,6679,6628,51
12,1693230315405,1692258051229,1692258057851,1693230322057,6652,6622,30
13,1693230322231,1692258058072,1692258074788,1693230338995,16764,16716,48
14,1693230338996,1692258074836,1692258088591,1693230352810,13814,13755,59
15,1693230352828,1692258088669,1692258095296,1693230359502,6674,6627,47
16,1693230359503,1692258095333,1692258101950,1693230366155,6652,6617,35
17,1693230366156,1692258102003,1692258108634,1693230372841,6685,6631,54
18,1693230372841,1692258108673,1692258115302,1693230379509,6668,6629,39
19,1693230379510,1692258115347,1692258121985,1693230386191,6681,6638,43
20,1693230386364,1692258122193,1692258136689,1693230400896,14532,14496,36
21,1693230400898,1692258136739,1692258150771,1693230414977,14079,14032,47
22,1693230414978,1692258150831,1692258158198,1693230422404,7426,7367,59
23,1693230422412,1692258158243,1692258164875,1693230429080,6668,6632,36
24,1693230429081,1692258164907,1692258171524,1693230435729,6648,6617,31
25,1693230435730,1692258171557,1692258178189,1693230442395,6665,6632,33
26,1693230442395,1692258178223,1692258184842,1693230449094,6699,6619,80
27,1693230449095,1692258184921,1692258191544,1693230455749,6654,6623,31
28,1693230455923,1692258191752,1692258208361,1693230472581,16658,16609,49
29,1693230472582,1692258208427,1692258222564,1693230486821,14239,14137,102
30,1693230486829,1692258222655,1692258229278,1693230493483,6654,6623,31
31,1693230493485,1692258229309,1692258235944,1693230500148,6663,6635,28
32,1693230500149,1692258235982,1692258242611,1693230506815,6666,6629,37
33,1693230506816,1692258242644,1692258249269,1693230513474,6658,6625,33
34,1693230513477,1692258249316,1692258255932,1693230520136,6659,6616,43
35,1693230520309,1692258256148,1692258272025,1693230536231,15922,15877,45
36,1693230536232,1692258272060,1692258286196,1693230550400,14168,14136,32
37,1693230550407,1692258286232,1692258292852,1693230557056,6649,6620,29
38,1693230557057,1692258292881,1692258299528,1693230563732,6675,6647,28
39,1693230563733,1692258299560,1692258306196,1693230570399,6666,6636,30
40,1693230570400,1692258306225,1692258312848,1693230577051,6651,6623,28
41,1693230577052,1692258312879,1692258319503,1693230583707,6655,6624,31
42,1693230583879,1692258319707,1692258335716,1693230599924,16045,16009,36
43,1693230599925,1692258335768,1692258350435,1693230614638,14713,14667,46
44,1693230614645,1692258350476,1692258356790,1693230620993,6348,6314,34
45,1693230620994,1692258356827,1692258363103,1693230627306,6312,6276,36
46,1693230627307,1692258363136,1692258369408,1693230633715,6408,6272,136
47,1693230633715,1692258369545,1692258375811,1693230640014,6299,6266,33
48,1693230640015,1692258375841,1692258382121,1693230646323,6308,6280,28
49,1693230646493,1692258382325,1692258397493,1693230661696,15203,15168,35
50,1693230661697,1692258397551,1692258411387,1693230675590,13893,13836,57
51,1693230675591,1692258411447,1692258418236,1693230682438,6847,6789,58
52,1693230682445,1692258418282,1692258424570,1693230688773,6328,6288,40
53,1693230688774,1692258424604,1692258430869,1693230695071,6297,6265,32
54,1693230695072,1692258430902,1692258437173,1693230701402,6330,6271,59
55,1693230701403,1692258437240,1692258443510,1693230707748,6345,6270,75
56,1693230707749,1692258443577,1692258449867,1693230714095,6346,6290,56
57,1693230714292,1692258450133,1692258465629,1693230729832,15540,15496,44
58,1693230729835,1692258465693,1692258479025,1693230743227,13392,13332,60
59,1693230743228,1692258479077,1692258486020,1693230750222,6994,6943,51
60,1693230750230,1692258486065,1692258492339,1693230756542,6312,6274,38
61,1693230756544,1692258492388,1692258498668,1693230762977,6433,6280,153
62,1693230762978,1692258498811,1692258505092,1693230769293,6315,6281,34
63,1693230769294,1692258505129,1692258511403,1693230775605,6311,6274,37
64,1693230775606,1692258511448,1692258517717,1693230781919,6313,6269,44
65,1693230782091,1692258517930,1692258533125,1693230797327,15236,15195,41
66,1693230797328,1692258533174,1692258546607,1693230810809,13481,13433,48
67,1693230810810,1692258546642,1692258553667,1693230817868,7058,7025,33
68,1693230817938,1692258553771,1692258560043,1693230824244,6306,6272,34
69,1693230824246,1692258560075,1692258566357,1693230830558,6312,6282,30
70,1693230830559,1692258566387,1692258572662,1693230836864,6305,6275,30
71,1693230836866,1692258572700,1692258578981,1693230843181,6315,6281,34
72,1693230843182,1692258579025,1692258585294,1693230849495,6313,6269,44
73,1693230849664,1692258585510,1692258599937,1693230864214,14550,14427,123
74,1693230864215,1692258600059,1692258615077,1693230879282,15067,15018,49
75,1693230879282,1692258615141,1692258621635,1693230885923,6641,6494,147
76,1693230885931,1692258621765,1692258628025,1693230892226,6295,6260,35
77,1693230892227,1692258628057,1692258634307,1693230898508,6281,6250,31
78,1693230898509,1692258634345,1692258640602,1693230904802,6293,6257,36
79,1693230904803,1692258640635,1692258646886,1693230911087,6284,6251,33
80,1693230911088,1692258646918,1692258653170,1693230917370,6282,6252,30
