Linux 4.9.253-tegra (nano-desktop) 	08/17/2023 	_aarch64_	(4 CPU)

12:51:16 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
12:51:17 AM     all     25.13      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00     74.12
12:51:18 AM     all     25.00      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     73.75
12:51:19 AM     all     25.13      0.00      0.00      0.00      0.00      0.50      0.00      0.00      0.00     74.37
12:51:20 AM     all     24.94      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00     74.31
12:51:21 AM     all     25.13      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     74.12
12:51:22 AM     all     25.06      0.00      0.25      0.25      0.00      0.50      0.00      0.00      0.00     73.93
12:51:23 AM     all     22.86      0.00      5.53      0.00      0.00      0.50      0.25      0.00      0.00     70.85
12:51:24 AM     all     25.38      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00     73.87
12:51:25 AM     all     25.00      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     73.75
12:51:26 AM     all     25.25      0.00      0.25      0.00      0.00      0.75      0.00      0.00      0.00     73.75
12:51:27 AM     all     25.19      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     74.06
12:51:28 AM     all     23.00      0.00      5.50      0.00      0.00      0.75      0.00      0.00      0.00     70.75
12:51:29 AM     all     18.14      0.00      5.54      0.00      0.00      0.25      0.25      0.00      0.00     75.82
12:51:30 AM     all     24.31      0.00      0.75      0.00      0.00      0.50      0.25      0.00      0.00     74.19
12:51:31 AM     all     25.00      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     74.00
12:51:32 AM     all     25.19      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00     74.06
12:51:33 AM     all     25.00      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     74.00
12:51:34 AM     all     25.06      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.93
12:51:35 AM     all     25.00      0.00      0.50      0.00      0.00      0.25      0.25      0.00      0.00     74.00
12:51:36 AM     all     57.18      0.00      7.05      0.00      0.00      0.76      0.25      0.00      0.00     34.76
12:51:37 AM     all     91.75      0.00      7.25      0.00      0.00      0.75      0.00      0.00      0.00      0.25
12:51:38 AM     all     89.25      0.00      9.75      0.00      0.00      0.75      0.25      0.00      0.00      0.00
12:51:39 AM     all     96.25      0.00      3.00      0.00      0.00      0.75      0.00      0.00      0.00      0.00
12:51:40 AM     all     97.51      0.00      1.24      0.00      0.00      1.00      0.25      0.00      0.00      0.00
12:51:41 AM     all     98.49      0.00      0.75      0.00      0.00      0.75      0.00      0.00      0.00      0.00
12:51:42 AM     all     96.76      0.00      2.24      0.00      0.00      0.75      0.25      0.00      0.00      0.00
12:51:43 AM     all     99.00      0.00      0.25      0.00      0.00      0.75      0.00      0.00      0.00      0.00
12:51:44 AM     all     98.25      0.00      0.50      0.00      0.00      1.00      0.25      0.00      0.00      0.00
12:51:45 AM     all     98.25      0.00      0.75      0.00      0.00      1.00      0.00      0.00      0.00      0.00
12:51:46 AM     all     97.75      0.00      1.00      0.00      0.00      1.00      0.25      0.00      0.00      0.00
12:51:47 AM     all     98.50      0.00      0.75      0.00      0.00      0.75      0.00      0.00      0.00      0.00
12:51:48 AM     all     98.25      0.00      0.50      0.00      0.00      1.00      0.25      0.00      0.00      0.00
12:51:49 AM     all     98.25      0.00      0.75      0.00      0.00      1.00      0.00      0.00      0.00      0.00
12:51:50 AM     all     97.26      0.00      1.25      0.00      0.00      1.25      0.25      0.00      0.00      0.00
